NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),prixHT,SUM(QTEPRD)
GOULETTE,GASOIL,AV.BOUGATFA,18-Feb,TUNIS,LE BARDO,28077.686,1079.911,26
BIZERTE CARBURANT,GASOIL,M. BOURGUIBA,18-Jan,BIZERTE,MENZEL BOURGUIBA,82073.236,1079.911,76
GOULETTE,SSP SUPER SANS PLOMB,KALAA EL KEBIRA,18-Feb,SOUSSE,KALAA KBIRA,55151.072,1451.344,38
GOULETTE,SSP SUPER SANS PLOMB,GAMMARTH,18-Feb,TUNIS,GAMMARTH,134974.992,1451.344,93
GOULETTE,GASOIL,BEN AROUS MC 34,18-Feb,BEN AROUS,BEN AROUS,96112.079,1079.911,89
BIZERTE CARBURANT,GASOIL 50,ZARZOUNA,18-Feb,BIZERTE,ZARZOUNA,53044.24,1326.106,40
GOULETTE,GASOIL,JENDOUBA VILLE,18-Feb,JENDOUBA,JENDOUBA,77753.592,1079.911,72
GOULETTE,SSP SUPER SANS PLOMB,GRIAAT S. PK29,18-Feb,BEJA,MEDJEZ EL BAB,104496.768,1451.344,72
GOULETTE,GASOIL,S. KHELIFA pk72 ,18-Feb,SOUSSE,SIDI KHLIFA,103671.456,1079.911,96
GOULETTE,SSP SUPER SANS PLOMB,EL MOUROUJ,18-Feb,BEN AROUS,BIR EL KASSAA,320747.024,1451.344,221
GOULETTE,SSP SUPER SANS PLOMB,DOUALA,18-Feb,NABEUL,DOUALA,2902.688,1451.344,2
BIZERTE CARBURANT,GASOIL 50,SOUSSE MED  ALI,18-Feb,SOUSSE,SOUSSE,29174.332,1326.106,22
GOULETTE,SSP SUPER SANS PLOMB,EZZOUHOUR,18-Mar,TUNIS,EZZOUHOUR,216250.256,1451.344,149
SKHIRA,GASOIL 50,TOZEUR VILLE,18-Mar,TOZEUR,TOZEUR,64979.194,1326.106,49
SKHIRA,GASOIL,HAJEB EL AYOUN,18-Jan,KAIROUAN,HAJEB EL AYOUN,194383.98,1079.911,180
GOULETTE,SSP SUPER SANS PLOMB,SIDI BOUSAID,18-Jan,TUNIS,SIDI BOUSAID,248179.824,1451.344,171
SKHIRA,GASOIL,REGUEB,18-Jan,SIDI BOUZID,ERREGUEB,116630.388,1079.911,108
SKHIRA,SSP SUPER SANS PLOMB,MSAKEN,18-Jan,SOUSSE,M'SAKEN,79823.92,1451.344,55
SKHIRA,SSP SUPER SANS PLOMB,S. LAHED .K,18-Jan,KEBILI,SOUK LAHAD,34832.256,1451.344,24
SKHIRA,GASOIL,M.BOUZAIENE,18-Jan,SIDI BOUZID,MENZEL BOUZAIENE,110150.922,1079.911,102
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,BIZERTE,18-Jan,BIZERTE,BIZERTE,230763.696,1451.344,159
GOULETTE,SSP SUPER SANS PLOMB,C.B.Ammar,18-Jan,ARIANA,CEBALET B AMMAR,208993.536,1451.344,144
GOULETTE,SSP SUPER SANS PLOMB,MNIHLA,18-Jan,ARIANA,M'NIHLA,194480.096,1451.344,134
SKHIRA,GASOIL,GABES GP1,18-Jan,GABES,GABES,122029.943,1079.911,113
SKHIRA,SSP SUPER SANS PLOMB,SOUASSI,18-Jan,MAHDIA,SOUASSI,58053.76,1451.344,40
SKHIRA,GASOIL,SOUASSI,18-Jan,MAHDIA,SOUASSI,233260.776,1079.911,216
SKHIRA,GASOIL,AGAREB,18-Jan,SFAX,AGAREB,340171.965,1079.911,315
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,RAS DJEBEL,18-Jan,BIZERTE,RAS DJEBEL,87080.64,1451.344,60
BIZERTE CARBURANT,GASOIL 50,KONDAR,18-Jan,SOUSSE,KONDAR,18565.484,1326.106,14
GOULETTE,SSP SUPER SANS PLOMB,AZMOUR,18-Jan,NABEUL,AZMOUR,21770.16,1451.344,15
SKHIRA,GASOIL,MAJEL B. ABBES,18-Jan,KASSERINE,MAGEL BEL ABBES,154427.273,1079.911,143
SKHIRA,GASOIL,M. EL HABIB,18-Jan,GABES,MENZEL EL HABIB,100431.723,1079.911,93
BIZERTE CARBURANT,GASOIL 50,SAHLOUL,18-Jan,SOUSSE,SOUSSE,79566.36,1326.106,60
SKHIRA,GASOIL,CHERARDA,18-Jan,KAIROUAN,CHERARDA,272137.572,1079.911,252
ZARZIS,GASOIL,SMAR,18-Jan,TATAOUINE,SMAR,69114.304,1079.911,64
BIZERTE CARBURANT,GASOIL 50,H.ZRIBA,18-Jan,ZAGHOUAN,HAMMAM ZRIBA,29130.332,1324.106,22
BIZERTE CARBURANT,GASOIL 50,BEN AROUS MC 34,18-Jan,BEN AROUS,BEN AROUS,108740.692,1326.106,82
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,GHAR EL MELH,18-Jan,BIZERTE,GHAR EL MELEH,20318.816,1451.344,14
BIZERTE CARBURANT,GASOIL 50,KANTAOUI,18-Jan,SOUSSE,HAMMAM SOUSSE,37130.968,1326.106,28
GOULETTE,GASOIL,ARIANA,18-Jan,ARIANA,ARIANA,109071.011,1079.911,101
SKHIRA,GASOIL,OUERDANINE,18-Jan,MONASTIR,EL OUERDANINE,35637.063,1079.911,33
BIZERTE CARBURANT,GASOIL 50,BEMBLA,18-Jan,MONASTIR,BEMBLA,29174.332,1326.106,22
SKHIRA,GASOIL 50,BEN AOUN,18-Jan,SIDI BOUZID,BEN AOUN,5304.424,1326.106,4
SKHIRA,SSP SUPER SANS PLOMB,SIDI BOUALI,18-Jan,SOUSSE,SIDI BOU ALI,17416.128,1451.344,12
GOULETTE,SSP SUPER SANS PLOMB,MAAMOURA,18-Feb,NABEUL,MAAMOURA,17416.128,1451.344,12
SKHIRA,SSP SUPER SANS PLOMB,HERGLA,18-Jan,SOUSSE,HERGLA,74018.544,1451.344,51
SKHIRA,GASOIL,OULED CHAMEKH,18-Jan,MAHDIA,OULED CHAMEKH,186824.603,1079.911,173
SKHIRA,GASOIL,GHANNOUCH,18-Jan,GABES,GHANNOUCHE,52915.639,1079.911,49
GOULETTE,GASOIL,ZAGHOUAN,18-Feb,ZAGHOUAN,ZAGHOUAN,89632.613,1079.911,83
GOULETTE,SSP SUPER SANS PLOMB,TOZOGHRANE,18-Mar,NABEUL,TOZGRANE,49345.696,1451.344,34
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,AV REPUBLIQUE,18-Jan,TUNIS,TUNIS VILLE,24672.848,1451.344,17
BIZERTE CARBURANT,GASOIL 50,GAAFOUR,18-Jan,SILIANA,GAAFOUR,21093.628,1318.35175,16
GOULETTE,GASOIL,DOUALA,18-Mar,NABEUL,DOUALA,29157.597,1079.911,27
ZARZIS,GASOIL,MEDNINE,18-Mar,MEDENINE,MEDENINE,115550.477,1079.911,107
SKHIRA,GASOIL,MELLOULECH,18-Mar,MAHDIA,MELLOULECH,186824.603,1079.911,173
ZARZIS,GASOIL 50,ZARZIS,18-Mar,MEDENINE,ZARZIS,53044.24,1326.106,40
SKHIRA,GASOIL,CITE EL MOEZ  SFAX,18-Mar,SFAX,SFAX,149027.718,1079.911,138
GOULETTE,SSP SUPER SANS PLOMB,AV DE CARTHAGE,18-Jan,TUNIS,TUNIS VILLE,137877.68,1451.344,95
GOULETTE,GASOIL,BEN AROUS MC 34,18-Mar,BEN AROUS,BEN AROUS,279696.949,1079.911,259
GOULETTE,GASOIL,EL MRAZKA,18-Mar,NABEUL,HAMMAMET,128509.409,1079.911,119
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,ENTREE SUD,18-Jan,TUNIS,KABARIA,89983.328,1451.344,62
GOULETTE,SSP SUPER SANS PLOMB,BERGES DU LAC,18-Mar,TUNIS,TUNIS VILLE,1230739.712,1451.344,848
GOULETTE,SSP SUPER SANS PLOMB,TAHLA,18-Jan,KASSERINE,THALA,13062.096,1451.344,9
SKHIRA,SSP SUPER SANS PLOMB,GABES GP1,18-Mar,GABES,GABES,143683.056,1451.344,99
BIZERTE CARBURANT,GASOIL 50,OUCHTATA,18-Feb,BEJA,OUECHTATA,2652.212,1326.106,2
GOULETTE,SSP SUPER SANS PLOMB,BENI KHALLED,18-Feb,NABEUL,BENI-KHALED,52248.384,1451.344,36
BIZERTE CARBURANT,GASOIL 50,SORTIE SUD Z4,18-Mar,TUNIS,TUNIS VILLE,214829.172,1326.106,162
SKHIRA,GASOIL,PORT DE SFAX,18-Feb,SFAX,SFAX,328292.944,1079.911,304
SKHIRA,GASOIL,SIDI BOUZID,18-Feb,SIDI BOUZID,SIDI BOUZID,356370.63,1079.911,330
BIZERTE CARBURANT,GASOIL 50,JENDOUBA VILLE,18-Feb,JENDOUBA,JENDOUBA,14587.166,1326.106,11
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,AV DE CARTHAGE,18-Jan,TUNIS,TUNIS VILLE,31929.568,1451.344,22
SKHIRA,SSP SUPER SANS PLOMB,KEBILI (ex-GPL),18-Feb,KEBILI,KEBILI,26124.192,1451.344,18
