,NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),prixHT,lag1_previous_quantity,lag2_previous_quantity,lag3_previous_quantity,lag4_previous_quantity,lag5_previous_quantity,SUM(QTEPRD)
26,SKHIRA,GASOIL,AGAREB,2018-01-01,SFAX,AGAREB,340171.965,1079.911,0.0,0.0,0.0,0.0,0.0,315.0
20445,SKHIRA,GASOIL,AGAREB,2018-02-01,SFAX,AGAREB,308854.546,1079.9109999999998,315.0,0.0,0.0,0.0,0.0,286.0
20435,SKHIRA,GASOIL,AGAREB,2018-03-01,SFAX,AGAREB,343411.698,1079.9109999999998,286.0,315.0,0.0,0.0,0.0,318.0
13854,SKHIRA,GASOIL,AGAREB,2018-04-01,SFAX,AGAREB,342868.495,1124.1589999999999,318.0,286.0,315.0,0.0,0.0,305.0
1617,SKHIRA,GASOIL,AGAREB,2018-05-01,SFAX,AGAREB,259680.729,1124.1589999999999,305.0,318.0,286.0,315.0,0.0,231.0
7467,SKHIRA,GASOIL,AGAREB,2018-06-01,SFAX,AGAREB,245216.066,1145.8694672897195,231.0,305.0,318.0,286.0,315.0,214.0
14208,ZARZIS,GASOIL,AGAREB,2018-07-01,SFAX,AGAREB,26191.682,1190.531,214.0,231.0,305.0,318.0,286.0,22.0
8626,SKHIRA,GASOIL,AGAREB,2018-07-01,SFAX,AGAREB,272631.599,1190.531,22.0,214.0,231.0,305.0,318.0,229.0
12847,GOULETTE,GASOIL,AGAREB,2018-08-01,SFAX,AGAREB,11905.31,1190.531,229.0,22.0,214.0,231.0,305.0,10.0
12861,BIZERTE CARBURANT,GASOIL,AGAREB,2018-08-01,SFAX,AGAREB,22620.089,1190.531,10.0,229.0,22.0,214.0,231.0,19.0
15487,SKHIRA,GASOIL,AGAREB,2018-08-01,SFAX,AGAREB,250011.51,1190.531,19.0,10.0,229.0,22.0,214.0,210.0
14239,SKHIRA,GASOIL,AGAREB,2018-09-01,SFAX,AGAREB,301324.86,1255.52025,210.0,19.0,10.0,229.0,22.0,240.0
7603,GOULETTE,GASOIL,AGAREB,2018-10-01,SFAX,AGAREB,17596.642,1256.903,240.0,210.0,19.0,10.0,229.0,14.0
639,SKHIRA,GASOIL,AGAREB,2018-10-01,SFAX,AGAREB,256408.212,1256.903,14.0,240.0,210.0,19.0,10.0,204.0
2053,SKHIRA,GASOIL,AGAREB,2018-11-01,SFAX,AGAREB,213673.51,1256.903,204.0,14.0,240.0,210.0,19.0,170.0
18166,GOULETTE,GASOIL,AGAREB,2018-11-01,SFAX,AGAREB,8798.321,1256.903,170.0,204.0,14.0,240.0,210.0,7.0
12674,GOULETTE,GASOIL,AGAREB,2018-12-01,SFAX,AGAREB,81698.695,1256.903,7.0,170.0,204.0,14.0,240.0,65.0
5794,SKHIRA,GASOIL,AGAREB,2018-12-01,SFAX,AGAREB,194705.269,1256.1630258064515,65.0,7.0,170.0,204.0,14.0,155.0
8615,SKHIRA,GASOIL,AGAREB,2019-01-01,SFAX,AGAREB,217168.63,1255.31,155.0,65.0,7.0,170.0,204.0,173.0
1768,GOULETTE,GASOIL,AGAREB,2019-01-01,SFAX,AGAREB,27616.82,1255.31,173.0,155.0,65.0,7.0,170.0,22.0
9100,SKHIRA,GASOIL,AGAREB,2019-02-01,SFAX,AGAREB,251062.0,1255.31,22.0,173.0,155.0,65.0,7.0,200.0
2391,SKHIRA,GASOIL,AGAREB,2019-03-01,SFAX,AGAREB,223445.18,1255.31,200.0,22.0,173.0,155.0,65.0,178.0
17253,SKHIRA,GASOIL,AGAREB,2019-04-01,SFAX,AGAREB,250638.968,1333.186,178.0,200.0,22.0,173.0,155.0,188.0
21341,SKHIRA,GASOIL,AGAREB,2019-05-01,SFAX,AGAREB,246639.41,1333.186,188.0,178.0,200.0,22.0,173.0,185.0
9390,SKHIRA,GASOIL,AGAREB,2019-06-01,SFAX,AGAREB,39995.58,1333.1860000000001,185.0,188.0,178.0,200.0,22.0,30.0
13713,SKHIRA,GASOIL 50,AGAREB,2018-01-01,SFAX,AGAREB,53044.24,1326.106,0.0,0.0,0.0,0.0,0.0,40.0
19162,BIZERTE CARBURANT,GASOIL 50,AGAREB,2018-01-01,SFAX,AGAREB,5304.424,1326.106,40.0,0.0,0.0,0.0,0.0,4.0
20446,SKHIRA,GASOIL 50,AGAREB,2018-02-01,SFAX,AGAREB,46413.71,1326.106,4.0,40.0,0.0,0.0,0.0,35.0
