NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT
GOULETTE,GASOIL,AV.BOUGATFA,18-Feb,TUNIS,LE BARDO,28077.686,26.0,1079.911
BIZERTE CARBURANT,GASOIL,M. BOURGUIBA,18-Jan,BIZERTE,MENZEL BOURGUIBA,82073.236,76.0,1079.911
GOULETTE,SSP SUPER SANS PLOMB,KALAA EL KEBIRA,18-Feb,SOUSSE,KALAA KBIRA,55151.072,38.0,1451.344
GOULETTE,SSP SUPER SANS PLOMB,GAMMARTH,18-Feb,TUNIS,GAMMARTH,134974.992,93.0,1451.344
GOULETTE,GASOIL,BEN AROUS MC 34,18-Feb,BEN AROUS,BEN AROUS,96112.079,89.0,1079.911
BIZERTE CARBURANT,GASOIL 50,ZARZOUNA,18-Feb,BIZERTE,ZARZOUNA,53044.24,40.0,1326.106
GOULETTE,GASOIL,JENDOUBA VILLE,18-Feb,JENDOUBA,JENDOUBA,77753.592,72.0,1079.911
GOULETTE,SSP SUPER SANS PLOMB,GRIAAT S. PK29,18-Feb,BEJA,MEDJEZ EL BAB,104496.768,72.0,1451.344
GOULETTE,GASOIL,S. KHELIFA pk72 ,18-Feb,SOUSSE,SIDI KHLIFA,103671.456,96.0,1079.911
GOULETTE,SSP SUPER SANS PLOMB,EL MOUROUJ,18-Feb,BEN AROUS,BIR EL KASSAA,320747.024,221.0,1451.3439999999998
GOULETTE,SSP SUPER SANS PLOMB,DOUALA,18-Feb,NABEUL,DOUALA,2902.688,2.0,1451.344
BIZERTE CARBURANT,GASOIL 50,SOUSSE MED  ALI,18-Feb,SOUSSE,SOUSSE,29174.332,22.0,1326.106
GOULETTE,SSP SUPER SANS PLOMB,EZZOUHOUR,18-Mar,TUNIS,EZZOUHOUR,216250.256,149.0,1451.344
SKHIRA,GASOIL 50,TOZEUR VILLE,18-Mar,TOZEUR,TOZEUR,64979.194,49.0,1326.106
SKHIRA,GASOIL,HAJEB EL AYOUN,18-Jan,KAIROUAN,HAJEB EL AYOUN,194383.98,180.0,1079.911
GOULETTE,SSP SUPER SANS PLOMB,SIDI BOUSAID,18-Jan,TUNIS,SIDI BOUSAID,248179.824,171.0,1451.344
SKHIRA,GASOIL,REGUEB,18-Jan,SIDI BOUZID,ERREGUEB,116630.388,108.0,1079.911
SKHIRA,SSP SUPER SANS PLOMB,MSAKEN,18-Jan,SOUSSE,M'SAKEN,79823.92,55.0,1451.344
SKHIRA,SSP SUPER SANS PLOMB,S. LAHED .K,18-Jan,KEBILI,SOUK LAHAD,34832.256,24.0,1451.344
SKHIRA,GASOIL,M.BOUZAIENE,18-Jan,SIDI BOUZID,MENZEL BOUZAIENE,110150.922,102.0,1079.911
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,BIZERTE,18-Jan,BIZERTE,BIZERTE,230763.696,159.0,1451.344
GOULETTE,SSP SUPER SANS PLOMB,C.B.Ammar,18-Jan,ARIANA,CEBALET B AMMAR,208993.536,144.0,1451.344
GOULETTE,SSP SUPER SANS PLOMB,MNIHLA,18-Jan,ARIANA,M'NIHLA,194480.096,134.0,1451.3439999999998
SKHIRA,GASOIL,GABES GP1,18-Jan,GABES,GABES,122029.943,113.0,1079.911
SKHIRA,SSP SUPER SANS PLOMB,SOUASSI,18-Jan,MAHDIA,SOUASSI,58053.76,40.0,1451.344
SKHIRA,GASOIL,SOUASSI,18-Jan,MAHDIA,SOUASSI,233260.776,216.0,1079.911
SKHIRA,GASOIL,AGAREB,18-Jan,SFAX,AGAREB,340171.965,315.0,1079.911
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,RAS DJEBEL,18-Jan,BIZERTE,RAS DJEBEL,87080.64,60.0,1451.344
BIZERTE CARBURANT,GASOIL 50,KONDAR,18-Jan,SOUSSE,KONDAR,18565.484,14.0,1326.106
GOULETTE,SSP SUPER SANS PLOMB,AZMOUR,18-Jan,NABEUL,AZMOUR,21770.16,15.0,1451.344
SKHIRA,GASOIL,MAJEL B. ABBES,18-Jan,KASSERINE,MAGEL BEL ABBES,154427.273,143.0,1079.9109999999998
SKHIRA,GASOIL,M. EL HABIB,18-Jan,GABES,MENZEL EL HABIB,100431.723,93.0,1079.911
BIZERTE CARBURANT,GASOIL 50,SAHLOUL,18-Jan,SOUSSE,SOUSSE,79566.36,60.0,1326.106
SKHIRA,GASOIL,CHERARDA,18-Jan,KAIROUAN,CHERARDA,272137.572,252.0,1079.9109999999998
ZARZIS,GASOIL,SMAR,18-Jan,TATAOUINE,SMAR,69114.304,64.0,1079.911
BIZERTE CARBURANT,GASOIL 50,H.ZRIBA,18-Jan,ZAGHOUAN,HAMMAM ZRIBA,29130.332,22.0,1324.106
BIZERTE CARBURANT,GASOIL 50,BEN AROUS MC 34,18-Jan,BEN AROUS,BEN AROUS,108740.692,82.0,1326.106
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,GHAR EL MELH,18-Jan,BIZERTE,GHAR EL MELEH,20318.816,14.0,1451.3439999999998
BIZERTE CARBURANT,GASOIL 50,KANTAOUI,18-Jan,SOUSSE,HAMMAM SOUSSE,37130.968,28.0,1326.106
GOULETTE,GASOIL,ARIANA,18-Jan,ARIANA,ARIANA,109071.011,101.0,1079.911
SKHIRA,GASOIL,OUERDANINE,18-Jan,MONASTIR,EL OUERDANINE,35637.063,33.0,1079.911
BIZERTE CARBURANT,GASOIL 50,BEMBLA,18-Jan,MONASTIR,BEMBLA,29174.332,22.0,1326.106
SKHIRA,GASOIL 50,BEN AOUN,18-Jan,SIDI BOUZID,BEN AOUN,5304.424,4.0,1326.106
SKHIRA,SSP SUPER SANS PLOMB,SIDI BOUALI,18-Jan,SOUSSE,SIDI BOU ALI,17416.128,12.0,1451.344
GOULETTE,SSP SUPER SANS PLOMB,MAAMOURA,18-Feb,NABEUL,MAAMOURA,17416.128,12.0,1451.344
SKHIRA,SSP SUPER SANS PLOMB,HERGLA,18-Jan,SOUSSE,HERGLA,74018.544,51.0,1451.3439999999998
SKHIRA,GASOIL,OULED CHAMEKH,18-Jan,MAHDIA,OULED CHAMEKH,186824.603,173.0,1079.911
SKHIRA,GASOIL,GHANNOUCH,18-Jan,GABES,GHANNOUCHE,52915.639,49.0,1079.911
GOULETTE,GASOIL,ZAGHOUAN,18-Feb,ZAGHOUAN,ZAGHOUAN,89632.613,83.0,1079.911
GOULETTE,SSP SUPER SANS PLOMB,TOZOGHRANE,18-Mar,NABEUL,TOZGRANE,49345.696,34.0,1451.344
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,AV REPUBLIQUE,18-Jan,TUNIS,TUNIS VILLE,24672.848,17.0,1451.344
BIZERTE CARBURANT,GASOIL 50,GAAFOUR,18-Jan,SILIANA,GAAFOUR,21093.628,16.0,1318.35175
GOULETTE,GASOIL,DOUALA,18-Mar,NABEUL,DOUALA,29157.597,27.0,1079.911
ZARZIS,GASOIL,MEDNINE,18-Mar,MEDENINE,MEDENINE,115550.477,107.0,1079.911
SKHIRA,GASOIL,MELLOULECH,18-Mar,MAHDIA,MELLOULECH,186824.603,173.0,1079.911
ZARZIS,GASOIL 50,ZARZIS,18-Mar,MEDENINE,ZARZIS,53044.24,40.0,1326.106
SKHIRA,GASOIL,CITE EL MOEZ  SFAX,18-Mar,SFAX,SFAX,149027.718,138.0,1079.911
GOULETTE,SSP SUPER SANS PLOMB,AV DE CARTHAGE,18-Jan,TUNIS,TUNIS VILLE,137877.68,95.0,1451.3439999999998
GOULETTE,GASOIL,BEN AROUS MC 34,18-Mar,BEN AROUS,BEN AROUS,279696.949,259.0,1079.911
GOULETTE,GASOIL,EL MRAZKA,18-Mar,NABEUL,HAMMAMET,128509.409,119.0,1079.911
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,ENTREE SUD,18-Jan,TUNIS,KABARIA,89983.328,62.0,1451.3439999999998
GOULETTE,SSP SUPER SANS PLOMB,BERGES DU LAC,18-Mar,TUNIS,TUNIS VILLE,1230739.712,848.0,1451.344
GOULETTE,SSP SUPER SANS PLOMB,TAHLA,18-Jan,KASSERINE,THALA,13062.096,9.0,1451.344
SKHIRA,SSP SUPER SANS PLOMB,GABES GP1,18-Mar,GABES,GABES,143683.056,99.0,1451.344
BIZERTE CARBURANT,GASOIL 50,OUCHTATA,18-Feb,BEJA,OUECHTATA,2652.212,2.0,1326.106
GOULETTE,SSP SUPER SANS PLOMB,BENI KHALLED,18-Feb,NABEUL,BENI-KHALED,52248.384,36.0,1451.344
BIZERTE CARBURANT,GASOIL 50,SORTIE SUD Z4,18-Mar,TUNIS,TUNIS VILLE,214829.172,162.0,1326.106
SKHIRA,GASOIL,PORT DE SFAX,18-Feb,SFAX,SFAX,328292.944,304.0,1079.911
SKHIRA,GASOIL,SIDI BOUZID,18-Feb,SIDI BOUZID,SIDI BOUZID,356370.63,330.0,1079.911
