CATPRD,NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD)
CARBURANT,GOULETTE,GASOIL,151140,18-Feb,1,75,28077.686,26
CARBURANT,SKHIRA,GASOIL,211311,18-Jan,23,91,65156.482,62
CARBURANT,BIZERTE CARBURANT,GASOIL,153660,18-Jan,6,15,82073.236,76
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,154730,18-Feb,14,14,55151.072,38
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,155330,18-Feb,1,90,134974.992,93
CARBURANT,GOULETTE,GASOIL,154450,18-Feb,3,52,96112.079,89
CARBURANT,BIZERTE CARBURANT,GASOIL 50,155770,18-Feb,6,40,53044.24,40
CARBURANT,GOULETTE,GASOIL,154880,18-Feb,8,33,77753.592,72
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,155670,18-Feb,7,33,104496.768,72
CARBURANT,GOULETTE,GASOIL,155820,18-Feb,14,39,103671.456,96
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,155720,18-Feb,3,97,320747.024,221
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,151560,18-Feb,4,42,2902.688,2
CARBURANT,BIZERTE CARBURANT,GASOIL 50,151770,18-Feb,14,28,29174.332,22
CARBURANT,ZARZIS,GASOIL,222271,18-Feb,22,54,75593.77,70
CARBURANT,SKHIRA,GASOIL,206971,18-Mar,16,2,555074.254,514
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,154420,18-Mar,1,83,216250.256,149
CARBURANT,SKHIRA,GASOIL 50,152220,18-Mar,19,44,64979.194,49
CARBURANT,SKHIRA,GASOIL,153420,18-Jan,11,50,194383.98,180
CARBURANT,BIZERTE CARBURANT,GASOIL 50,563071,18-Jan,1,75,344787.56,260
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,152930,18-Jan,1,40,248179.824,171
CARBURANT,SKHIRA,GASOIL,153930,18-Jan,13,19,116630.388,108
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,152860,18-Jan,14,25,79823.92,55
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,155610,18-Jan,20,62,34832.256,24
CARBURANT,SKHIRA,GASOIL,155580,18-Jan,13,40,110150.922,102
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,150470,18-Jan,6,1,230763.696,159
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,153650,18-Jan,2,94,208993.536,144
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,152510,18-Jan,2,91,194480.096,134
CARBURANT,SKHIRA,GASOIL,151030,18-Jan,21,1,122029.943,113
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,155360,18-Jan,16,38,58053.76,40
CARBURANT,SKHIRA,GASOIL,155360,18-Jan,16,38,233260.776,216
CARBURANT,SKHIRA,GASOIL,154270,18-Jan,17,30,340171.965,315
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,155710,18-Jan,6,5,87080.64,60
CARBURANT,BIZERTE CARBURANT,GASOIL 50,152800,18-Jan,14,13,18565.484,14
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,152170,18-Jan,4,6,21770.16,15
CARBURANT,SKHIRA,GASOIL,151620,18-Jan,12,20,154427.273,143
CARBURANT,BIZERTE CARBURANT,PETROLE,154620,18-Jan,21,22,5766.368,8
CARBURANT,SKHIRA,GASOIL,153060,18-Jan,21,68,100431.723,93
CARBURANT,BIZERTE CARBURANT,GASOIL 50,154870,18-Jan,14,28,79566.36,60
CARBURANT,BIZERTE CARBURANT,FOL,207131,18-Jan,15,17,158272.06,318.6
CARBURANT,SKHIRA,GASOIL,155200,18-Jan,11,27,272137.572,252
CARBURANT,ZARZIS,GASOIL,153430,18-Jan,23,56,69114.304,64
CARBURANT,SKHIRA,GASOIL,241340,18-Jan,17,55,1044273.937,967
CARBURANT,BIZERTE CARBURANT,GASOIL 50,153780,18-Jan,5,25,29130.332,22
CARBURANT,BIZERTE CARBURANT,GASOIL 50,154450,18-Jan,3,52,108740.692,82
CARBURANT,ZARZIS,GASOIL,210041,18-Jan,22,25,29761.508,28
CARBURANT,BIZERTE CARBURANT,GASOIL 50,218401,18-Jan,6,40,3978.318,3
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,154670,18-Jan,6,8,20318.816,14
