NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,154270,18-Jan,17,30,340171.965,315.0,1079.911,AGAREB
1,2,154270,18-Jun,17,30,39268.561,26.0,1510.3292692307693,AGAREB
1,1,154270,18-Oct,17,30,256408.212,204.0,1256.903,AGAREB
1,3,154270,19-Feb,17,30,47623.36,32.0,1488.23,AGAREB
1,6,154270,19-Apr,17,30,54503.995,35.0,1557.257,AGAREB
1,1,154270,18-May,17,30,259680.729,231.0,1124.1589999999999,AGAREB
1,3,154270,18-Jul,17,30,54595.588,38.0,1436.726,AGAREB
2,1,154270,19-Jan,17,30,27616.82,22.0,1255.31,AGAREB
1,1,154270,18-Nov,17,30,213673.51,170.0,1256.903,AGAREB
1,1,154270,19-Mar,17,30,223445.18,178.0,1255.31,AGAREB
1,3,154270,18-Apr,17,30,52073.452,38.0,1370.354,AGAREB
1,2,154270,18-Apr,17,30,38827.386,26.0,1493.3609999999999,AGAREB
3,3,154270,19-Jan,17,30,5952.92,4.0,1488.23,AGAREB
1,2,154270,18-Sep,17,30,56137.403,35.0,1603.9258,AGAREB
1,3,154270,18-Oct,17,30,44694.69,30.0,1489.823,AGAREB
2,2,154270,19-Jan,17,30,6421.176,4.0,1605.294,AGAREB
1,2,154270,19-Apr,17,30,63491.92,38.0,1670.84,AGAREB
1,2,154270,18-Mar,17,30,42088.976,29.0,1451.344,AGAREB
1,3,154270,18-Mar,17,30,49065.922,37.0,1326.106,AGAREB
1,2,154270,18-Dec,17,30,53003.449,33.0,1606.1651212121212,AGAREB
2,2,154270,18-Jul,17,30,6225.544,4.0,1556.386,AGAREB
1,3,154270,18-Jun,17,30,49996.464,36.0,1388.7906666666668,AGAREB
1,3,154270,18-Sep,17,30,49164.159,33.0,1489.823,AGAREB
4,3,154270,18-Mar,17,30,9282.742,7.0,1326.106,AGAREB
1,1,154270,18-Dec,17,30,194705.269,155.0,1256.1630258064515,AGAREB
1,2,154270,19-Jan,17,30,41737.644,26.0,1605.294,AGAREB
1,2,154270,18-Oct,17,30,35349.754,22.0,1606.807,AGAREB
1,3,154270,18-Nov,17,30,41715.044,28.0,1489.823,AGAREB
1,2,154270,18-Aug,17,30,96495.932,62.0,1556.386,AGAREB
1,1,154270,18-Jun,17,30,245216.066,214.0,1145.8694672897195,AGAREB
3,3,154270,18-Nov,17,30,4469.469,3.0,1489.823,AGAREB
2,1,154270,18-Oct,17,30,17596.642,14.0,1256.903,AGAREB
1,2,154270,18-Jan,17,30,39186.288,27.0,1451.344,AGAREB
1,1,154270,19-Jan,17,30,217168.63,173.0,1255.31,AGAREB
1,1,154270,18-Jul,17,30,272631.599,229.0,1190.531,AGAREB
4,3,154270,18-Jul,17,30,4310.178,3.0,1436.7259999999999,AGAREB
1,1,154270,19-Feb,17,30,251062.0,200.0,1255.31,AGAREB
