NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,2,154770,18-Aug,7,19,6225.544,4.0,1556.386,AMDOUN
1,3,154770,18-Oct,7,19,4469.469,3.0,1489.823,AMDOUN
2,1,154770,18-Nov,7,19,158369.778,126.0,1256.903,AMDOUN
3,1,154770,18-Dec,7,19,16339.739,13.0,1256.903,AMDOUN
1,2,154770,19-Jan,7,19,6421.176,4.0,1605.294,AMDOUN
1,2,154770,19-Mar,7,19,6421.176,4.0,1605.294,AMDOUN
3,6,154770,19-Mar,7,19,5952.92,4.0,1488.23,AMDOUN
3,2,154770,18-Apr,7,19,5973.444,4.0,1493.361,AMDOUN
2,2,154770,18-Mar,7,19,18867.472,13.0,1451.344,AMDOUN
2,1,154770,18-May,7,19,152885.624,136.0,1124.159,AMDOUN
2,1,154770,18-Jun,7,19,199585.986,174.0,1147.0458965517241,AMDOUN
2,2,154770,19-Apr,7,19,16708.4,10.0,1670.8400000000001,AMDOUN
2,2,154770,19-May,7,19,13366.72,8.0,1670.84,AMDOUN
3,1,154770,18-May,7,19,32600.611,29.0,1124.159,AMDOUN
2,1,154770,18-Jul,7,19,226200.89,190.0,1190.5310000000002,AMDOUN
2,1,154770,18-Oct,7,19,188535.45,150.0,1256.903,AMDOUN
3,2,154770,18-Dec,7,19,4820.421,3.0,1606.807,AMDOUN
2,2,154770,19-Jun,7,19,18379.24,11.0,1670.8400000000001,AMDOUN
2,6,154770,19-Jun,7,19,6229.028,4.0,1557.257,AMDOUN
3,3,154770,18-Dec,7,19,10428.761,7.0,1489.823,AMDOUN
2,2,154770,18-Jul,7,19,28014.948,18.0,1556.386,AMDOUN
3,1,154770,18-Jun,7,19,31476.452,28.0,1124.159,AMDOUN
2,2,154770,19-Aug,7,19,26699.824,16.0,1668.739,AMDOUN
2,1,154770,19-Sep,7,19,202307.896,152.0,1330.973,AMDOUN
2,3,154770,19-Apr,7,19,14015.313,9.0,1557.257,AMDOUN
2,1,154770,18-Aug,7,19,167864.871,141.0,1190.5310000000002,AMDOUN
3,1,154770,18-Sep,7,19,27651.866,22.0,1256.903,AMDOUN
2,3,154770,19-May,7,19,6229.028,4.0,1557.257,AMDOUN
2,6,154770,19-Jul,7,19,12449.204,8.0,1556.1505,AMDOUN
3,3,154770,18-Aug,7,19,21550.89,15.0,1436.7259999999999,AMDOUN
2,2,154770,18-Aug,7,19,20233.018,13.0,1556.386,AMDOUN
2,1,154770,18-Sep,7,19,167628.538,134.0,1250.9592388059702,AMDOUN
2,2,154770,18-Nov,7,19,9640.842,6.0,1606.807,AMDOUN
3,3,154770,19-Feb,7,19,4464.69,3.0,1488.2299999999998,AMDOUN
1,1,154770,19-Mar,7,19,15063.72,12.0,1255.31,AMDOUN
2,6,154770,19-Nov,7,19,9330.264,6.0,1555.0439999999999,AMDOUN
2,2,154770,18-Feb,7,19,7256.72,5.0,1451.344,AMDOUN
3,3,154770,18-Feb,7,19,5304.424,4.0,1326.106,AMDOUN
2,2,154770,18-Feb,7,19,8708.064,6.0,1451.344,AMDOUN
3,3,154770,18-May,7,19,5481.416,4.0,1370.354,AMDOUN
2,2,154770,18-Sep,7,19,24102.105,15.0,1606.807,AMDOUN
2,1,154770,19-Jun,7,19,190645.598,143.0,1333.186,AMDOUN
2,6,154770,19-Sep,7,19,10885.308,7.0,1555.044,AMDOUN
3,1,154770,18-Apr,7,19,24731.498,22.0,1124.1589999999999,AMDOUN
3,3,154770,18-Apr,7,19,6851.77,5.0,1370.354,AMDOUN
3,2,154770,18-Nov,7,19,4820.421,3.0,1606.807,AMDOUN
1,3,154770,18-Feb,7,19,5304.424,4.0,1326.106,AMDOUN
2,1,154770,18-Mar,7,19,123109.854,114.0,1079.911,AMDOUN
2,1,154770,18-Apr,7,19,83187.766,74.0,1124.159,AMDOUN
3,2,154770,18-May,7,19,4480.083,3.0,1493.3609999999999,AMDOUN
2,2,154770,19-Jan,7,19,8026.47,5.0,1605.294,AMDOUN
2,1,154770,19-Oct,7,19,200976.923,151.0,1330.973,AMDOUN
2,6,154770,19-Oct,7,19,9330.264,6.0,1555.0439999999999,AMDOUN
2,6,154770,19-Aug,7,19,12440.352,8.0,1555.044,AMDOUN
3,3,154770,18-Mar,7,19,10608.848,8.0,1326.106,AMDOUN
3,1,154770,18-Mar,7,19,10799.11,10.0,1079.911,AMDOUN
3,3,154770,18-Jul,7,19,8620.356,6.0,1436.7259999999999,AMDOUN
3,3,154770,18-Oct,7,19,5959.292,4.0,1489.823,AMDOUN
3,3,154770,18-Jun,7,19,11228.32,8.0,1403.54,AMDOUN
2,2,154770,18-Dec,7,19,16062.018,10.0,1606.2018,AMDOUN
3,2,154770,19-Jan,7,19,4815.882,3.0,1605.2939999999999,AMDOUN
3,2,154770,19-May,7,19,5012.52,3.0,1670.8400000000001,AMDOUN
2,2,154770,19-Mar,7,19,8026.47,5.0,1605.294,AMDOUN
2,2,154770,19-Jul,7,19,25047.893,15.0,1669.8595333333333,AMDOUN
2,1,154770,18-Jan,7,19,146867.896,136.0,1079.911,AMDOUN
2,1,154770,19-Jan,7,19,86616.39,69.0,1255.31,AMDOUN
2,2,154770,18-Jun,7,19,22589.49,15.0,1505.9660000000001,AMDOUN
3,3,154770,18-Jan,7,19,3978.318,3.0,1326.106,AMDOUN
2,2,154770,18-Apr,7,19,14933.61,10.0,1493.361,AMDOUN
2,2,154770,18-May,7,19,19413.693,13.0,1493.3609999999999,AMDOUN
3,3,154770,19-Jan,7,19,11905.84,8.0,1488.23,AMDOUN
3,1,154770,18-Aug,7,19,7143.186,6.0,1190.531,AMDOUN
3,3,154770,18-Nov,7,19,7449.115,5.0,1489.8229999999999,AMDOUN
3,1,154770,19-May,7,19,18664.604,14.0,1333.186,AMDOUN
3,2,154770,19-Aug,7,19,5006.217,3.0,1668.7389999999998,AMDOUN
2,2,154770,19-Sep,7,19,13349.912,8.0,1668.739,AMDOUN
3,1,154770,18-Oct,7,19,50276.12,40.0,1256.903,AMDOUN
2,2,154770,18-Oct,7,19,14461.263,9.0,1606.807,AMDOUN
2,2,154770,19-Feb,7,19,16052.94,10.0,1605.294,AMDOUN
2,1,154770,19-Nov,7,19,198314.977,149.0,1330.9730000000002,AMDOUN
2,1,154770,19-Dec,7,19,185005.247,139.0,1330.973,AMDOUN
2,2,154770,19-Dec,7,19,15018.651,9.0,1668.739,AMDOUN
2,2,154770,18-Jan,7,19,20318.816,14.0,1451.3439999999998,AMDOUN
2,1,154770,18-Feb,7,19,58315.194,54.0,1079.911,AMDOUN
2,1,154770,19-Apr,7,19,141317.716,106.0,1333.186,AMDOUN
3,2,154770,18-Oct,7,19,6427.228,4.0,1606.807,AMDOUN
3,1,154770,18-Nov,7,19,23881.157,19.0,1256.903,AMDOUN
3,1,154770,19-Jan,7,19,16319.03,13.0,1255.31,AMDOUN
2,1,154770,19-Feb,7,19,121765.07,97.0,1255.3100000000002,AMDOUN
2,1,154770,19-Jul,7,19,261100.86,196.0,1332.1472448979591,AMDOUN
3,1,154770,19-Aug,7,19,34605.298,26.0,1330.9730000000002,AMDOUN
2,1,154770,18-Feb,7,19,45356.262,42.0,1079.911,AMDOUN
2,2,154770,19-Oct,7,19,16687.39,10.0,1668.739,AMDOUN
2,6,154770,19-Dec,7,19,10885.308,7.0,1555.044,AMDOUN
2,1,154770,18-Dec,7,19,155787.473,124.0,1256.3505887096774,AMDOUN
1,1,154770,18-Oct,7,19,8798.321,7.0,1256.903,AMDOUN
2,1,154770,19-May,7,19,93323.02,70.0,1333.1860000000001,AMDOUN
2,1,154770,19-Mar,7,19,77829.22,62.0,1255.31,AMDOUN
3,2,154770,19-Sep,7,19,6674.956,4.0,1668.739,AMDOUN
2,1,154770,19-Aug,7,19,141083.138,106.0,1330.973,AMDOUN
2,2,154770,19-Nov,7,19,25031.085,15.0,1668.739,AMDOUN
