NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,1,150720,18-Jan,2,12,109071.011,101.0,1079.911,ARIANA
2,4,150720,18-Dec,2,12,12247.648,7.0,1749.664,ARIANA
3,2,150720,18-Dec,2,12,8034.035,5.0,1606.807,ARIANA
2,2,150720,18-Oct,2,12,331002.242,206.0,1606.8070000000002,ARIANA
1,1,150720,19-Jan,2,12,5021.24,4.0,1255.31,ARIANA
2,6,150720,19-Jul,2,12,96487.97,62.0,1556.2575806451614,ARIANA
2,2,150720,19-Jul,2,12,452535.015,271.0,1669.8709040590406,ARIANA
2,5,150720,19-Oct,2,12,13656.64,8.0,1707.08,ARIANA
2,2,150720,19-Nov,2,12,518977.829,311.0,1668.739,ARIANA
2,2,150720,18-Mar,2,12,84177.952,58.0,1451.344,ARIANA
3,3,150720,18-Jul,2,12,14367.26,10.0,1436.726,ARIANA
2,1,150720,18-Nov,2,12,93010.822,74.0,1256.903,ARIANA
3,2,150720,18-Oct,2,12,56238.245,35.0,1606.807,ARIANA
3,2,150720,18-Nov,2,12,24102.105,15.0,1606.807,ARIANA
1,1,150720,18-Dec,2,12,10055.224,8.0,1256.903,ARIANA
2,4,150720,19-May,2,12,38295.873,21.0,1823.613,ARIANA
2,2,150720,19-Jun,2,12,422722.52,253.0,1670.8400000000001,ARIANA
1,2,150720,19-Sep,2,12,73424.516,44.0,1668.739,ARIANA
2,2,150720,19-Sep,2,12,347097.712,208.0,1668.739,ARIANA
2,5,150720,19-Nov,2,12,17070.8,10.0,1707.08,ARIANA
3,3,150720,18-Dec,2,12,84892.83,57.0,1489.3478947368421,ARIANA
2,1,150720,18-Dec,2,12,108045.868,86.0,1256.3473023255815,ARIANA
3,4,150720,18-Nov,2,12,6998.656,4.0,1749.664,ARIANA
3,2,150720,19-Jan,2,12,8026.47,5.0,1605.294,ARIANA
3,5,150720,19-Feb,2,12,14682.744,9.0,1631.4160000000002,ARIANA
2,1,150720,19-May,2,12,133318.6,100.0,1333.1860000000001,ARIANA
2,4,150720,19-Feb,2,12,8748.32,5.0,1749.664,ARIANA
2,2,150720,19-Oct,2,12,508965.395,305.0,1668.739,ARIANA
