NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,1,151140,18-Feb,1,75,28077.686,26.0,1079.911,AV.BOUGATFA
2,2,151140,18-Apr,1,75,259844.814,174.0,1493.361,AV.BOUGATFA
3,3,151140,18-Apr,1,75,58925.222,43.0,1370.354,AV.BOUGATFA
3,2,151140,18-Dec,1,75,11247.649,7.0,1606.807,AV.BOUGATFA
3,4,151140,18-Jul,1,75,23789.416,14.0,1699.2440000000001,AV.BOUGATFA
2,2,151140,18-Nov,1,75,249055.085,155.0,1606.807,AV.BOUGATFA
2,4,151140,18-Nov,1,75,10497.984,6.0,1749.664,AV.BOUGATFA
1,1,151140,19-Feb,1,75,6276.55,5.0,1255.31,AV.BOUGATFA
3,6,151140,19-Mar,1,75,58040.97,39.0,1488.23,AV.BOUGATFA
2,4,151140,19-Mar,1,75,12247.648,7.0,1749.664,AV.BOUGATFA
2,1,151140,19-Aug,1,75,122449.516,92.0,1330.973,AV.BOUGATFA
2,4,151140,19-Nov,1,75,10929.072,6.0,1821.512,AV.BOUGATFA
2,2,151140,18-Mar,1,75,284463.424,196.0,1451.344,AV.BOUGATFA
1,1,151140,18-Mar,1,75,15118.754,14.0,1079.911,AV.BOUGATFA
2,1,151140,18-Aug,1,75,119053.1,100.0,1190.531,AV.BOUGATFA
3,3,151140,18-Sep,1,75,62572.566,42.0,1489.8229999999999,AV.BOUGATFA
3,4,151140,19-Feb,1,75,5248.992,3.0,1749.664,AV.BOUGATFA
2,3,151140,19-May,1,75,73191.079,47.0,1557.257,AV.BOUGATFA
2,4,151140,19-Apr,1,75,7294.452,4.0,1823.613,AV.BOUGATFA
2,1,151140,19-Oct,1,75,135759.246,102.0,1330.9730000000002,AV.BOUGATFA
2,2,151140,19-Aug,1,75,213598.592,128.0,1668.739,AV.BOUGATFA
2,6,151140,19-Aug,1,75,65311.848,42.0,1555.0439999999999,AV.BOUGATFA
2,2,151140,19-Dec,1,75,290360.586,174.0,1668.739,AV.BOUGATFA
2,2,151140,18-Feb,1,75,159647.84,110.0,1451.344,AV.BOUGATFA
3,3,151140,18-May,1,75,57554.868,42.0,1370.354,AV.BOUGATFA
