NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,152620,18-Jan,1,43,137877.68,95.0,1451.3439999999998,AV DE CARTHAGE
3,2,152620,18-Jan,1,43,31929.568,22.0,1451.344,AV DE CARTHAGE
2,1,152620,18-Aug,1,43,75003.453,63.0,1190.531,AV DE CARTHAGE
3,3,152620,18-Sep,1,43,58103.097,39.0,1489.823,AV DE CARTHAGE
2,2,152620,18-Sep,1,43,167107.928,104.0,1606.8070000000002,AV DE CARTHAGE
2,2,152620,18-Oct,1,43,205671.296,128.0,1606.807,AV DE CARTHAGE
2,2,152620,19-Oct,1,43,238629.677,143.0,1668.739,AV DE CARTHAGE
2,1,152620,19-Jul,1,43,81264.595,61.0,1332.206475409836,AV DE CARTHAGE
2,2,152620,18-Feb,1,43,111753.488,77.0,1451.344,AV DE CARTHAGE
3,2,152620,18-Nov,1,43,38563.368,24.0,1606.807,AV DE CARTHAGE
2,1,152620,18-Jun,1,43,56871.67,50.0,1137.4334,AV DE CARTHAGE
2,1,152620,19-Oct,1,43,109139.786,82.0,1330.973,AV DE CARTHAGE
3,6,152620,19-Nov,1,43,23325.66,15.0,1555.044,AV DE CARTHAGE
2,2,152620,18-Apr,1,43,195630.291,131.0,1493.3609999999999,AV DE CARTHAGE
3,1,152620,18-Apr,1,43,22483.18,20.0,1124.159,AV DE CARTHAGE
3,2,152620,18-Dec,1,43,40170.175,25.0,1606.807,AV DE CARTHAGE
3,3,152620,18-Jul,1,43,68962.848,48.0,1436.7259999999999,AV DE CARTHAGE
3,3,152620,18-Jun,1,43,44382.304,32.0,1386.947,AV DE CARTHAGE
2,6,152620,19-Jun,1,43,63847.537,41.0,1557.2569999999998,AV DE CARTHAGE
2,6,152620,19-Mar,1,43,14882.3,10.0,1488.23,AV DE CARTHAGE
3,3,152620,18-Aug,1,43,40228.328,28.0,1436.726,AV DE CARTHAGE
2,2,152620,19-Nov,1,43,221942.287,133.0,1668.739,AV DE CARTHAGE
2,1,152620,18-Feb,1,43,34557.152,32.0,1079.911,AV DE CARTHAGE
