NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,3,151350,18-Dec,1,43,41697.521,28.0,1489.1971785714286,AV. HEDI SAIDI
2,2,151350,18-Sep,1,43,218525.752,136.0,1606.807,AV. HEDI SAIDI
3,2,151350,18-Oct,1,43,11247.649,7.0,1606.807,AV. HEDI SAIDI
2,2,151350,19-May,1,43,269005.24,161.0,1670.84,AV. HEDI SAIDI
6,1,151350,19-Dec,1,43,-9526.811,-7.0,1360.973,AV. HEDI SAIDI
2,1,151350,19-Aug,1,43,49246.001,37.0,1330.973,AV. HEDI SAIDI
2,6,151350,19-Dec,1,43,38876.1,25.0,1555.0439999999999,AV. HEDI SAIDI
2,2,151350,18-Feb,1,43,136426.336,94.0,1451.344,AV. HEDI SAIDI
3,3,151350,18-May,1,43,35629.204,26.0,1370.3539999999998,AV. HEDI SAIDI
3,1,151350,18-Oct,1,43,6284.515,5.0,1256.903,AV. HEDI SAIDI
1,2,151350,18-Oct,1,43,8034.035,5.0,1606.807,AV. HEDI SAIDI
2,6,151350,19-Sep,1,43,34210.968,22.0,1555.044,AV. HEDI SAIDI
6,1,151350,18-Apr,1,43,-2308.318,-2.0,1154.159,AV. HEDI SAIDI
2,2,151350,18-Dec,1,43,199195.652,124.0,1606.4165483870968,AV. HEDI SAIDI
2,2,151350,18-Jun,1,43,220677.756,146.0,1511.4914794520548,AV. HEDI SAIDI
2,3,151350,19-May,1,43,34259.654,22.0,1557.257,AV. HEDI SAIDI
6,1,151350,19-Mar,1,43,-51406.397,-29.0,1772.6343793103447,AV. HEDI SAIDI
3,6,151350,19-Mar,1,43,20835.22,14.0,1488.23,AV. HEDI SAIDI
6,1,151350,18-Feb,1,43,-3329.733,-3.0,1109.911,AV. HEDI SAIDI
2,2,151350,18-Nov,1,43,210491.717,131.0,1606.807,AV. HEDI SAIDI
1,6,151350,19-Mar,1,43,5952.92,4.0,1488.23,AV. HEDI SAIDI
2,2,151350,19-Aug,1,43,171880.117,103.0,1668.739,AV. HEDI SAIDI
2,6,151350,19-Jul,1,43,45131.684,29.0,1556.2649655172413,AV. HEDI SAIDI
3,2,151350,19-Sep,1,43,11681.173,7.0,1668.739,AV. HEDI SAIDI
6,1,151350,19-Nov,1,43,-27219.46,-20.0,1360.973,AV. HEDI SAIDI
2,2,151350,18-Jan,1,43,177063.968,122.0,1451.344,AV. HEDI SAIDI
3,3,151350,18-Feb,1,43,9282.742,7.0,1326.106,AV. HEDI SAIDI
6,1,151350,18-Jan,1,43,-4343.644,-4.0,1085.911,AV. HEDI SAIDI
1,3,151350,18-Feb,1,43,15913.272,12.0,1326.106,AV. HEDI SAIDI
2,2,151350,18-Jul,1,43,219450.426,141.0,1556.386,AV. HEDI SAIDI
3,3,151350,18-Sep,1,43,31286.283,21.0,1489.8229999999999,AV. HEDI SAIDI
2,1,151350,19-Feb,1,43,77829.22,62.0,1255.31,AV. HEDI SAIDI
2,2,151350,19-Jul,1,43,228760.111,137.0,1669.7818321167883,AV. HEDI SAIDI
2,1,151350,19-Dec,1,43,67879.623,51.0,1330.9730000000002,AV. HEDI SAIDI
2,1,151350,18-Feb,1,43,46436.173,43.0,1079.911,AV. HEDI SAIDI
1,2,151350,19-Jan,1,43,54579.996,34.0,1605.2939999999999,AV. HEDI SAIDI
3,1,151350,18-Nov,1,43,6284.515,5.0,1256.903,AV. HEDI SAIDI
2,1,151350,18-Nov,1,43,62845.15,50.0,1256.903,AV. HEDI SAIDI
2,1,151350,19-May,1,43,63992.928,48.0,1333.186,AV. HEDI SAIDI
2,1,151350,19-Apr,1,43,77324.788,58.0,1333.186,AV. HEDI SAIDI
2,2,151350,19-Apr,1,43,247284.32,148.0,1670.8400000000001,AV. HEDI SAIDI
1,2,151350,19-Sep,1,43,40049.736,24.0,1668.7389999999998,AV. HEDI SAIDI
6,1,151350,19-Oct,1,43,-13609.73,-10.0,1360.973,AV. HEDI SAIDI
3,3,151350,18-Apr,1,43,35629.204,26.0,1370.3539999999998,AV. HEDI SAIDI
2,1,151350,18-Apr,1,43,46090.519,41.0,1124.159,AV. HEDI SAIDI
2,1,151350,18-May,1,43,51711.314,46.0,1124.1589999999999,AV. HEDI SAIDI
1,3,151350,18-Aug,1,43,8620.356,6.0,1436.7259999999999,AV. HEDI SAIDI
1,3,151350,18-Oct,1,43,5959.292,4.0,1489.823,AV. HEDI SAIDI
6,1,151350,18-Dec,1,43,-3980.109,-3.0,1326.703,AV. HEDI SAIDI
6,1,151350,19-Jan,1,43,119.4,0.0,inf,AV. HEDI SAIDI
3,1,151350,19-Aug,1,43,5323.892,4.0,1330.973,AV. HEDI SAIDI
2,1,151350,18-Feb,1,43,22678.131,21.0,1079.911,AV. HEDI SAIDI
3,3,151350,18-Mar,1,43,33152.65,25.0,1326.106,AV. HEDI SAIDI
3,3,151350,18-Feb,1,43,9282.742,7.0,1326.106,AV. HEDI SAIDI
1,1,151350,18-Mar,1,43,4319.644,4.0,1079.911,AV. HEDI SAIDI
3,3,151350,19-Jan,1,43,25299.91,17.0,1488.23,AV. HEDI SAIDI
2,1,151350,18-Aug,1,43,47621.24,40.0,1190.531,AV. HEDI SAIDI
3,2,151350,18-Nov,1,43,48204.21,30.0,1606.807,AV. HEDI SAIDI
1,3,151350,19-Jan,1,43,4464.69,3.0,1488.2299999999998,AV. HEDI SAIDI
3,3,151350,18-Jul,1,43,30171.246,21.0,1436.7259999999999,AV. HEDI SAIDI
1,1,151350,18-Aug,1,43,7143.186,6.0,1190.531,AV. HEDI SAIDI
2,2,151350,19-Feb,1,43,234372.924,146.0,1605.294,AV. HEDI SAIDI
1,2,151350,19-Feb,1,43,19263.528,12.0,1605.2939999999999,AV. HEDI SAIDI
2,1,151350,19-Jun,1,43,55993.812,42.0,1333.186,AV. HEDI SAIDI
1,2,151350,19-Mar,1,43,61001.172,38.0,1605.2939999999999,AV. HEDI SAIDI
2,1,151350,19-Jul,1,43,54616.366,41.0,1332.106487804878,AV. HEDI SAIDI
2,6,151350,19-Oct,1,43,40431.144,26.0,1555.044,AV. HEDI SAIDI
2,2,151350,19-Dec,1,43,235292.199,141.0,1668.739,AV. HEDI SAIDI
2,2,151350,18-May,1,43,244911.204,164.0,1493.3609999999999,AV. HEDI SAIDI
2,1,151350,18-Jun,1,43,41133.444,36.0,1142.5956666666668,AV. HEDI SAIDI
2,2,151350,18-Oct,1,43,252268.699,157.0,1606.807,AV. HEDI SAIDI
3,3,151350,18-Nov,1,43,35755.752,24.0,1489.823,AV. HEDI SAIDI
2,6,151350,19-Jun,1,43,32702.397,21.0,1557.257,AV. HEDI SAIDI
2,3,151350,19-Apr,1,43,32702.397,21.0,1557.257,AV. HEDI SAIDI
2,1,151350,19-Sep,1,43,59893.785,45.0,1330.9730000000002,AV. HEDI SAIDI
2,1,151350,18-Dec,1,43,72873.293,58.0,1256.4360862068966,AV. HEDI SAIDI
2,2,151350,19-Jan,1,43,191029.986,119.0,1605.294,AV. HEDI SAIDI
3,2,151350,18-Aug,1,43,18676.632,12.0,1556.3860000000002,AV. HEDI SAIDI
2,2,151350,19-Jun,1,43,200500.8,120.0,1670.84,AV. HEDI SAIDI
3,6,151350,19-Apr,1,43,6229.028,4.0,1557.257,AV. HEDI SAIDI
2,1,151350,19-Mar,1,43,30127.44,24.0,1255.31,AV. HEDI SAIDI
1,1,151350,19-Mar,1,43,22595.58,18.0,1255.3100000000002,AV. HEDI SAIDI
2,2,151350,19-Nov,1,43,236960.938,142.0,1668.739,AV. HEDI SAIDI
3,6,151350,19-Oct,1,43,7775.22,5.0,1555.044,AV. HEDI SAIDI
2,2,151350,18-Feb,1,43,81275.264,56.0,1451.3439999999998,AV. HEDI SAIDI
3,2,151350,18-Jan,1,43,17416.128,12.0,1451.344,AV. HEDI SAIDI
2,1,151350,18-Mar,1,43,55075.461,51.0,1079.911,AV. HEDI SAIDI
2,1,151350,18-Oct,1,43,51533.023,41.0,1256.903,AV. HEDI SAIDI
3,3,151350,19-Feb,1,43,35717.52,24.0,1488.2299999999998,AV. HEDI SAIDI
2,1,151350,18-Jan,1,43,51835.728,48.0,1079.911,AV. HEDI SAIDI
