NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,3,153380,18-May,1,43,43851.328,32.0,1370.354,AV MOHAMED 5
2,2,153380,19-Feb,1,43,255241.746,159.0,1605.294,AV MOHAMED 5
2,6,153380,19-Jun,1,43,40488.682,26.0,1557.257,AV MOHAMED 5
3,6,153380,19-Nov,1,43,29545.836,19.0,1555.0439999999999,AV MOHAMED 5
2,6,153380,19-Dec,1,43,48206.364,31.0,1555.044,AV MOHAMED 5
2,2,153380,18-Apr,1,43,315099.171,211.0,1493.3609999999999,AV MOHAMED 5
3,3,153380,18-Nov,1,43,46184.513,31.0,1489.8229999999999,AV MOHAMED 5
2,2,153380,19-Apr,1,43,349205.56,209.0,1670.84,AV MOHAMED 5
2,4,153380,19-Sep,1,43,5464.536,3.0,1821.512,AV MOHAMED 5
3,3,153380,18-Jan,1,43,45087.604,34.0,1326.106,AV MOHAMED 5
2,2,153380,18-May,1,43,277765.146,186.0,1493.361,AV MOHAMED 5
2,2,153380,18-Dec,1,43,269863.387,168.0,1606.3296845238094,AV MOHAMED 5
1,3,153380,18-Dec,1,43,8938.938,6.0,1489.823,AV MOHAMED 5
2,2,153380,18-Nov,1,43,292438.874,182.0,1606.807,AV MOHAMED 5
2,2,153380,18-Oct,1,43,342249.891,213.0,1606.807,AV MOHAMED 5
2,2,153380,18-Jun,1,43,201603.735,135.0,1493.3609999999999,AV MOHAMED 5
1,1,153380,19-Jan,1,43,12553.1,10.0,1255.31,AV MOHAMED 5
2,2,153380,19-May,1,43,322472.12,193.0,1670.84,AV MOHAMED 5
2,1,153380,18-May,1,43,42718.042,38.0,1124.159,AV MOHAMED 5
3,3,153380,19-Jan,1,43,41670.44,28.0,1488.23,AV MOHAMED 5
3,3,153380,18-Aug,1,43,41665.054,29.0,1436.7259999999999,AV MOHAMED 5
2,2,153380,19-Jul,1,43,307268.581,184.0,1669.9379402173913,AV MOHAMED 5
2,6,153380,19-Nov,1,43,24880.704,16.0,1555.044,AV MOHAMED 5
3,3,153380,18-Dec,1,43,43192.123,29.0,1489.383551724138,AV MOHAMED 5
3,3,153380,18-Jul,1,43,41665.054,29.0,1436.7259999999999,AV MOHAMED 5
3,3,153380,18-Jun,1,43,31518.142,23.0,1370.354,AV MOHAMED 5
1,3,153380,18-Oct,1,43,22347.345,15.0,1489.823,AV MOHAMED 5
1,2,153380,19-Mar,1,43,73843.524,46.0,1605.294,AV MOHAMED 5
3,2,153380,19-Sep,1,43,33374.78,20.0,1668.739,AV MOHAMED 5
2,2,153380,19-Nov,1,43,335416.539,201.0,1668.739,AV MOHAMED 5
