NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,2,150300,18-Jan,1,43,24672.848,17.0,1451.344,AV REPUBLIQUE
2,1,150300,18-Jul,1,43,167864.871,141.0,1190.5310000000002,AV REPUBLIQUE
2,2,150300,19-Jan,1,43,248820.57,155.0,1605.294,AV REPUBLIQUE
2,1,150300,19-Feb,1,43,116743.83,93.0,1255.31,AV REPUBLIQUE
2,6,150300,19-Jun,1,43,79420.107,51.0,1557.257,AV REPUBLIQUE
2,4,150300,19-Nov,1,43,3643.024,2.0,1821.512,AV REPUBLIQUE
2,1,150300,18-May,1,43,134899.08,120.0,1124.1589999999999,AV REPUBLIQUE
3,2,150300,18-Dec,1,43,56238.245,35.0,1606.807,AV REPUBLIQUE
3,4,150300,18-Jul,1,43,11894.708,7.0,1699.2440000000001,AV REPUBLIQUE
2,4,150300,18-Oct,1,43,10497.984,6.0,1749.664,AV REPUBLIQUE
3,2,150300,18-Nov,1,43,25708.912,16.0,1606.807,AV REPUBLIQUE
2,1,150300,19-Nov,1,43,135759.246,102.0,1330.9730000000002,AV REPUBLIQUE
2,2,150300,18-Jan,1,43,271401.328,187.0,1451.3439999999998,AV REPUBLIQUE
2,2,150300,18-Mar,1,43,317844.336,219.0,1451.344,AV REPUBLIQUE
1,3,150300,18-Feb,1,43,42435.392,32.0,1326.106,AV REPUBLIQUE
3,1,150300,18-Aug,1,43,5952.655,5.0,1190.531,AV REPUBLIQUE
2,1,150300,19-Jan,1,43,92892.94,74.0,1255.31,AV REPUBLIQUE
3,2,150300,19-Feb,1,43,19263.528,12.0,1605.2939999999999,AV REPUBLIQUE
2,1,150300,19-Jun,1,43,113320.81,85.0,1333.186,AV REPUBLIQUE
1,2,150300,19-Mar,1,43,80264.7,50.0,1605.2939999999999,AV REPUBLIQUE
3,2,150300,19-Sep,1,43,33374.78,20.0,1668.739,AV REPUBLIQUE
2,2,150300,19-Sep,1,43,323735.366,194.0,1668.7389999999998,AV REPUBLIQUE
2,1,150300,18-Aug,1,43,140482.658,118.0,1190.531,AV REPUBLIQUE
2,1,150300,18-Jun,1,43,116389.89,102.0,1141.0773529411765,AV REPUBLIQUE
2,2,150300,19-Mar,1,43,242399.394,151.0,1605.294,AV REPUBLIQUE
2,4,150300,19-Oct,1,43,3643.024,2.0,1821.512,AV REPUBLIQUE
2,2,150300,18-Sep,1,43,347668.699,217.0,1602.1599032258066,AV REPUBLIQUE
2,2,150300,19-Feb,1,43,301795.272,188.0,1605.294,AV REPUBLIQUE
2,1,150300,19-Oct,1,43,138421.192,104.0,1330.9730000000002,AV REPUBLIQUE
1,1,150300,19-Mar,1,43,15063.72,12.0,1255.31,AV REPUBLIQUE
2,1,150300,19-Aug,1,43,122449.516,92.0,1330.973,AV REPUBLIQUE
2,4,150300,19-Aug,1,43,5464.536,3.0,1821.512,AV REPUBLIQUE
2,1,150300,19-Dec,1,43,147738.003,111.0,1330.973,AV REPUBLIQUE
1,1,150300,18-Apr,1,43,31476.452,28.0,1124.159,AV REPUBLIQUE
2,2,150300,18-Aug,1,43,219450.426,141.0,1556.386,AV REPUBLIQUE
2,1,150300,18-Sep,1,43,163857.829,131.0,1250.8231221374047,AV REPUBLIQUE
1,1,150300,18-Jun,1,43,13489.908,12.0,1124.1589999999999,AV REPUBLIQUE
1,2,150300,19-Feb,1,43,30500.586,19.0,1605.2939999999999,AV REPUBLIQUE
2,1,150300,19-Jul,1,43,145186.707,109.0,1331.9881376146789,AV REPUBLIQUE
2,1,150300,18-Apr,1,43,111291.741,99.0,1124.1589999999999,AV REPUBLIQUE
2,2,150300,18-Jul,1,43,365750.71,235.0,1556.3860000000002,AV REPUBLIQUE
3,2,150300,18-Aug,1,43,43578.808,28.0,1556.386,AV REPUBLIQUE
3,1,150300,18-Oct,1,43,15082.836,12.0,1256.903,AV REPUBLIQUE
2,6,150300,19-Oct,1,43,90192.552,58.0,1555.0439999999999,AV REPUBLIQUE
2,3,150300,19-Apr,1,43,84091.878,54.0,1557.2569999999998,AV REPUBLIQUE
2,2,150300,19-Jul,1,43,414101.493,248.0,1669.7640846774195,AV REPUBLIQUE
1,2,150300,19-Sep,1,43,36712.258,22.0,1668.739,AV REPUBLIQUE
2,6,150300,19-Dec,1,43,96412.728,62.0,1555.044,AV REPUBLIQUE
2,6,150300,19-Nov,1,43,37321.056,24.0,1555.0439999999999,AV REPUBLIQUE
1,2,150300,18-Apr,1,43,0.0,0.0,,AV REPUBLIQUE
2,1,150300,18-Nov,1,43,79184.889,63.0,1256.903,AV REPUBLIQUE
2,4,150300,18-Jul,1,43,6796.976,4.0,1699.244,AV REPUBLIQUE
