NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,152170,18-Jan,4,6,21770.16,15.0,1451.344,AZMOUR
3,3,152170,18-Jul,4,6,4310.178,3.0,1436.7259999999999,AZMOUR
1,1,152170,18-Sep,4,6,21367.351,17.0,1256.903,AZMOUR
3,2,152170,18-Oct,4,6,9640.842,6.0,1606.807,AZMOUR
1,2,152170,19-Jan,4,6,8026.47,5.0,1605.294,AZMOUR
2,3,152170,19-May,4,6,4671.771,3.0,1557.2569999999998,AZMOUR
2,6,152170,19-Sep,4,6,6220.176,4.0,1555.044,AZMOUR
2,6,152170,19-Jul,4,6,4671.771,3.0,1557.2569999999998,AZMOUR
2,1,152170,18-May,4,6,56207.95,50.0,1124.1589999999999,AZMOUR
3,1,152170,19-Jan,4,6,15063.72,12.0,1255.31,AZMOUR
3,2,152170,19-Jan,4,6,9631.764,6.0,1605.2939999999999,AZMOUR
2,1,152170,19-Apr,4,6,83990.718,63.0,1333.186,AZMOUR
2,2,152170,19-Nov,4,6,31706.041,19.0,1668.739,AZMOUR
2,2,152170,19-Dec,4,6,25031.085,15.0,1668.739,AZMOUR
2,2,152170,18-Nov,4,6,24102.105,15.0,1606.807,AZMOUR
2,1,152170,19-Jun,4,6,99988.95,75.0,1333.186,AZMOUR
2,3,152170,19-Apr,4,6,9343.542,6.0,1557.2569999999998,AZMOUR
2,1,152170,19-Mar,4,6,43935.85,35.0,1255.31,AZMOUR
2,2,152170,19-May,4,6,46783.52,28.0,1670.84,AZMOUR
2,2,152170,19-Sep,4,6,35043.519,21.0,1668.739,AZMOUR
1,2,152170,18-Apr,4,6,5973.444,4.0,1493.361,AZMOUR
3,2,152170,18-Sep,4,6,6427.228,4.0,1606.807,AZMOUR
2,2,152170,19-Jan,4,6,9631.764,6.0,1605.2939999999999,AZMOUR
2,6,152170,19-Jun,4,6,4671.771,3.0,1557.2569999999998,AZMOUR
2,2,152170,19-Jul,4,6,38408.31,23.0,1669.9265217391303,AZMOUR
2,1,152170,19-Dec,4,6,58562.812,44.0,1330.973,AZMOUR
2,2,152170,18-Apr,4,6,19413.693,13.0,1493.3609999999999,AZMOUR
3,3,152170,18-Apr,4,6,2740.708,2.0,1370.354,AZMOUR
3,1,152170,18-Apr,4,6,3372.477,3.0,1124.1589999999999,AZMOUR
3,1,152170,18-Jul,4,6,7143.186,6.0,1190.531,AZMOUR
2,2,152170,19-Oct,4,6,28368.563,17.0,1668.7389999999998,AZMOUR
3,1,152170,19-Jul,4,6,9316.811,7.0,1330.973,AZMOUR
3,3,152170,18-Feb,4,6,3978.318,3.0,1326.106,AZMOUR
1,2,152170,18-Aug,4,6,17120.246,11.0,1556.386,AZMOUR
2,1,152170,18-Sep,4,6,57419.306,46.0,1248.2457826086957,AZMOUR
2,1,152170,18-Oct,4,6,46505.411,37.0,1256.903,AZMOUR
1,1,152170,19-Mar,4,6,25106.2,20.0,1255.31,AZMOUR
2,2,152170,18-May,4,6,26880.498,18.0,1493.3609999999999,AZMOUR
3,1,152170,19-Feb,4,6,6276.55,5.0,1255.31,AZMOUR
2,1,152170,19-Aug,4,6,94499.083,71.0,1330.973,AZMOUR
3,2,152170,19-Mar,4,6,4815.882,3.0,1605.2939999999999,AZMOUR
2,6,152170,19-Dec,4,6,4665.132,3.0,1555.0439999999999,AZMOUR
2,2,152170,19-Feb,4,6,22474.116,14.0,1605.294,AZMOUR
2,1,152170,19-Jan,4,6,22595.58,18.0,1255.3100000000002,AZMOUR
2,1,152170,18-Jan,4,6,51835.728,48.0,1079.911,AZMOUR
2,1,152170,18-Dec,4,6,82928.517,66.0,1256.4926818181818,AZMOUR
1,1,152170,18-Apr,4,6,13489.908,12.0,1124.1589999999999,AZMOUR
2,2,152170,18-Dec,4,6,17668.825,11.0,1606.2568181818183,AZMOUR
2,1,152170,18-Aug,4,6,50002.302,42.0,1190.5310000000002,AZMOUR
3,1,152170,18-Oct,4,6,10055.224,8.0,1256.903,AZMOUR
3,1,152170,18-Nov,4,6,8798.321,7.0,1256.903,AZMOUR
3,6,152170,19-Mar,4,6,8929.38,6.0,1488.2299999999998,AZMOUR
2,1,152170,19-Nov,4,6,73203.515,55.0,1330.973,AZMOUR
3,1,152170,18-Mar,4,6,5399.555,5.0,1079.911,AZMOUR
3,1,152170,18-Aug,4,6,7143.186,6.0,1190.531,AZMOUR
3,2,152170,18-May,4,6,4480.083,3.0,1493.3609999999999,AZMOUR
1,2,152170,18-Dec,4,6,16068.07,10.0,1606.807,AZMOUR
1,1,152170,18-Jun,4,6,11241.59,10.0,1124.159,AZMOUR
3,3,152170,19-Feb,4,6,4464.69,3.0,1488.2299999999998,AZMOUR
2,2,152170,19-Apr,4,6,40100.16,24.0,1670.8400000000001,AZMOUR
2,1,152170,19-Oct,4,6,71872.542,54.0,1330.973,AZMOUR
2,2,152170,19-Aug,4,6,43387.214,26.0,1668.739,AZMOUR
3,1,152170,18-May,4,6,7869.113,7.0,1124.159,AZMOUR
3,3,152170,19-Jan,4,6,2976.46,2.0,1488.23,AZMOUR
1,1,152170,18-Aug,4,6,11905.31,10.0,1190.531,AZMOUR
2,1,152170,18-Jun,4,6,72149.457,63.0,1145.2294761904761,AZMOUR
1,2,152170,18-Sep,4,6,9640.842,6.0,1606.807,AZMOUR
2,2,152170,19-Jun,4,6,36758.48,22.0,1670.8400000000001,AZMOUR
3,1,152170,19-Mar,4,6,6276.55,5.0,1255.31,AZMOUR
2,1,152170,18-Feb,4,6,37796.885,35.0,1079.911,AZMOUR
3,3,152170,18-Dec,4,6,10423.982,7.0,1489.1402857142857,AZMOUR
2,1,152170,18-Jul,4,6,69050.798,58.0,1190.531,AZMOUR
1,2,152170,19-Mar,4,6,16052.94,10.0,1605.294,AZMOUR
2,1,152170,18-Mar,4,6,37796.885,35.0,1079.911,AZMOUR
3,2,152170,18-Mar,4,6,4354.032,3.0,1451.344,AZMOUR
3,3,152170,18-Mar,4,6,2652.212,2.0,1326.106,AZMOUR
2,1,152170,18-Apr,4,6,46090.519,41.0,1124.159,AZMOUR
3,3,152170,18-May,4,6,2740.708,2.0,1370.354,AZMOUR
2,2,152170,18-Oct,4,6,24102.105,15.0,1606.807,AZMOUR
3,2,152170,18-Nov,4,6,4820.421,3.0,1606.807,AZMOUR
2,6,152170,19-Aug,4,6,4665.132,3.0,1555.0439999999999,AZMOUR
2,1,152170,18-Nov,4,6,96781.531,77.0,1256.903,AZMOUR
2,2,152170,18-Jul,4,6,51360.738,33.0,1556.386,AZMOUR
2,2,152170,18-Jun,4,6,36281.839,24.0,1511.7432916666667,AZMOUR
1,1,152170,18-Oct,4,6,22624.254,18.0,1256.903,AZMOUR
3,2,152170,19-Feb,4,6,6421.176,4.0,1605.294,AZMOUR
2,2,152170,19-Mar,4,6,14447.646,9.0,1605.294,AZMOUR
2,1,152170,19-Jul,4,6,86588.487,65.0,1332.1305692307692,AZMOUR
2,2,152170,18-Feb,4,6,26124.192,18.0,1451.344,AZMOUR
2,1,152170,19-Feb,4,6,55233.64,44.0,1255.31,AZMOUR
2,1,152170,19-May,4,6,93323.02,70.0,1333.1860000000001,AZMOUR
2,2,152170,18-Mar,4,6,10159.408,7.0,1451.3439999999998,AZMOUR
3,2,152170,18-Aug,4,6,6225.544,4.0,1556.386,AZMOUR
2,2,152170,18-Aug,4,6,28014.948,18.0,1556.386,AZMOUR
2,2,152170,18-Sep,4,6,24102.105,15.0,1606.807,AZMOUR
2,1,152170,19-Sep,4,6,97161.029,73.0,1330.973,AZMOUR
3,2,152170,19-Jul,4,6,5006.217,3.0,1668.7389999999998,AZMOUR
