NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,3,151930,19-Jan,17,46,8929.38,6.0,1488.2299999999998,B.A.B KHELIFA
1,2,151930,19-Aug,17,46,125155.425,75.0,1668.739,B.A.B KHELIFA
1,2,151930,19-Jul,17,46,93501.909,56.0,1669.6769464285715,B.A.B KHELIFA
1,2,151930,18-Apr,17,46,8960.166,6.0,1493.3609999999999,B.A.B KHELIFA
1,1,151930,19-Jan,17,46,158169.06,126.0,1255.31,B.A.B KHELIFA
4,3,151930,18-Nov,17,46,11918.584,8.0,1489.823,B.A.B KHELIFA
2,2,151930,18-Dec,17,46,6427.228,4.0,1606.807,B.A.B KHELIFA
1,2,151930,19-Jan,17,46,43342.938,27.0,1605.294,B.A.B KHELIFA
2,1,151930,18-Jul,17,46,7143.186,6.0,1190.531,B.A.B KHELIFA
1,1,151930,19-Dec,17,46,310116.709,233.0,1330.973,B.A.B KHELIFA
1,6,151930,19-Aug,17,46,107298.036,69.0,1555.0439999999999,B.A.B KHELIFA
1,1,151930,19-Aug,17,46,270187.519,203.0,1330.973,B.A.B KHELIFA
1,2,151930,18-May,17,46,34347.303,23.0,1493.361,B.A.B KHELIFA
1,3,151930,18-Dec,17,46,58082.388,39.0,1489.292,B.A.B KHELIFA
2,1,151930,18-Oct,17,46,16339.739,13.0,1256.903,B.A.B KHELIFA
1,3,151930,19-Feb,17,46,56552.74,38.0,1488.23,B.A.B KHELIFA
1,6,151930,19-Jun,17,46,57618.509,37.0,1557.257,B.A.B KHELIFA
1,2,151930,19-Mar,17,46,61001.172,38.0,1605.2939999999999,B.A.B KHELIFA
1,6,151930,19-Nov,17,46,66866.892,43.0,1555.044,B.A.B KHELIFA
2,1,151930,18-Dec,17,46,21367.351,17.0,1256.903,B.A.B KHELIFA
4,1,151930,18-Dec,17,46,13825.933,11.0,1256.903,B.A.B KHELIFA
1,2,151930,18-Jul,17,46,46691.58,30.0,1556.386,B.A.B KHELIFA
1,3,151930,18-Oct,17,46,46184.513,31.0,1489.8229999999999,B.A.B KHELIFA
1,6,151930,19-Jul,17,46,80908.761,52.0,1555.9377115384616,B.A.B KHELIFA
