NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,155180,18-Aug,8,26,9338.316,6.0,1556.3860000000002,BALTA
2,2,155180,18-Sep,8,26,9640.842,6.0,1606.807,BALTA
1,2,155180,19-Jan,8,26,4815.882,3.0,1605.2939999999999,BALTA
2,2,155180,19-May,8,26,5012.52,3.0,1670.8400000000001,BALTA
2,1,155180,19-May,8,26,23997.348,18.0,1333.1860000000001,BALTA
2,2,155180,19-Oct,8,26,5006.217,3.0,1668.7389999999998,BALTA
3,2,155180,18-Aug,8,26,3112.772,2.0,1556.386,BALTA
2,2,155180,18-Nov,8,26,9640.842,6.0,1606.807,BALTA
2,1,155180,19-Feb,8,26,8787.17,7.0,1255.31,BALTA
1,2,155180,19-Mar,8,26,4815.882,3.0,1605.2939999999999,BALTA
2,2,155180,18-Jan,8,26,11610.752,8.0,1451.344,BALTA
2,1,155180,18-Nov,8,26,23881.157,19.0,1256.903,BALTA
2,2,155180,19-Feb,8,26,4815.882,3.0,1605.2939999999999,BALTA
2,2,155180,19-Mar,8,26,4815.882,3.0,1605.2939999999999,BALTA
2,1,155180,18-Feb,8,26,12958.932,12.0,1079.911,BALTA
2,2,155180,18-May,8,26,4480.083,3.0,1493.3609999999999,BALTA
2,1,155180,18-Jun,8,26,24337.431,21.0,1158.9252857142858,BALTA
2,1,155180,19-Jun,8,26,25330.534,19.0,1333.186,BALTA
3,1,155180,18-Apr,8,26,11241.59,10.0,1124.159,BALTA
2,2,155180,18-Apr,8,26,5973.444,4.0,1493.361,BALTA
2,2,155180,18-Oct,8,26,4820.421,3.0,1606.807,BALTA
3,1,155180,18-Nov,8,26,12569.03,10.0,1256.903,BALTA
2,1,155180,19-Jan,8,26,25106.2,20.0,1255.31,BALTA
2,1,155180,19-Dec,8,26,23957.514,18.0,1330.973,BALTA
3,2,155180,18-Jun,8,26,4480.083,3.0,1493.3609999999999,BALTA
2,1,155180,19-Nov,8,26,33274.325,25.0,1330.973,BALTA
2,1,155180,18-Jan,8,26,35637.063,33.0,1079.911,BALTA
2,1,155180,18-Dec,8,26,23881.157,19.0,1256.903,BALTA
2,1,155180,19-Oct,8,26,35936.271,27.0,1330.973,BALTA
2,2,155180,19-Jun,8,26,10025.04,6.0,1670.8400000000001,BALTA
2,1,155180,19-Apr,8,26,23997.348,18.0,1333.1860000000001,BALTA
3,1,155180,18-Jun,8,26,13489.908,12.0,1124.1589999999999,BALTA
2,2,155180,19-Aug,8,26,5006.217,3.0,1668.7389999999998,BALTA
2,1,155180,18-Mar,8,26,30237.508,28.0,1079.911,BALTA
2,1,155180,18-May,8,26,38221.406,34.0,1124.159,BALTA
2,2,155180,18-Jun,8,26,4480.083,3.0,1493.3609999999999,BALTA
2,1,155180,19-Mar,8,26,25106.2,20.0,1255.31,BALTA
3,2,155180,19-Aug,8,26,5006.217,3.0,1668.7389999999998,BALTA
2,2,155180,19-Sep,8,26,10012.434,6.0,1668.7389999999998,BALTA
2,2,155180,19-Dec,8,26,10012.434,6.0,1668.7389999999998,BALTA
2,1,155180,18-Feb,8,26,15118.754,14.0,1079.911,BALTA
2,2,155180,18-Mar,8,26,5805.376,4.0,1451.344,BALTA
2,1,155180,18-Jul,8,26,57145.488,48.0,1190.531,BALTA
2,2,155180,18-Jul,8,26,7781.93,5.0,1556.386,BALTA
2,1,155180,18-Sep,8,26,41477.799,33.0,1256.903,BALTA
2,1,155180,19-Sep,8,26,30612.379,23.0,1330.973,BALTA
2,1,155180,19-Jul,8,26,31969.908,24.0,1332.0795,BALTA
2,1,155180,19-Aug,8,26,29281.406,22.0,1330.973,BALTA
2,1,155180,18-Oct,8,26,27651.866,22.0,1256.903,BALTA
2,2,155180,19-Apr,8,26,5012.52,3.0,1670.8400000000001,BALTA
2,2,155180,18-Feb,8,26,5805.376,4.0,1451.344,BALTA
2,1,155180,18-Apr,8,26,11241.59,10.0,1124.159,BALTA
3,1,155180,18-Oct,8,26,12569.03,10.0,1256.903,BALTA
2,1,155180,18-Aug,8,26,25001.151,21.0,1190.5310000000002,BALTA
2,2,155180,18-Dec,8,26,4815.882,3.0,1605.2939999999999,BALTA
2,2,155180,19-Jul,8,26,5006.217,3.0,1668.7389999999998,BALTA
2,2,155180,19-Nov,8,26,5006.217,3.0,1668.7389999999998,BALTA
