NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,3,153470,18-Jan,10,24,13261.06,10.0,1326.106,BARGOU
2,2,153470,18-Aug,10,24,12451.088,8.0,1556.386,BARGOU
3,2,153470,18-Sep,10,24,8034.035,5.0,1606.807,BARGOU
2,1,153470,18-Oct,10,24,52789.926,42.0,1256.903,BARGOU
3,3,153470,19-Feb,10,24,5952.92,4.0,1488.23,BARGOU
2,1,153470,18-Feb,10,24,75593.77,70.0,1079.911,BARGOU
2,2,153470,18-Jul,10,24,18676.632,12.0,1556.3860000000002,BARGOU
2,1,153470,18-Nov,10,24,124433.397,99.0,1256.903,BARGOU
3,3,153470,19-Jan,10,24,10417.61,7.0,1488.23,BARGOU
2,2,153470,19-Feb,10,24,14447.646,9.0,1605.294,BARGOU
2,2,153470,19-Mar,10,24,8026.47,5.0,1605.294,BARGOU
2,2,153470,19-Oct,10,24,18356.129,11.0,1668.739,BARGOU
3,1,153470,18-Apr,10,24,35973.088,32.0,1124.159,BARGOU
2,2,153470,19-Jan,10,24,12842.352,8.0,1605.294,BARGOU
2,2,153470,19-Nov,10,24,11681.173,7.0,1668.739,BARGOU
2,1,153470,19-Dec,10,24,85182.272,64.0,1330.973,BARGOU
3,3,153470,18-Mar,10,24,9282.742,7.0,1326.106,BARGOU
3,2,153470,18-Apr,10,24,2986.722,2.0,1493.361,BARGOU
2,1,153470,19-Feb,10,24,100424.8,80.0,1255.31,BARGOU
2,1,153470,18-Jul,10,24,80956.108,68.0,1190.531,BARGOU
2,1,153470,18-Jun,10,24,122014.85,106.0,1151.0834905660379,BARGOU
3,2,153470,18-Nov,10,24,9640.842,6.0,1606.807,BARGOU
2,2,153470,19-Jun,10,24,18379.24,11.0,1670.8400000000001,BARGOU
2,1,153470,19-Apr,10,24,79991.16,60.0,1333.1860000000001,BARGOU
2,2,153470,19-Jul,10,24,13358.316,8.0,1669.7895,BARGOU
2,6,153470,19-Jul,10,24,7786.285,5.0,1557.257,BARGOU
2,6,153470,19-Oct,10,24,6220.176,4.0,1555.044,BARGOU
2,1,153470,18-Mar,10,24,97191.99,90.0,1079.911,BARGOU
3,3,153470,18-Apr,10,24,13703.54,10.0,1370.354,BARGOU
1,1,153470,18-Jul,10,24,16667.434,14.0,1190.5310000000002,BARGOU
3,3,153470,18-Aug,10,24,11493.808,8.0,1436.726,BARGOU
2,1,153470,18-Sep,10,24,72236.654,58.0,1245.4595517241378,BARGOU
1,3,153470,18-Sep,10,24,4469.469,3.0,1489.823,BARGOU
3,2,153470,18-Oct,10,24,4820.421,3.0,1606.807,BARGOU
1,1,153470,18-Oct,10,24,27651.866,22.0,1256.903,BARGOU
3,3,153470,18-Nov,10,24,13408.407,9.0,1489.8229999999999,BARGOU
2,2,153470,18-Dec,10,24,6424.202,4.0,1606.0505,BARGOU
1,1,153470,18-Dec,10,24,13825.933,11.0,1256.903,BARGOU
2,1,153470,18-Aug,10,24,117335.758,98.0,1197.3036530612244,BARGOU
3,3,153470,18-Jun,10,24,5481.416,4.0,1370.354,BARGOU
2,2,153470,18-Jun,10,24,7655.88,5.0,1531.176,BARGOU
1,2,153470,19-Mar,10,24,6421.176,4.0,1605.294,BARGOU
2,1,153470,18-Feb,10,24,45356.262,42.0,1079.911,BARGOU
2,1,153470,19-May,10,24,98655.764,74.0,1333.186,BARGOU
2,3,153470,19-May,10,24,10900.799,7.0,1557.257,BARGOU
2,2,153470,19-Aug,10,24,16687.39,10.0,1668.739,BARGOU
2,1,153470,18-May,10,24,94429.356,84.0,1124.159,BARGOU
3,1,153470,18-Oct,10,24,23881.157,19.0,1256.903,BARGOU
1,2,153470,18-Oct,10,24,4820.421,3.0,1606.807,BARGOU
3,2,153470,18-Dec,10,24,4820.421,3.0,1606.807,BARGOU
3,6,153470,19-Mar,10,24,11905.84,8.0,1488.23,BARGOU
2,2,153470,18-Feb,10,24,4354.032,3.0,1451.344,BARGOU
1,1,153470,18-Mar,10,24,10799.11,10.0,1079.911,BARGOU
1,1,153470,18-Apr,10,24,11241.59,10.0,1124.159,BARGOU
1,1,153470,18-Sep,10,24,16339.739,13.0,1256.903,BARGOU
2,1,153470,19-Jun,10,24,133318.6,100.0,1333.1860000000001,BARGOU
2,2,153470,19-Apr,10,24,13366.72,8.0,1670.84,BARGOU
2,6,153470,19-Sep,10,24,6220.176,4.0,1555.044,BARGOU
1,3,153470,18-Feb,10,24,3978.318,3.0,1326.106,BARGOU
3,3,153470,18-Jul,10,24,15803.986,11.0,1436.726,BARGOU
2,2,153470,18-Feb,10,24,10159.408,7.0,1451.3439999999998,BARGOU
1,2,153470,18-Mar,10,24,4354.032,3.0,1451.344,BARGOU
2,1,153470,18-Apr,10,24,73070.335,65.0,1124.159,BARGOU
3,3,153470,18-May,10,24,10962.832,8.0,1370.354,BARGOU
3,1,153470,18-Jul,10,24,14286.372,12.0,1190.531,BARGOU
2,1,153470,19-Sep,10,24,107808.813,81.0,1330.973,BARGOU
3,1,153470,18-May,10,24,23607.339,21.0,1124.159,BARGOU
2,1,153470,18-Dec,10,24,104281.531,83.0,1256.4039879518073,BARGOU
3,2,153470,18-Aug,10,24,7781.93,5.0,1556.386,BARGOU
3,3,153470,18-Sep,10,24,8938.938,6.0,1489.823,BARGOU
2,2,153470,18-Sep,10,24,12854.456,8.0,1606.807,BARGOU
3,1,153470,18-Nov,10,24,13825.933,11.0,1256.903,BARGOU
