NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,155300,18-Mar,7,23,8708.064,6.0,1451.344,BEJA
3,3,155300,19-Feb,7,23,47623.36,32.0,1488.23,BEJA
2,6,155300,19-Nov,7,23,34210.968,22.0,1555.044,BEJA
2,1,155300,18-Jan,7,23,295895.614,274.0,1079.911,BEJA
2,2,155300,18-Jul,7,23,90270.388,58.0,1556.3860000000002,BEJA
3,3,155300,18-Sep,7,23,35755.752,24.0,1489.823,BEJA
2,1,155300,18-Oct,7,23,263949.63,210.0,1256.903,BEJA
2,1,155300,19-May,7,23,215976.132,162.0,1333.1860000000001,BEJA
2,1,155300,19-Jan,7,23,244785.45,195.0,1255.3100000000002,BEJA
2,2,155300,18-Aug,7,23,57586.282,37.0,1556.386,BEJA
3,1,155300,18-Nov,7,23,22624.254,18.0,1256.903,BEJA
2,6,155300,19-Aug,7,23,35766.012,23.0,1555.044,BEJA
2,1,155300,19-Nov,7,23,200976.923,151.0,1330.973,BEJA
2,1,155300,18-Nov,7,23,290344.593,231.0,1256.903,BEJA
2,1,155300,18-Dec,7,23,252543.516,201.0,1256.4354029850747,BEJA
2,1,155300,18-Aug,7,23,277393.723,233.0,1190.531,BEJA
3,3,155300,18-Oct,7,23,25326.991,17.0,1489.823,BEJA
1,3,155300,18-Oct,7,23,5959.292,4.0,1489.823,BEJA
2,1,155300,19-Apr,7,23,266637.2,200.0,1333.1860000000001,BEJA
2,3,155300,19-Apr,7,23,32702.397,21.0,1557.257,BEJA
3,2,155300,19-Feb,7,23,6421.176,4.0,1605.294,BEJA
2,2,155300,19-Nov,7,23,85105.689,51.0,1668.739,BEJA
2,2,155300,18-Jun,7,23,87875.438,58.0,1515.0937586206896,BEJA
2,2,155300,18-Oct,7,23,64272.28,40.0,1606.807,BEJA
2,3,155300,19-May,7,23,21801.598,14.0,1557.257,BEJA
2,2,155300,19-Jun,7,23,86883.68,52.0,1670.84,BEJA
3,6,155300,19-May,7,23,6229.028,4.0,1557.257,BEJA
2,1,155300,18-Mar,7,23,257018.818,238.0,1079.911,BEJA
2,1,155300,18-Feb,7,23,177105.404,164.0,1079.911,BEJA
2,2,155300,18-Feb,7,23,58053.76,40.0,1451.344,BEJA
3,2,155300,19-Jan,7,23,12842.352,8.0,1605.294,BEJA
2,2,155300,18-Sep,7,23,84959.087,53.0,1603.001641509434,BEJA
2,1,155300,18-Jun,7,23,278019.958,242.0,1148.8428016528926,BEJA
3,2,155300,18-Oct,7,23,17674.877,11.0,1606.807,BEJA
3,2,155300,18-Nov,7,23,6427.228,4.0,1606.807,BEJA
3,2,155300,18-Jun,7,23,5973.444,4.0,1493.361,BEJA
2,2,155300,19-May,7,23,66833.6,40.0,1670.8400000000001,BEJA
1,2,155300,19-Mar,7,23,8026.47,5.0,1605.294,BEJA
3,6,155300,19-Mar,7,23,34229.29,23.0,1488.23,BEJA
3,2,155300,19-May,7,23,16708.4,10.0,1670.8400000000001,BEJA
2,6,155300,19-Sep,7,23,40431.144,26.0,1555.044,BEJA
2,2,155300,19-Sep,7,23,86774.428,52.0,1668.739,BEJA
2,1,155300,19-Dec,7,23,267525.573,201.0,1330.973,BEJA
2,6,155300,19-Dec,7,23,38876.1,25.0,1555.0439999999999,BEJA
2,2,155300,18-Dec,7,23,61037.484,38.0,1606.2495789473683,BEJA
3,1,155300,18-Dec,7,23,30157.707,24.0,1256.571125,BEJA
3,3,155300,18-Jul,7,23,44538.506,31.0,1436.726,BEJA
3,3,155300,19-Jan,7,23,26788.14,18.0,1488.23,BEJA
2,2,155300,19-Jan,7,23,44948.232,28.0,1605.294,BEJA
2,1,155300,18-Sep,7,23,280816.18,224.0,1253.6436607142857,BEJA
3,1,155300,18-Sep,7,23,3770.709,3.0,1256.903,BEJA
3,3,155300,18-Nov,7,23,35755.752,24.0,1489.823,BEJA
