NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,1,152740,19-Jan,14,59,25106.2,20.0,1255.31,BEL AOUM
2,1,152740,18-Mar,14,59,30237.508,28.0,1079.911,BEL AOUM
2,2,152740,18-Sep,14,59,11146.807,7.0,1592.401,BEL AOUM
2,2,152740,19-Feb,14,59,8026.47,5.0,1605.294,BEL AOUM
2,1,152740,18-Jan,14,59,50755.817,47.0,1079.911,BEL AOUM
2,2,152740,18-Mar,14,59,14513.44,10.0,1451.344,BEL AOUM
2,6,152740,19-Nov,14,59,3110.088,2.0,1555.044,BEL AOUM
2,6,152740,19-Dec,14,59,3110.088,2.0,1555.044,BEL AOUM
2,1,152740,18-Aug,14,59,45240.178,38.0,1190.531,BEL AOUM
2,1,152740,19-Mar,14,59,64020.81,51.0,1255.31,BEL AOUM
2,3,152740,19-May,14,59,3114.514,2.0,1557.257,BEL AOUM
2,2,152740,19-Jul,14,59,10018.737,6.0,1669.7894999999999,BEL AOUM
2,2,152740,19-Dec,14,59,18356.129,11.0,1668.739,BEL AOUM
2,1,152740,18-May,14,59,40469.724,36.0,1124.159,BEL AOUM
3,2,152740,18-Nov,14,59,4820.421,3.0,1606.807,BEL AOUM
2,6,152740,19-Aug,14,59,3110.088,2.0,1555.044,BEL AOUM
2,6,152740,19-Oct,14,59,3110.088,2.0,1555.044,BEL AOUM
3,1,152740,18-Jun,14,59,4496.636,4.0,1124.159,BEL AOUM
2,2,152740,19-Aug,14,59,20024.868,12.0,1668.7389999999998,BEL AOUM
2,1,152740,18-Feb,14,59,8639.288,8.0,1079.911,BEL AOUM
1,1,152740,18-Apr,14,59,5620.795,5.0,1124.159,BEL AOUM
2,2,152740,18-Dec,14,59,14456.724,9.0,1606.3026666666667,BEL AOUM
1,1,152740,18-Jun,14,59,16003.714,14.0,1143.1224285714286,BEL AOUM
2,2,152740,19-Jan,14,59,8026.47,5.0,1605.294,BEL AOUM
2,1,152740,18-Apr,14,59,39345.565,35.0,1124.159,BEL AOUM
2,2,152740,18-May,14,59,5973.444,4.0,1493.361,BEL AOUM
2,1,152740,18-Dec,14,59,76653.56,61.0,1256.615737704918,BEL AOUM
2,2,152740,18-Aug,14,59,6225.544,4.0,1556.386,BEL AOUM
2,1,152740,18-Oct,14,59,66615.859,53.0,1256.903,BEL AOUM
2,1,152740,19-Oct,14,59,77196.434,58.0,1330.973,BEL AOUM
2,1,152740,18-Sep,14,59,33604.521,27.0,1244.6118888888889,BEL AOUM
1,1,152740,18-Sep,14,59,7541.418,6.0,1256.903,BEL AOUM
2,2,152740,19-Mar,14,59,9631.764,6.0,1605.2939999999999,BEL AOUM
2,1,152740,19-Sep,14,59,45253.082,34.0,1330.973,BEL AOUM
2,2,152740,19-Jun,14,59,15037.56,9.0,1670.84,BEL AOUM
2,1,152740,19-Jul,14,59,42637.609,32.0,1332.42528125,BEL AOUM
2,6,152740,19-Sep,14,59,3110.088,2.0,1555.044,BEL AOUM
2,1,152740,19-Nov,14,59,65217.677,49.0,1330.973,BEL AOUM
1,1,152740,18-Mar,14,59,11879.021,11.0,1079.911,BEL AOUM
2,1,152740,18-Jul,14,59,25001.151,21.0,1190.5310000000002,BEL AOUM
1,2,152740,18-Aug,14,59,6225.544,4.0,1556.386,BEL AOUM
2,1,152740,19-Aug,14,59,74534.488,56.0,1330.973,BEL AOUM
1,3,152740,18-Jul,14,59,7183.63,5.0,1436.726,BEL AOUM
2,1,152740,19-May,14,59,67992.486,51.0,1333.1860000000001,BEL AOUM
2,1,152740,19-Apr,14,59,82657.532,62.0,1333.1860000000001,BEL AOUM
2,2,152740,19-Sep,14,59,11681.173,7.0,1668.739,BEL AOUM
1,1,152740,18-Feb,14,59,16198.665,15.0,1079.911,BEL AOUM
1,1,152740,18-Aug,14,59,4762.124,4.0,1190.531,BEL AOUM
2,1,152740,19-Jun,14,59,50661.068,38.0,1333.186,BEL AOUM
2,2,152740,19-Oct,14,59,8343.695,5.0,1668.739,BEL AOUM
2,2,152740,18-Feb,14,59,2902.688,2.0,1451.344,BEL AOUM
2,2,152740,18-Jan,14,59,10159.408,7.0,1451.3439999999998,BEL AOUM
3,3,152740,18-Mar,14,59,3978.318,3.0,1326.106,BEL AOUM
2,2,152740,18-Apr,14,59,8960.166,6.0,1493.3609999999999,BEL AOUM
2,2,152740,18-Nov,14,59,6427.228,4.0,1606.807,BEL AOUM
2,1,152740,18-Nov,14,59,25138.06,20.0,1256.903,BEL AOUM
1,2,152740,18-Jun,14,59,4669.158,3.0,1556.3860000000002,BEL AOUM
2,1,152740,19-Feb,14,59,32638.06,26.0,1255.31,BEL AOUM
2,2,152740,19-Nov,14,59,13349.912,8.0,1668.739,BEL AOUM
1,2,152740,18-May,14,59,4480.083,3.0,1493.3609999999999,BEL AOUM
2,2,152740,18-Jul,14,59,10894.702,7.0,1556.386,BEL AOUM
2,2,152740,18-Oct,14,59,12854.456,8.0,1606.807,BEL AOUM
2,1,152740,18-Feb,14,59,10799.11,10.0,1079.911,BEL AOUM
1,2,152740,18-Feb,14,59,5805.376,4.0,1451.344,BEL AOUM
2,1,152740,18-Jun,14,59,17986.544,16.0,1124.159,BEL AOUM
2,2,152740,18-Jun,14,59,4480.083,3.0,1493.3609999999999,BEL AOUM
2,2,152740,19-May,14,59,13366.72,8.0,1670.84,BEL AOUM
1,1,152740,19-Feb,14,59,7531.86,6.0,1255.31,BEL AOUM
1,2,152740,19-Mar,14,59,4815.882,3.0,1605.2939999999999,BEL AOUM
2,1,152740,19-Dec,14,59,77196.434,58.0,1330.973,BEL AOUM
