NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,3,153020,18-Jan,15,8,29174.332,22.0,1326.106,BEMBLA
2,2,153020,18-Jan,15,8,15964.784,11.0,1451.344,BEMBLA
1,2,153020,18-May,15,8,55254.357,37.0,1493.361,BEMBLA
2,1,153020,18-Sep,15,8,60331.344,48.0,1256.903,BEMBLA
2,1,153020,18-Oct,15,8,22624.254,18.0,1256.903,BEMBLA
1,6,153020,19-Mar,15,8,5952.92,4.0,1488.23,BEMBLA
2,6,153020,19-May,15,8,4671.771,3.0,1557.2569999999998,BEMBLA
2,1,153020,19-Jul,15,8,299732.272,225.0,1332.143431111111,BEMBLA
1,2,153020,19-Aug,15,8,18356.129,11.0,1668.739,BEMBLA
1,3,153020,18-Mar,15,8,11934.954,9.0,1326.106,BEMBLA
3,3,153020,18-Apr,15,8,6851.77,5.0,1370.354,BEMBLA
2,1,153020,19-Jan,15,8,154403.13,123.0,1255.31,BEMBLA
3,3,153020,18-Jun,15,8,9592.478,7.0,1370.3539999999998,BEMBLA
1,3,153020,18-Oct,15,8,20857.522,14.0,1489.823,BEMBLA
1,1,153020,19-Feb,15,8,91637.63,73.0,1255.3100000000002,BEMBLA
2,2,153020,19-Apr,15,8,108604.6,65.0,1670.8400000000001,BEMBLA
1,2,153020,19-Apr,15,8,28404.28,17.0,1670.84,BEMBLA
2,6,153020,19-Sep,15,8,23325.66,15.0,1555.044,BEMBLA
1,1,153020,18-Jan,15,8,134988.875,125.0,1079.911,BEMBLA
1,3,153020,18-May,15,8,6851.77,5.0,1370.354,BEMBLA
3,3,153020,19-Jan,15,8,10417.61,7.0,1488.23,BEMBLA
1,3,153020,18-Dec,15,8,4469.469,3.0,1489.823,BEMBLA
1,1,153020,18-Oct,15,8,194819.965,155.0,1256.903,BEMBLA
3,3,153020,18-Dec,15,8,20851.15,14.0,1489.3678571428572,BEMBLA
2,1,153020,19-Feb,15,8,135573.48,108.0,1255.3100000000002,BEMBLA
2,6,153020,19-Jun,15,8,4671.771,3.0,1557.2569999999998,BEMBLA
1,6,153020,19-Aug,15,8,4665.132,3.0,1555.0439999999999,BEMBLA
1,6,153020,19-May,15,8,6229.028,4.0,1557.257,BEMBLA
1,1,153020,19-Mar,15,8,53978.33,43.0,1255.31,BEMBLA
1,1,153020,19-Jun,15,8,23997.348,18.0,1333.1860000000001,BEMBLA
2,2,153020,19-Jul,15,8,108524.762,65.0,1669.6117230769232,BEMBLA
2,6,153020,19-Jul,15,8,34230.885,22.0,1555.9493181818182,BEMBLA
