NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,154760,18-Feb,4,24,52248.384,36.0,1451.344,BENI KHALLED
2,2,154760,18-Aug,4,24,80932.072,52.0,1556.386,BENI KHALLED
3,2,154760,18-Sep,4,24,11247.649,7.0,1606.807,BENI KHALLED
2,6,154760,19-Jun,4,24,34259.654,22.0,1557.257,BENI KHALLED
1,3,154760,19-Jan,4,24,7441.15,5.0,1488.23,BENI KHALLED
2,1,154760,19-May,4,24,130652.228,98.0,1333.186,BENI KHALLED
1,1,154760,19-Feb,4,24,18829.65,15.0,1255.3100000000002,BENI KHALLED
2,2,154760,19-Oct,4,24,96786.862,58.0,1668.7389999999998,BENI KHALLED
3,3,154760,18-Mar,4,24,33152.65,25.0,1326.106,BENI KHALLED
1,1,154760,18-Feb,4,24,6479.466,6.0,1079.911,BENI KHALLED
2,2,154760,18-May,4,24,89601.66,60.0,1493.361,BENI KHALLED
1,2,154760,18-Apr,4,24,8960.166,6.0,1493.3609999999999,BENI KHALLED
2,2,154760,18-Jul,4,24,105834.248,68.0,1556.3860000000002,BENI KHALLED
3,1,154760,18-Oct,4,24,37707.09,30.0,1256.9029999999998,BENI KHALLED
3,1,154760,19-Jan,4,24,6276.55,5.0,1255.31,BENI KHALLED
3,6,154760,19-Apr,4,24,6229.028,4.0,1557.257,BENI KHALLED
2,1,154760,18-Jan,4,24,87472.791,81.0,1079.911,BENI KHALLED
3,3,154760,18-Feb,4,24,15913.272,12.0,1326.106,BENI KHALLED
3,3,154760,18-Aug,4,24,34481.424,24.0,1436.7259999999999,BENI KHALLED
2,2,154760,19-May,4,24,121971.32,73.0,1670.8400000000001,BENI KHALLED
1,2,154760,19-Sep,4,24,16687.39,10.0,1668.739,BENI KHALLED
2,6,154760,19-Oct,4,24,35766.012,23.0,1555.044,BENI KHALLED
3,3,154760,18-Jan,4,24,26522.12,20.0,1326.106,BENI KHALLED
3,3,154760,18-Apr,4,24,27407.08,20.0,1370.354,BENI KHALLED
2,1,154760,18-May,4,24,102298.469,91.0,1124.1589999999999,BENI KHALLED
3,2,154760,18-Dec,4,24,16068.07,10.0,1606.807,BENI KHALLED
2,1,154760,18-Nov,4,24,144543.845,115.0,1256.903,BENI KHALLED
2,1,154760,18-Aug,4,24,109528.852,92.0,1190.531,BENI KHALLED
3,1,154760,18-Nov,4,24,8798.321,7.0,1256.903,BENI KHALLED
1,2,154760,19-Jun,4,24,21720.92,13.0,1670.84,BENI KHALLED
