NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,3,152400,18-Jan,13,29,5304.424,4.0,1326.106,BEN AOUN
1,1,152400,18-Jul,13,29,17857.965,15.0,1190.531,BEN AOUN
1,3,152400,18-Jun,13,29,9791.594,7.0,1398.7991428571427,BEN AOUN
1,3,152400,18-Nov,13,29,7449.115,5.0,1489.8229999999999,BEN AOUN
1,1,152400,19-Jun,13,29,13331.86,10.0,1333.1860000000001,BEN AOUN
1,3,152400,18-Apr,13,29,12333.186,9.0,1370.354,BEN AOUN
1,2,152400,18-Dec,13,29,14456.724,9.0,1606.3026666666667,BEN AOUN
1,3,152400,18-Dec,13,29,8935.752,6.0,1489.2920000000001,BEN AOUN
1,2,152400,18-Jun,13,29,7592.855,5.0,1518.571,BEN AOUN
1,2,152400,18-Nov,13,29,8034.035,5.0,1606.807,BEN AOUN
1,1,152400,19-Feb,13,29,21340.27,17.0,1255.31,BEN AOUN
1,2,152400,19-May,13,29,11695.88,7.0,1670.84,BEN AOUN
1,1,152400,19-Jul,13,29,17315.927,13.0,1331.9943846153847,BEN AOUN
1,6,152400,19-Oct,13,29,10885.308,7.0,1555.044,BEN AOUN
1,2,152400,18-Feb,13,29,11610.752,8.0,1451.344,BEN AOUN
1,3,152400,18-May,13,29,6851.77,5.0,1370.354,BEN AOUN
1,2,152400,18-Sep,13,29,6326.386,4.0,1581.5965,BEN AOUN
1,1,152400,19-Sep,13,29,22626.541,17.0,1330.973,BEN AOUN
1,1,152400,19-Mar,13,29,30127.44,24.0,1255.31,BEN AOUN
1,6,152400,19-Jun,13,29,3114.514,2.0,1557.257,BEN AOUN
1,6,152400,19-Nov,13,29,10885.308,7.0,1555.044,BEN AOUN
1,2,152400,19-Dec,13,29,15018.651,9.0,1668.739,BEN AOUN
1,1,152400,18-Apr,13,29,19110.703,17.0,1124.159,BEN AOUN
1,2,152400,18-Apr,13,29,2986.722,2.0,1493.361,BEN AOUN
2,1,152400,18-Oct,13,29,7541.418,6.0,1256.903,BEN AOUN
1,6,152400,19-May,13,29,9343.542,6.0,1557.2569999999998,BEN AOUN
1,1,152400,19-Oct,13,29,29281.406,22.0,1330.973,BEN AOUN
1,3,152400,18-Mar,13,29,10608.848,8.0,1326.106,BEN AOUN
3,1,152400,18-Nov,13,29,3770.709,3.0,1256.903,BEN AOUN
1,2,152400,18-Aug,13,29,21789.404,14.0,1556.386,BEN AOUN
1,1,152400,19-Jan,13,29,25106.2,20.0,1255.31,BEN AOUN
1,1,152400,19-Aug,13,29,18633.622,14.0,1330.973,BEN AOUN
1,2,152400,19-Jan,13,29,8026.47,5.0,1605.294,BEN AOUN
1,1,152400,18-Jan,13,29,32397.33,30.0,1079.911,BEN AOUN
1,1,152400,18-Mar,13,29,26997.775,25.0,1079.911,BEN AOUN
1,1,152400,18-Dec,13,29,7541.418,6.0,1256.903,BEN AOUN
1,2,152400,18-Jul,13,29,6225.544,4.0,1556.386,BEN AOUN
1,2,152400,19-Apr,13,29,13366.72,8.0,1670.84,BEN AOUN
4,2,152400,18-Dec,13,29,3213.614,2.0,1606.807,BEN AOUN
1,3,152400,18-Jul,13,29,11493.808,8.0,1436.726,BEN AOUN
1,1,152400,18-Nov,13,29,20110.448,16.0,1256.903,BEN AOUN
1,6,152400,19-Sep,13,29,9330.264,6.0,1555.0439999999999,BEN AOUN
1,2,152400,19-Mar,13,29,8026.47,5.0,1605.294,BEN AOUN
1,1,152400,19-Dec,13,29,23957.514,18.0,1330.973,BEN AOUN
1,6,152400,19-Dec,13,29,6220.176,4.0,1555.044,BEN AOUN
1,2,152400,18-May,13,29,10453.527,7.0,1493.361,BEN AOUN
1,3,152400,19-Feb,13,29,7441.15,5.0,1488.23,BEN AOUN
2,1,152400,19-Jun,13,29,6665.93,5.0,1333.1860000000001,BEN AOUN
1,6,152400,19-Apr,13,29,3114.514,2.0,1557.257,BEN AOUN
1,2,152400,19-Jul,13,29,16702.097,10.0,1670.2097,BEN AOUN
1,2,152400,19-Oct,13,29,10012.434,6.0,1668.7389999999998,BEN AOUN
1,2,152400,18-Jan,13,29,8708.064,6.0,1451.344,BEN AOUN
1,3,152400,18-Feb,13,29,9282.742,7.0,1326.106,BEN AOUN
1,3,152400,18-Aug,13,29,10057.082,7.0,1436.726,BEN AOUN
1,3,152400,18-Oct,13,29,13408.407,9.0,1489.8229999999999,BEN AOUN
1,6,152400,19-Jul,13,29,9339.116,6.0,1556.5193333333334,BEN AOUN
1,2,152400,19-Aug,13,29,18356.129,11.0,1668.739,BEN AOUN
1,2,152400,19-Nov,13,29,10012.434,6.0,1668.7389999999998,BEN AOUN
1,1,152400,19-Apr,13,29,21330.976,16.0,1333.186,BEN AOUN
1,1,152400,19-May,13,29,17331.418,13.0,1333.1860000000001,BEN AOUN
1,6,152400,19-Mar,13,29,10417.61,7.0,1488.23,BEN AOUN
1,1,152400,18-Feb,13,29,33477.241,31.0,1079.911,BEN AOUN
1,1,152400,18-May,13,29,20234.862,18.0,1124.159,BEN AOUN
1,1,152400,18-Aug,13,29,8333.717,7.0,1190.5310000000002,BEN AOUN
1,1,152400,18-Sep,13,29,27386.378,22.0,1244.8353636363636,BEN AOUN
