NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,1,155740,18-Mar,3,52,62634.838,58.0,1079.911,BEN AROUS
2,2,155740,19-Apr,3,52,198829.96,119.0,1670.84,BEN AROUS
2,1,155740,18-Jul,3,52,64288.674,54.0,1190.531,BEN AROUS
3,3,155740,18-Jun,3,52,55610.624,40.0,1390.2656000000002,BEN AROUS
3,1,155740,18-Dec,3,52,17596.642,14.0,1256.903,BEN AROUS
3,2,155740,19-Feb,3,52,9631.764,6.0,1605.2939999999999,BEN AROUS
2,2,155740,19-May,3,52,237259.28,142.0,1670.84,BEN AROUS
2,6,155740,19-Aug,3,52,87082.464,56.0,1555.044,BEN AROUS
3,3,155740,18-Jan,3,52,46413.71,35.0,1326.106,BEN AROUS
2,2,155740,18-May,3,52,119468.88,80.0,1493.361,BEN AROUS
1,2,155740,18-Dec,3,52,36956.561,23.0,1606.807,BEN AROUS
1,3,155740,18-Dec,3,52,7449.115,5.0,1489.8229999999999,BEN AROUS
3,3,155740,18-Aug,3,52,41665.054,29.0,1436.7259999999999,BEN AROUS
2,4,155740,18-Aug,3,52,11894.708,7.0,1699.2440000000001,BEN AROUS
3,1,155740,18-Nov,3,52,30165.672,24.0,1256.903,BEN AROUS
2,1,155740,19-Mar,3,52,92892.94,74.0,1255.31,BEN AROUS
3,6,155740,19-Jun,3,52,4671.771,3.0,1557.2569999999998,BEN AROUS
2,6,155740,19-Sep,3,52,90192.552,58.0,1555.0439999999999,BEN AROUS
3,1,155740,19-Aug,3,52,7985.838,6.0,1330.973,BEN AROUS
2,2,155740,19-Nov,3,52,185230.029,111.0,1668.739,BEN AROUS
2,4,155740,19-Nov,3,52,5464.536,3.0,1821.512,BEN AROUS
3,6,155740,19-Nov,3,52,23325.66,15.0,1555.044,BEN AROUS
2,1,155740,18-Feb,3,52,70194.215,65.0,1079.911,BEN AROUS
2,4,155740,19-Jan,3,52,13997.312,8.0,1749.664,BEN AROUS
2,1,155740,18-Jun,3,52,62496.63,54.0,1157.345,BEN AROUS
2,1,155740,18-Nov,3,52,50276.12,40.0,1256.903,BEN AROUS
2,1,155740,19-Jun,3,52,102655.322,77.0,1333.186,BEN AROUS
3,6,155740,19-Mar,3,52,65482.12,44.0,1488.23,BEN AROUS
2,2,155740,19-Sep,3,52,133499.12,80.0,1668.739,BEN AROUS
1,1,155740,18-Dec,3,52,5027.612,4.0,1256.903,BEN AROUS
2,1,155740,18-Sep,3,52,67872.762,54.0,1256.903,BEN AROUS
3,4,155740,19-Jan,3,52,5248.992,3.0,1749.664,BEN AROUS
2,4,155740,19-Oct,3,52,16393.608,9.0,1821.512,BEN AROUS
1,6,155740,19-Mar,3,52,4464.69,3.0,1488.2299999999998,BEN AROUS
3,1,155740,19-Jun,3,52,13331.86,10.0,1333.1860000000001,BEN AROUS
2,4,155740,19-Aug,3,52,7286.048,4.0,1821.512,BEN AROUS
2,4,155740,19-Dec,3,52,20036.632,11.0,1821.5120000000002,BEN AROUS
2,1,155740,18-Apr,3,52,58456.268,52.0,1124.1589999999999,BEN AROUS
2,4,155740,18-Dec,3,52,15746.976,9.0,1749.664,BEN AROUS
3,3,155740,18-Dec,3,52,80432.919,54.0,1489.4985,BEN AROUS
3,2,155740,18-Dec,3,52,9640.842,6.0,1606.807,BEN AROUS
3,3,155740,18-Jul,3,52,57469.04,40.0,1436.726,BEN AROUS
3,1,155740,18-Jul,3,52,19048.496,16.0,1190.531,BEN AROUS
2,4,155740,18-Sep,3,52,17496.64,10.0,1749.664,BEN AROUS
3,2,155740,18-Sep,3,52,6427.228,4.0,1606.807,BEN AROUS
1,3,155740,18-Oct,3,52,19367.699,13.0,1489.823,BEN AROUS
1,3,155740,19-Jan,3,52,10417.61,7.0,1488.23,BEN AROUS
2,6,155740,19-Oct,3,52,91747.596,59.0,1555.044,BEN AROUS
2,4,155740,19-Mar,3,52,13997.312,8.0,1749.664,BEN AROUS
2,1,155740,19-Sep,3,52,106477.84,80.0,1330.973,BEN AROUS
2,1,155740,18-May,3,52,61828.745,55.0,1124.159,BEN AROUS
1,3,155740,18-Aug,3,52,17240.712,12.0,1436.7259999999999,BEN AROUS
2,2,155740,18-Sep,3,52,130151.367,81.0,1606.807,BEN AROUS
2,2,155740,18-Apr,3,52,141869.295,95.0,1493.361,BEN AROUS
1,3,155740,18-May,3,52,5481.416,4.0,1370.354,BEN AROUS
3,4,155740,18-Jul,3,52,18691.684,11.0,1699.2440000000001,BEN AROUS
2,2,155740,18-Aug,3,52,88714.002,57.0,1556.386,BEN AROUS
3,2,155740,19-Aug,3,52,18356.129,11.0,1668.739,BEN AROUS
2,2,155740,18-Mar,3,52,120461.552,83.0,1451.344,BEN AROUS
2,1,155740,19-Apr,3,52,153316.39,115.0,1333.1860000000001,BEN AROUS
1,1,155740,18-Apr,3,52,22483.18,20.0,1124.159,BEN AROUS
2,2,155740,19-Feb,3,52,109159.992,68.0,1605.2939999999999,BEN AROUS
3,1,155740,18-Sep,3,52,7541.418,6.0,1256.903,BEN AROUS
3,3,155740,18-Nov,3,52,67042.035,45.0,1489.823,BEN AROUS
2,4,155740,18-Oct,3,52,17496.64,10.0,1749.664,BEN AROUS
3,6,155740,19-May,3,52,12458.056,8.0,1557.257,BEN AROUS
2,6,155740,19-Mar,3,52,14882.3,10.0,1488.23,BEN AROUS
2,1,155740,19-Jul,3,52,113234.503,85.0,1332.1706235294118,BEN AROUS
2,1,155740,19-Dec,3,52,122449.516,92.0,1330.973,BEN AROUS
2,2,155740,19-Jan,3,52,125212.932,78.0,1605.294,BEN AROUS
3,3,155740,19-Jan,3,52,74411.5,50.0,1488.23,BEN AROUS
1,2,155740,18-Aug,3,52,46691.58,30.0,1556.386,BEN AROUS
2,1,155740,18-Oct,3,52,70386.568,56.0,1256.903,BEN AROUS
2,1,155740,19-Feb,3,52,84105.77,67.0,1255.3100000000002,BEN AROUS
1,2,155740,19-Feb,3,52,28895.292,18.0,1605.294,BEN AROUS
