NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,1,154450,18-Feb,3,52,96112.079,89.0,1079.911,BEN AROUS MC 34
3,3,154450,18-Jan,3,52,108740.692,82.0,1326.106,BEN AROUS MC 34
2,1,154450,18-Mar,3,52,279696.949,259.0,1079.911,BEN AROUS MC 34
2,1,154450,18-Apr,3,52,234949.231,209.0,1124.159,BEN AROUS MC 34
2,1,154450,19-Jan,3,52,278678.82,222.0,1255.31,BEN AROUS MC 34
1,3,154450,18-Aug,3,52,38791.602,27.0,1436.7259999999999,BEN AROUS MC 34
2,1,154450,19-Jun,3,52,305299.594,229.0,1333.186,BEN AROUS MC 34
2,6,154450,19-Oct,3,52,133733.784,86.0,1555.044,BEN AROUS MC 34
2,6,154450,19-Jul,3,52,143161.42,92.0,1556.102391304348,BEN AROUS MC 34
3,2,154450,19-Aug,3,52,33374.78,20.0,1668.739,BEN AROUS MC 34
2,1,154450,18-Feb,3,52,170625.938,158.0,1079.911,BEN AROUS MC 34
1,1,154450,18-Aug,3,52,7143.186,6.0,1190.531,BEN AROUS MC 34
2,1,154450,18-Nov,3,52,320510.265,255.0,1256.903,BEN AROUS MC 34
3,1,154450,18-Oct,3,52,8798.321,7.0,1256.903,BEN AROUS MC 34
1,2,154450,19-Feb,3,52,25684.704,16.0,1605.294,BEN AROUS MC 34
2,2,154450,19-Apr,3,52,419380.84,251.0,1670.8400000000001,BEN AROUS MC 34
2,2,154450,19-Mar,3,52,280926.45,175.0,1605.294,BEN AROUS MC 34
2,2,154450,19-Nov,3,52,463909.442,278.0,1668.739,BEN AROUS MC 34
3,3,154450,18-Apr,3,52,97295.134,71.0,1370.354,BEN AROUS MC 34
1,1,154450,18-Apr,3,52,52835.473,47.0,1124.1589999999999,BEN AROUS MC 34
1,1,154450,18-May,3,52,20234.862,18.0,1124.159,BEN AROUS MC 34
1,2,154450,19-Jan,3,52,75448.818,47.0,1605.294,BEN AROUS MC 34
2,2,154450,19-Jan,3,52,301795.272,188.0,1605.294,BEN AROUS MC 34
3,2,154450,18-Aug,3,52,18676.632,12.0,1556.3860000000002,BEN AROUS MC 34
3,3,154450,18-Jun,3,52,104236.734,75.0,1389.82312,BEN AROUS MC 34
3,3,154450,18-Sep,3,52,120675.663,81.0,1489.823,BEN AROUS MC 34
2,2,154450,19-Jun,3,52,384293.2,230.0,1670.8400000000001,BEN AROUS MC 34
2,1,154450,19-Sep,3,52,332743.25,250.0,1330.973,BEN AROUS MC 34
3,1,154450,19-May,3,52,55993.812,42.0,1333.186,BEN AROUS MC 34
2,6,154450,19-Aug,3,52,147729.18,95.0,1555.0439999999999,BEN AROUS MC 34
2,2,154450,18-Feb,3,52,214798.912,148.0,1451.344,BEN AROUS MC 34
3,3,154450,18-Jul,3,52,124995.162,87.0,1436.7259999999999,BEN AROUS MC 34
2,1,154450,18-Aug,3,52,292870.626,246.0,1190.531,BEN AROUS MC 34
1,2,154450,18-Aug,3,52,94939.546,61.0,1556.386,BEN AROUS MC 34
2,2,154450,19-Oct,3,52,460571.964,276.0,1668.739,BEN AROUS MC 34
2,2,154450,19-Jul,3,52,440832.832,264.0,1669.8213333333333,BEN AROUS MC 34
3,6,154450,19-Oct,3,52,9330.264,6.0,1555.0439999999999,BEN AROUS MC 34
3,3,154450,18-Feb,3,52,14587.166,11.0,1326.106,BEN AROUS MC 34
1,3,154450,18-Feb,3,52,62326.982,47.0,1326.106,BEN AROUS MC 34
1,2,154450,19-Sep,3,52,26699.824,16.0,1668.739,BEN AROUS MC 34
3,1,154450,19-Jul,3,52,39929.19,30.0,1330.9730000000002,BEN AROUS MC 34
2,4,154450,19-Oct,3,52,7286.048,4.0,1821.512,BEN AROUS MC 34
2,1,154450,19-Nov,3,52,370010.494,278.0,1330.973,BEN AROUS MC 34
