NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,151470,18-Aug,22,47,319059.13,205.0,1556.386,BEN GUERDANE
4,2,151470,18-Apr,22,47,4480.083,3.0,1493.3609999999999,BEN GUERDANE
1,1,151470,18-Dec,22,47,62795.767,50.0,1255.91534,BEN GUERDANE
3,2,151470,18-Aug,22,47,31127.72,20.0,1556.386,BEN GUERDANE
1,2,151470,19-Jul,22,47,58416.37,35.0,1669.039142857143,BEN GUERDANE
1,2,151470,18-Dec,22,47,44970.927,28.0,1606.104535714286,BEN GUERDANE
4,2,151470,19-Feb,22,47,54579.996,34.0,1605.2939999999999,BEN GUERDANE
4,3,151470,19-Jan,22,47,29764.6,20.0,1488.23,BEN GUERDANE
4,1,151470,19-Jan,22,47,94148.25,75.0,1255.31,BEN GUERDANE
2,2,151470,18-Aug,22,47,20233.018,13.0,1556.386,BEN GUERDANE
1,6,151470,19-Apr,22,47,73191.079,47.0,1557.257,BEN GUERDANE
4,2,151470,19-May,22,47,18379.24,11.0,1670.8400000000001,BEN GUERDANE
4,6,151470,19-Sep,22,47,21770.616,14.0,1555.044,BEN GUERDANE
1,1,151470,18-Aug,22,47,84527.701,71.0,1190.531,BEN GUERDANE
1,2,151470,18-Jun,22,47,40824.947,27.0,1512.0350740740741,BEN GUERDANE
1,3,151470,18-Nov,22,47,55123.451,37.0,1489.823,BEN GUERDANE
4,3,151470,18-Dec,22,47,2979.646,2.0,1489.823,BEN GUERDANE
4,6,151470,19-Oct,22,47,66866.892,43.0,1555.044,BEN GUERDANE
1,2,151470,19-Mar,22,47,19263.528,12.0,1605.2939999999999,BEN GUERDANE
2,1,151470,19-Sep,22,47,13309.73,10.0,1330.973,BEN GUERDANE
4,2,151470,18-Feb,22,47,23221.504,16.0,1451.344,BEN GUERDANE
4,3,151470,18-Aug,22,47,56032.314,39.0,1436.7259999999999,BEN GUERDANE
4,1,151470,18-Apr,22,47,14614.067,13.0,1124.1589999999999,BEN GUERDANE
1,2,151470,18-Jul,22,47,85601.23,55.0,1556.386,BEN GUERDANE
1,1,151470,18-Nov,22,47,164654.293,131.0,1256.903,BEN GUERDANE
4,3,151470,18-Sep,22,47,71405.31,48.0,1487.610625,BEN GUERDANE
2,2,151470,18-Oct,22,47,3213.614,2.0,1606.807,BEN GUERDANE
1,1,151470,19-Jun,22,47,34662.836,26.0,1333.1860000000001,BEN GUERDANE
4,1,151470,19-Nov,22,47,188998.166,142.0,1330.973,BEN GUERDANE
4,1,151470,18-Dec,22,47,96770.38,77.0,1256.7581818181818,BEN GUERDANE
1,1,151470,18-Oct,22,47,94267.725,75.0,1256.903,BEN GUERDANE
1,2,151470,18-Oct,22,47,12854.456,8.0,1606.807,BEN GUERDANE
1,3,151470,18-Oct,22,47,19367.699,13.0,1489.823,BEN GUERDANE
1,2,151470,19-Sep,22,47,71755.777,43.0,1668.739,BEN GUERDANE
1,2,151470,19-Apr,22,47,128654.68,77.0,1670.84,BEN GUERDANE
1,2,151470,19-Nov,22,47,65080.821,39.0,1668.739,BEN GUERDANE
4,1,151470,18-Mar,22,47,39956.707,37.0,1079.911,BEN GUERDANE
1,1,151470,19-Jan,22,47,67786.74,54.0,1255.3100000000002,BEN GUERDANE
2,1,151470,18-Aug,22,47,22620.089,19.0,1190.531,BEN GUERDANE
4,2,151470,18-Sep,22,47,46395.719,29.0,1599.8523793103448,BEN GUERDANE
3,3,151470,18-Nov,22,47,4469.469,3.0,1489.823,BEN GUERDANE
3,3,151470,19-Jan,22,47,8929.38,6.0,1488.2299999999998,BEN GUERDANE
4,2,151470,19-Jan,22,47,3210.588,2.0,1605.294,BEN GUERDANE
4,3,151470,19-May,22,47,18687.084,12.0,1557.2569999999998,BEN GUERDANE
1,2,151470,19-Oct,22,47,18356.129,11.0,1668.739,BEN GUERDANE
4,2,151470,19-Nov,22,47,85105.689,51.0,1668.739,BEN GUERDANE
4,3,151470,18-Nov,22,47,8938.938,6.0,1489.823,BEN GUERDANE
1,6,151470,19-Oct,22,47,20215.572,13.0,1555.044,BEN GUERDANE
4,6,151470,19-Dec,22,47,4665.132,3.0,1555.0439999999999,BEN GUERDANE
4,1,151470,18-May,22,47,177617.122,158.0,1124.159,BEN GUERDANE
1,3,151470,18-Dec,22,47,68507.963,46.0,1489.303543478261,BEN GUERDANE
1,1,151470,18-Jul,22,47,8333.717,7.0,1190.5310000000002,BEN GUERDANE
3,1,151470,18-Aug,22,47,19048.496,16.0,1190.531,BEN GUERDANE
4,2,151470,19-Jun,22,47,73516.96,44.0,1670.8400000000001,BEN GUERDANE
1,1,151470,19-Apr,22,47,163981.878,123.0,1333.186,BEN GUERDANE
4,6,151470,19-Nov,22,47,49761.408,32.0,1555.044,BEN GUERDANE
1,6,151470,19-Nov,22,47,34210.968,22.0,1555.044,BEN GUERDANE
4,3,151470,18-Feb,22,47,38457.074,29.0,1326.106,BEN GUERDANE
4,3,151470,18-Mar,22,47,10608.848,8.0,1326.106,BEN GUERDANE
4,2,151470,18-Mar,22,47,8708.064,6.0,1451.344,BEN GUERDANE
1,2,151470,18-May,22,47,25387.137,17.0,1493.3609999999999,BEN GUERDANE
4,1,151470,19-Feb,22,47,187041.19,149.0,1255.31,BEN GUERDANE
4,1,151470,18-Jun,22,47,73410.525,63.0,1165.2464285714284,BEN GUERDANE
1,1,151470,19-Nov,22,47,18633.622,14.0,1330.973,BEN GUERDANE
4,1,151470,18-Aug,22,47,136911.065,115.0,1190.531,BEN GUERDANE
3,1,151470,18-Nov,22,47,7541.418,6.0,1256.903,BEN GUERDANE
3,2,151470,18-Nov,22,47,3213.614,2.0,1606.807,BEN GUERDANE
4,3,151470,19-Feb,22,47,68458.58,46.0,1488.23,BEN GUERDANE
1,2,151470,19-Dec,22,47,65080.821,39.0,1668.739,BEN GUERDANE
