NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,154790,18-Mar,1,43,1230739.712,848.0,1451.344,BERGES DU LAC
2,1,154790,18-Dec,1,43,250031.303,199.0,1256.4387085427136,BERGES DU LAC
3,3,154790,19-Jan,1,43,276810.78,186.0,1488.2300000000002,BERGES DU LAC
2,1,154790,18-Jul,1,43,239296.731,201.0,1190.531,BERGES DU LAC
2,1,154790,19-Sep,1,43,267525.573,201.0,1330.973,BERGES DU LAC
2,6,154790,19-Mar,1,43,10417.61,7.0,1488.23,BERGES DU LAC
2,1,154790,18-Jan,1,43,222461.666,206.0,1079.911,BERGES DU LAC
1,3,154790,18-Feb,1,43,139241.13,105.0,1326.106,BERGES DU LAC
2,1,154790,18-Mar,1,43,235420.598,218.0,1079.911,BERGES DU LAC
3,2,154790,18-Mar,1,43,10159.408,7.0,1451.3439999999998,BERGES DU LAC
1,2,154790,18-Dec,1,43,147826.244,92.0,1606.807,BERGES DU LAC
2,2,154790,19-Feb,1,43,1167048.738,727.0,1605.2939999999999,BERGES DU LAC
3,1,154790,18-Jun,1,43,23607.339,21.0,1124.159,BERGES DU LAC
2,2,154790,19-Jul,1,43,1415992.001,848.0,1669.801887971698,BERGES DU LAC
3,2,154790,19-Sep,1,43,141842.815,85.0,1668.739,BERGES DU LAC
1,2,154790,19-Aug,1,43,15018.651,9.0,1668.739,BERGES DU LAC
3,3,154790,18-Jan,1,43,261242.882,197.0,1326.106,BERGES DU LAC
3,3,154790,18-Dec,1,43,281487.339,189.0,1489.3509999999999,BERGES DU LAC
3,3,154790,18-Nov,1,43,300944.246,202.0,1489.8229999999999,BERGES DU LAC
2,1,154790,19-May,1,43,201311.086,151.0,1333.1860000000001,BERGES DU LAC
2,1,154790,18-Sep,1,43,234509.885,187.0,1254.0635561497327,BERGES DU LAC
3,4,154790,19-Feb,1,43,5248.992,3.0,1749.664,BERGES DU LAC
2,4,154790,19-Mar,1,43,29744.288,17.0,1749.664,BERGES DU LAC
3,6,154790,19-May,1,43,12458.056,8.0,1557.257,BERGES DU LAC
2,2,154790,18-Jul,1,43,1287131.222,827.0,1556.3860000000002,BERGES DU LAC
3,3,154790,18-Sep,1,43,300572.567,202.0,1487.983004950495,BERGES DU LAC
1,2,154790,19-Sep,1,43,120149.208,72.0,1668.739,BERGES DU LAC
2,1,154790,19-Nov,1,43,262201.681,197.0,1330.973,BERGES DU LAC
3,6,154790,19-Oct,1,43,13995.396,9.0,1555.044,BERGES DU LAC
3,3,154790,18-Feb,1,43,78240.254,59.0,1326.106,BERGES DU LAC
3,3,154790,18-Aug,1,43,285908.474,199.0,1436.7259999999999,BERGES DU LAC
1,2,154790,19-Jan,1,43,276110.568,172.0,1605.294,BERGES DU LAC
2,4,154790,18-Jul,1,43,11894.708,7.0,1699.2440000000001,BERGES DU LAC
2,4,154790,19-Apr,1,43,31001.421,17.0,1823.6129999999998,BERGES DU LAC
3,6,154790,19-Apr,1,43,24916.112,16.0,1557.257,BERGES DU LAC
2,1,154790,19-Jul,1,43,270408.819,203.0,1332.0631477832512,BERGES DU LAC
2,4,154790,19-Aug,1,43,27322.68,15.0,1821.512,BERGES DU LAC
1,1,154790,19-Jan,1,43,32638.06,26.0,1255.31,BERGES DU LAC
2,1,154790,19-Feb,1,43,234742.97,187.0,1255.31,BERGES DU LAC
