NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,155760,19-Jan,3,97,271294.686,169.0,1605.2939999999999,BIR EL KASSA
2,1,155760,18-Nov,3,97,438659.147,349.0,1256.903,BIR EL KASSA
2,2,155760,18-Sep,3,97,359420.558,224.0,1604.5560625,BIR EL KASSA
2,2,155760,18-Jun,3,97,247897.926,166.0,1493.361,BIR EL KASSA
2,1,155760,19-Oct,3,97,433897.198,326.0,1330.973,BIR EL KASSA
1,6,155760,19-Jun,3,97,6229.028,4.0,1557.257,BIR EL KASSA
2,1,155760,19-Mar,3,97,404209.82,322.0,1255.31,BIR EL KASSA
3,2,155760,19-Sep,3,97,18356.129,11.0,1668.739,BIR EL KASSA
2,6,155760,19-Sep,3,97,116628.3,75.0,1555.044,BIR EL KASSA
3,3,155760,18-Mar,3,97,102110.162,77.0,1326.106,BIR EL KASSA
1,1,155760,18-Apr,3,97,87684.402,78.0,1124.159,BIR EL KASSA
2,1,155760,18-Apr,3,97,342868.495,305.0,1124.1589999999999,BIR EL KASSA
1,3,155760,18-Aug,3,97,27297.794,19.0,1436.726,BIR EL KASSA
2,1,155760,18-Oct,3,97,460026.498,366.0,1256.903,BIR EL KASSA
2,3,155760,19-May,3,97,101221.705,65.0,1557.257,BIR EL KASSA
3,1,155760,19-May,3,97,57326.998,43.0,1333.186,BIR EL KASSA
2,1,155760,18-Feb,3,97,509717.992,472.0,1079.911,BIR EL KASSA
2,2,155760,18-Mar,3,97,330906.432,228.0,1451.3439999999998,BIR EL KASSA
3,1,155760,18-Feb,3,97,21598.22,20.0,1079.911,BIR EL KASSA
1,2,155760,19-Jan,3,97,65817.054,41.0,1605.294,BIR EL KASSA
3,1,155760,18-Nov,3,97,20110.448,16.0,1256.903,BIR EL KASSA
1,2,155760,19-Feb,3,97,65817.054,41.0,1605.294,BIR EL KASSA
3,1,155760,19-Aug,3,97,54569.893,41.0,1330.973,BIR EL KASSA
2,1,155760,19-Nov,3,97,409939.684,308.0,1330.973,BIR EL KASSA
2,3,155760,19-Apr,3,97,115237.018,74.0,1557.257,BIR EL KASSA
2,2,155760,19-Mar,3,97,255241.746,159.0,1605.294,BIR EL KASSA
2,2,155760,19-Dec,3,97,375466.275,225.0,1668.739,BIR EL KASSA
2,2,155760,18-May,3,97,349446.474,234.0,1493.3609999999999,BIR EL KASSA
1,3,155760,18-May,3,97,6851.77,5.0,1370.354,BIR EL KASSA
3,1,155760,18-Dec,3,97,5027.612,4.0,1256.903,BIR EL KASSA
3,2,155760,18-Aug,3,97,34240.492,22.0,1556.386,BIR EL KASSA
3,3,155760,18-Jun,3,97,27297.794,19.0,1436.726,BIR EL KASSA
3,2,155760,18-Oct,3,97,9640.842,6.0,1606.807,BIR EL KASSA
3,1,155760,19-Feb,3,97,23850.89,19.0,1255.31,BIR EL KASSA
3,3,155760,18-Feb,3,97,38457.074,29.0,1326.106,BIR EL KASSA
3,3,155760,18-May,3,97,106887.612,78.0,1370.3539999999998,BIR EL KASSA
3,1,155760,18-Apr,3,97,21359.021,19.0,1124.159,BIR EL KASSA
2,2,155760,18-Aug,3,97,273923.936,176.0,1556.386,BIR EL KASSA
2,1,155760,18-Aug,3,97,405971.071,341.0,1190.531,BIR EL KASSA
2,2,155760,18-Oct,3,97,361531.575,225.0,1606.807,BIR EL KASSA
2,1,155760,18-Jun,3,97,225955.959,201.0,1124.159,BIR EL KASSA
1,3,155760,18-Jun,3,97,4111.062,3.0,1370.354,BIR EL KASSA
3,3,155760,19-Feb,3,97,95246.72,64.0,1488.23,BIR EL KASSA
2,1,155760,19-Jun,3,97,422619.962,317.0,1333.186,BIR EL KASSA
2,1,155760,19-May,3,97,423953.148,318.0,1333.186,BIR EL KASSA
1,1,155760,19-May,3,97,22664.162,17.0,1333.186,BIR EL KASSA
3,6,155760,19-Apr,3,97,6229.028,4.0,1557.257,BIR EL KASSA
2,2,155760,19-Sep,3,97,283685.63,170.0,1668.739,BIR EL KASSA
2,1,155760,19-Aug,3,97,397960.927,299.0,1330.9730000000002,BIR EL KASSA
2,1,155760,19-Jul,3,97,470260.578,353.0,1332.182940509915,BIR EL KASSA
2,1,155760,18-Dec,3,97,461106.578,367.0,1256.4211934604905,BIR EL KASSA
3,2,155760,18-Nov,3,97,28922.526,18.0,1606.807,BIR EL KASSA
3,3,155760,18-Jun,3,97,69888.054,51.0,1370.354,BIR EL KASSA
1,1,155760,18-Jun,3,97,51711.314,46.0,1124.1589999999999,BIR EL KASSA
2,6,155760,19-May,3,97,9343.542,6.0,1557.2569999999998,BIR EL KASSA
2,1,155760,18-Mar,3,97,522676.924,484.0,1079.911,BIR EL KASSA
2,2,155760,19-Apr,3,97,395989.08,237.0,1670.8400000000001,BIR EL KASSA
1,3,155760,18-Dec,3,97,7449.115,5.0,1489.8229999999999,BIR EL KASSA
3,2,155760,19-Jan,3,97,9631.764,6.0,1605.2939999999999,BIR EL KASSA
2,1,155760,18-Jun,3,97,138101.596,116.0,1190.531,BIR EL KASSA
2,1,155760,18-Sep,3,97,477486.231,381.0,1253.2447007874016,BIR EL KASSA
3,6,155760,19-Mar,3,97,96734.95,65.0,1488.23,BIR EL KASSA
2,6,155760,19-Aug,3,97,130623.696,84.0,1555.0439999999999,BIR EL KASSA
1,6,155760,19-Mar,3,97,7441.15,5.0,1488.23,BIR EL KASSA
3,2,155760,19-Aug,3,97,30037.302,18.0,1668.739,BIR EL KASSA
2,2,155760,19-Nov,3,97,353772.668,212.0,1668.739,BIR EL KASSA
2,2,155760,18-Feb,3,97,293171.488,202.0,1451.344,BIR EL KASSA
2,1,155760,18-Jan,3,97,589631.406,546.0,1079.9109999999998,BIR EL KASSA
1,3,155760,18-Feb,3,97,57022.558,43.0,1326.106,BIR EL KASSA
3,1,155760,18-Mar,3,97,11879.021,11.0,1079.911,BIR EL KASSA
3,2,155760,18-Dec,3,97,17674.877,11.0,1606.807,BIR EL KASSA
1,3,155760,19-Jan,3,97,10417.61,7.0,1488.23,BIR EL KASSA
2,6,155760,19-Oct,3,97,105742.992,68.0,1555.0439999999999,BIR EL KASSA
3,6,155760,19-Nov,3,97,41986.188,27.0,1555.044,BIR EL KASSA
2,2,155760,18-Jan,3,97,278658.048,192.0,1451.344,BIR EL KASSA
3,2,155760,18-Jan,3,97,33380.912,23.0,1451.3439999999998,BIR EL KASSA
1,1,155760,18-May,3,97,71946.176,64.0,1124.159,BIR EL KASSA
