NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
4,1,153000,18-Feb,23,95,53995.55,50.0,1079.911,BIR LAHMAR
4,3,153000,18-Mar,23,95,38457.074,29.0,1326.106,BIR LAHMAR
1,3,153000,18-Nov,23,95,34265.929,23.0,1489.8229999999999,BIR LAHMAR
4,3,153000,18-Sep,23,95,58103.097,39.0,1489.823,BIR LAHMAR
4,1,153000,18-Sep,23,95,52789.926,42.0,1256.903,BIR LAHMAR
4,1,153000,19-Jan,23,95,13808.41,11.0,1255.31,BIR LAHMAR
4,1,153000,19-Oct,23,95,82520.326,62.0,1330.973,BIR LAHMAR
4,2,153000,19-Mar,23,95,28895.292,18.0,1605.294,BIR LAHMAR
4,1,153000,18-Dec,23,95,42734.702,34.0,1256.903,BIR LAHMAR
1,1,153000,19-Jan,23,95,45191.16,36.0,1255.3100000000002,BIR LAHMAR
1,2,153000,19-Jan,23,95,35316.468,22.0,1605.294,BIR LAHMAR
1,3,153000,18-Oct,23,95,7449.115,5.0,1489.8229999999999,BIR LAHMAR
1,2,153000,19-Nov,23,95,38380.997,23.0,1668.739,BIR LAHMAR
4,1,153000,18-Aug,23,95,53573.895,45.0,1190.531,BIR LAHMAR
1,1,153000,18-Oct,23,95,55303.732,44.0,1256.903,BIR LAHMAR
1,6,153000,19-Aug,23,95,147729.18,95.0,1555.0439999999999,BIR LAHMAR
1,2,153000,19-Aug,23,95,163536.422,98.0,1668.7389999999998,BIR LAHMAR
4,6,153000,19-Jul,23,95,63809.916,41.0,1556.3394146341464,BIR LAHMAR
1,6,153000,19-Oct,23,95,15550.44,10.0,1555.044,BIR LAHMAR
4,3,153000,18-Jan,23,95,29174.332,22.0,1326.106,BIR LAHMAR
4,1,153000,18-Apr,23,95,59580.427,53.0,1124.159,BIR LAHMAR
1,3,153000,19-Jan,23,95,40182.21,27.0,1488.23,BIR LAHMAR
4,3,153000,18-Aug,23,95,71836.3,50.0,1436.726,BIR LAHMAR
1,2,153000,18-Jul,23,95,38909.65,25.0,1556.386,BIR LAHMAR
1,2,153000,18-Aug,23,95,186766.32,120.0,1556.386,BIR LAHMAR
4,2,153000,18-Oct,23,95,32136.14,20.0,1606.807,BIR LAHMAR
4,1,153000,18-Oct,23,95,11312.127,9.0,1256.903,BIR LAHMAR
1,2,153000,18-Jun,23,95,27195.623,18.0,1510.8679444444444,BIR LAHMAR
4,2,153000,18-Jun,23,95,3112.772,2.0,1556.386,BIR LAHMAR
3,3,153000,19-Jan,23,95,5952.92,4.0,1488.23,BIR LAHMAR
1,1,153000,19-Mar,23,95,36403.99,29.0,1255.31,BIR LAHMAR
4,6,153000,19-Mar,23,95,31252.83,21.0,1488.23,BIR LAHMAR
