NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,153690,18-Apr,5,13,61828.745,55.0,1124.159,BIR MCHERGA
3,1,153690,18-Apr,5,13,11241.59,10.0,1124.159,BIR MCHERGA
3,3,153690,18-Apr,5,13,49332.744,36.0,1370.354,BIR MCHERGA
2,1,153690,18-Sep,5,13,292389.63,234.0,1249.5283333333334,BIR MCHERGA
3,1,153690,18-Sep,5,13,18853.545,15.0,1256.9029999999998,BIR MCHERGA
1,3,153690,18-Oct,5,13,14898.23,10.0,1489.8229999999999,BIR MCHERGA
3,3,153690,18-Jun,5,13,42879.206,31.0,1383.200193548387,BIR MCHERGA
1,3,153690,18-Jun,5,13,4111.062,3.0,1370.354,BIR MCHERGA
2,1,153690,18-Jan,5,13,255938.907,237.0,1079.911,BIR MCHERGA
3,3,153690,18-Dec,5,13,34253.185,23.0,1489.268913043478,BIR MCHERGA
2,1,153690,19-Feb,5,13,199594.29,159.0,1255.31,BIR MCHERGA
2,1,153690,18-Jun,5,13,261949.872,228.0,1148.902947368421,BIR MCHERGA
3,1,153690,18-Nov,5,13,45248.508,36.0,1256.903,BIR MCHERGA
2,1,153690,19-Jun,5,13,350627.918,263.0,1333.186,BIR MCHERGA
2,2,153690,19-Jun,5,13,145363.08,87.0,1670.84,BIR MCHERGA
3,2,153690,19-May,5,13,5012.52,3.0,1670.8400000000001,BIR MCHERGA
1,1,153690,19-Mar,5,13,76573.91,61.0,1255.31,BIR MCHERGA
2,2,153690,18-Jan,5,13,91434.672,63.0,1451.344,BIR MCHERGA
3,3,153690,18-Feb,5,13,17239.378,13.0,1326.106,BIR MCHERGA
1,1,153690,19-Jan,5,13,76573.91,61.0,1255.31,BIR MCHERGA
1,2,153690,19-Jan,5,13,38527.056,24.0,1605.2939999999999,BIR MCHERGA
2,2,153690,18-Oct,5,13,70699.508,44.0,1606.807,BIR MCHERGA
1,2,153690,18-Jun,5,13,17920.332,12.0,1493.3609999999999,BIR MCHERGA
3,3,153690,19-Jan,5,13,43158.67,29.0,1488.23,BIR MCHERGA
3,2,153690,19-Feb,5,13,16052.94,10.0,1605.294,BIR MCHERGA
3,1,153690,19-Feb,5,13,6276.55,5.0,1255.31,BIR MCHERGA
2,1,153690,19-May,5,13,307965.966,231.0,1333.1860000000001,BIR MCHERGA
2,2,153690,19-Sep,5,13,120149.208,72.0,1668.739,BIR MCHERGA
3,3,153690,18-Jan,5,13,34478.756,26.0,1326.106,BIR MCHERGA
1,3,153690,18-Feb,5,13,25196.014,19.0,1326.106,BIR MCHERGA
1,2,153690,18-Feb,5,13,4354.032,3.0,1451.344,BIR MCHERGA
2,1,153690,19-Jan,5,13,184530.57,147.0,1255.31,BIR MCHERGA
3,1,153690,18-Jul,5,13,3571.593,3.0,1190.531,BIR MCHERGA
2,2,153690,18-Nov,5,13,94801.613,59.0,1606.807,BIR MCHERGA
2,1,153690,19-Oct,5,13,363355.629,273.0,1330.973,BIR MCHERGA
1,2,153690,19-Mar,5,13,38527.056,24.0,1605.2939999999999,BIR MCHERGA
1,3,153690,19-Feb,5,13,4464.69,3.0,1488.2299999999998,BIR MCHERGA
2,2,153690,19-Nov,5,13,140174.076,84.0,1668.739,BIR MCHERGA
3,1,153690,18-Feb,5,13,5399.555,5.0,1079.911,BIR MCHERGA
1,2,153690,18-May,5,13,17920.332,12.0,1493.3609999999999,BIR MCHERGA
1,1,153690,18-Dec,5,13,50276.12,40.0,1256.903,BIR MCHERGA
1,3,153690,19-Jan,5,13,8929.38,6.0,1488.2299999999998,BIR MCHERGA
1,1,153690,18-Jul,5,13,48811.771,41.0,1190.531,BIR MCHERGA
3,3,153690,18-Sep,5,13,43204.867,29.0,1489.8229999999999,BIR MCHERGA
3,3,153690,19-Feb,5,13,17858.76,12.0,1488.2299999999998,BIR MCHERGA
2,6,153690,19-Jun,5,13,56061.252,36.0,1557.257,BIR MCHERGA
1,2,153690,19-May,5,13,6683.36,4.0,1670.84,BIR MCHERGA
2,1,153690,19-Sep,5,13,364686.602,274.0,1330.973,BIR MCHERGA
2,2,153690,19-Dec,5,13,138505.337,83.0,1668.739,BIR MCHERGA
