NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,2,150470,18-Jan,6,1,230763.696,159.0,1451.344,BIZERTE
3,1,150470,18-Aug,6,1,92861.418,78.0,1190.5310000000002,BIZERTE
3,4,150470,18-Aug,6,1,6796.976,4.0,1699.244,BIZERTE
3,2,150470,18-Nov,6,1,226559.787,141.0,1606.807,BIZERTE
3,2,150470,19-May,6,1,260651.04,156.0,1670.8400000000001,BIZERTE
3,2,150470,18-Mar,6,1,227861.008,157.0,1451.344,BIZERTE
3,3,150470,18-Aug,6,1,81893.382,57.0,1436.7259999999999,BIZERTE
3,1,150470,18-Feb,6,1,34557.152,32.0,1079.911,BIZERTE
3,1,150470,18-Jan,6,1,134988.875,125.0,1079.911,BIZERTE
3,2,150470,18-Feb,6,1,72567.2,50.0,1451.344,BIZERTE
3,1,150470,19-Jan,6,1,117999.14,94.0,1255.31,BIZERTE
3,4,150470,18-Jul,6,1,11894.708,7.0,1699.2440000000001,BIZERTE
3,2,150470,18-Sep,6,1,231077.682,144.0,1604.706125,BIZERTE
3,1,150470,19-Jun,6,1,95989.392,72.0,1333.1860000000001,BIZERTE
3,4,150470,19-Apr,6,1,7294.452,4.0,1823.613,BIZERTE
3,2,150470,19-Jul,6,1,303899.588,182.0,1669.777956043956,BIZERTE
3,1,150470,18-Jul,6,1,92861.418,78.0,1190.5310000000002,BIZERTE
3,1,150470,18-Jun,6,1,92450.691,81.0,1141.3665555555556,BIZERTE
3,2,150470,18-Oct,6,1,247448.278,154.0,1606.807,BIZERTE
3,4,150470,18-Sep,6,1,6998.656,4.0,1749.664,BIZERTE
3,4,150470,19-Feb,6,1,6998.656,4.0,1749.664,BIZERTE
3,2,150470,19-Oct,6,1,278679.413,167.0,1668.739,BIZERTE
3,1,150470,19-Oct,6,1,141083.138,106.0,1330.973,BIZERTE
3,1,150470,18-Feb,6,1,64794.66,60.0,1079.911,BIZERTE
3,1,150470,18-Dec,6,1,121878.173,97.0,1256.4760103092783,BIZERTE
3,2,150470,18-Jun,6,1,236978.677,157.0,1509.4183248407644,BIZERTE
3,3,150470,18-Mar,6,1,59674.77,45.0,1326.106,BIZERTE
3,1,150470,18-May,6,1,82063.607,73.0,1124.159,BIZERTE
3,2,150470,18-Jul,6,1,250578.146,161.0,1556.386,BIZERTE
3,3,150470,18-Jul,6,1,67526.122,47.0,1436.726,BIZERTE
3,4,150470,19-May,6,1,7294.452,4.0,1823.613,BIZERTE
2,2,150470,18-Jan,6,1,10159.408,7.0,1451.3439999999998,BIZERTE
3,3,150470,18-Apr,6,1,60295.576,44.0,1370.354,BIZERTE
3,2,150470,18-Apr,6,1,225497.511,151.0,1493.361,BIZERTE
3,6,150470,19-Jun,6,1,68519.308,44.0,1557.257,BIZERTE
3,1,150470,19-Apr,6,1,111987.624,84.0,1333.186,BIZERTE
3,1,150470,19-Nov,6,1,191660.112,144.0,1330.973,BIZERTE
3,2,150470,19-Dec,6,1,250310.85,150.0,1668.739,BIZERTE
3,1,150470,18-Apr,6,1,91056.879,81.0,1124.159,BIZERTE
2,1,150470,19-Feb,6,1,5021.24,4.0,1255.31,BIZERTE
3,4,150470,19-Oct,6,1,7286.048,4.0,1821.512,BIZERTE
3,6,150470,19-Nov,6,1,82417.332,53.0,1555.0439999999999,BIZERTE
2,1,150470,18-Jan,6,1,3239.733,3.0,1079.911,BIZERTE
3,2,150470,19-Jan,6,1,200661.75,125.0,1605.294,BIZERTE
3,1,150470,18-Oct,6,1,105579.852,84.0,1256.903,BIZERTE
3,2,150470,19-Jun,6,1,240600.96,144.0,1670.84,BIZERTE
3,1,150470,19-May,6,1,106654.88,80.0,1333.1860000000001,BIZERTE
3,1,150470,19-Aug,6,1,146407.03,110.0,1330.973,BIZERTE
3,2,150470,19-Nov,6,1,265329.501,159.0,1668.739,BIZERTE
3,4,150470,19-Nov,6,1,3643.024,2.0,1821.512,BIZERTE
3,3,150470,18-Feb,6,1,31826.544,24.0,1326.106,BIZERTE
2,2,150470,18-May,6,1,13440.249,9.0,1493.3609999999999,BIZERTE
3,2,150470,18-Aug,6,1,269254.778,173.0,1556.386,BIZERTE
3,1,150470,18-Nov,6,1,118148.882,94.0,1256.903,BIZERTE
3,3,150470,18-Nov,6,1,67042.035,45.0,1489.823,BIZERTE
1,3,150470,18-Oct,6,1,8938.938,6.0,1489.823,BIZERTE
3,4,150470,19-Jan,6,1,6998.656,4.0,1749.664,BIZERTE
3,6,150470,19-Oct,6,1,82417.332,53.0,1555.0439999999999,BIZERTE
