NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,155600,18-Apr,3,17,38221.406,34.0,1124.159,BORJ CEDRIA
1,3,155600,18-May,3,17,8222.124,6.0,1370.354,BORJ CEDRIA
1,1,155600,18-Dec,3,17,43991.605,35.0,1256.903,BORJ CEDRIA
2,6,155600,19-May,3,17,7786.285,5.0,1557.257,BORJ CEDRIA
2,2,155600,18-May,3,17,179203.32,120.0,1493.361,BORJ CEDRIA
3,3,155600,18-Jul,3,17,74709.752,52.0,1436.7259999999999,BORJ CEDRIA
3,2,155600,18-Nov,3,17,20888.491,13.0,1606.8070000000002,BORJ CEDRIA
1,1,155600,19-Mar,3,17,41425.23,33.0,1255.3100000000002,BORJ CEDRIA
2,1,155600,19-Mar,3,17,138084.1,110.0,1255.31,BORJ CEDRIA
2,2,155600,18-Dec,3,17,192759.346,120.0,1606.3278833333331,BORJ CEDRIA
2,2,155600,19-Apr,3,17,197159.12,118.0,1670.84,BORJ CEDRIA
2,1,155600,19-Jul,3,17,214463.693,161.0,1332.0726273291925,BORJ CEDRIA
2,1,155600,18-Mar,3,17,209502.734,194.0,1079.911,BORJ CEDRIA
1,2,155600,18-Dec,3,17,20888.491,13.0,1606.8070000000002,BORJ CEDRIA
2,1,155600,18-Jul,3,17,227391.421,191.0,1190.531,BORJ CEDRIA
2,1,155600,19-Feb,3,17,199594.29,159.0,1255.31,BORJ CEDRIA
1,1,155600,19-Jan,3,17,43935.85,35.0,1255.31,BORJ CEDRIA
2,1,155600,18-Jun,3,17,93305.197,83.0,1124.159,BORJ CEDRIA
3,3,155600,18-Sep,3,17,62572.566,42.0,1489.8229999999999,BORJ CEDRIA
3,1,155600,18-Oct,3,17,43991.605,35.0,1256.903,BORJ CEDRIA
2,1,155600,19-Jun,3,17,177313.738,133.0,1333.1860000000001,BORJ CEDRIA
1,2,155600,19-Sep,3,17,28368.563,17.0,1668.7389999999998,BORJ CEDRIA
3,6,155600,19-Mar,3,17,58040.97,39.0,1488.23,BORJ CEDRIA
2,1,155600,18-Apr,3,17,148388.988,132.0,1124.159,BORJ CEDRIA
3,3,155600,18-Dec,3,17,55109.114,37.0,1489.4355135135136,BORJ CEDRIA
1,1,155600,18-Jun,3,17,20234.862,18.0,1124.159,BORJ CEDRIA
2,6,155600,19-Oct,3,17,65311.848,42.0,1555.0439999999999,BORJ CEDRIA
2,2,155600,18-Feb,3,17,146585.744,101.0,1451.344,BORJ CEDRIA
2,1,155600,18-Jan,3,17,206263.001,191.0,1079.9109999999998,BORJ CEDRIA
3,3,155600,18-Mar,3,17,39783.18,30.0,1326.106,BORJ CEDRIA
2,2,155600,18-Apr,3,17,159789.627,107.0,1493.361,BORJ CEDRIA
2,1,155600,18-May,3,17,216962.687,193.0,1124.159,BORJ CEDRIA
2,1,155600,18-Aug,3,17,179770.181,151.0,1190.5310000000002,BORJ CEDRIA
2,1,155600,18-Sep,3,17,230075.456,184.0,1250.4100869565218,BORJ CEDRIA
2,3,155600,19-Apr,3,17,62290.28,40.0,1557.257,BORJ CEDRIA
3,1,155600,19-May,3,17,22664.162,17.0,1333.186,BORJ CEDRIA
2,2,155600,19-Mar,3,17,102738.816,64.0,1605.294,BORJ CEDRIA
3,2,155600,19-Sep,3,17,20024.868,12.0,1668.7389999999998,BORJ CEDRIA
2,1,155600,19-Dec,3,17,196984.004,148.0,1330.973,BORJ CEDRIA
2,2,155600,18-Nov,3,17,170321.542,106.0,1606.8069999999998,BORJ CEDRIA
3,3,155600,19-Jan,3,17,44646.9,30.0,1488.23,BORJ CEDRIA
1,3,155600,19-Jan,3,17,7441.15,5.0,1488.23,BORJ CEDRIA
2,6,155600,19-Jun,3,17,56061.252,36.0,1557.257,BORJ CEDRIA
2,6,155600,19-Sep,3,17,54426.54,35.0,1555.044,BORJ CEDRIA
3,1,155600,19-Aug,3,17,18633.622,14.0,1330.973,BORJ CEDRIA
2,2,155600,19-Dec,3,17,201917.419,121.0,1668.739,BORJ CEDRIA
2,2,155600,18-Mar,3,17,175612.624,121.0,1451.344,BORJ CEDRIA
2,1,155600,18-Dec,3,17,183425.002,146.0,1256.3356301369863,BORJ CEDRIA
1,2,155600,19-Jan,3,17,36921.762,23.0,1605.294,BORJ CEDRIA
2,1,155600,18-Nov,3,17,213673.51,170.0,1256.903,BORJ CEDRIA
1,3,155600,18-Aug,3,17,24424.342,17.0,1436.726,BORJ CEDRIA
2,2,155600,19-May,3,17,207184.16,124.0,1670.84,BORJ CEDRIA
2,6,155600,19-Aug,3,17,90192.552,58.0,1555.0439999999999,BORJ CEDRIA
2,2,155600,19-Aug,3,17,228617.243,137.0,1668.7389999999998,BORJ CEDRIA
3,3,155600,18-Feb,3,17,21217.696,16.0,1326.106,BORJ CEDRIA
2,2,155600,18-Jun,3,17,66924.598,43.0,1556.386,BORJ CEDRIA
1,2,155600,19-Feb,3,17,17658.234,11.0,1605.294,BORJ CEDRIA
2,1,155600,19-May,3,17,186646.04,140.0,1333.1860000000001,BORJ CEDRIA
2,6,155600,19-Jul,3,17,80910.974,52.0,1555.9802692307692,BORJ CEDRIA
2,1,155600,18-Feb,3,17,180345.137,167.0,1079.9109999999998,BORJ CEDRIA
3,3,155600,18-Jan,3,17,42435.392,32.0,1326.106,BORJ CEDRIA
1,3,155600,18-Feb,3,17,27848.226,21.0,1326.106,BORJ CEDRIA
2,2,155600,18-Jul,3,17,247465.374,159.0,1556.386,BORJ CEDRIA
3,3,155600,18-Aug,3,17,50285.41,35.0,1436.726,BORJ CEDRIA
3,3,155600,18-Oct,3,17,46184.513,31.0,1489.8229999999999,BORJ CEDRIA
1,3,155600,18-Dec,3,17,7449.115,5.0,1489.8229999999999,BORJ CEDRIA
2,2,155600,19-Sep,3,17,133499.12,80.0,1668.739,BORJ CEDRIA
2,2,155600,18-Aug,3,17,160307.758,103.0,1556.386,BORJ CEDRIA
