NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,3,154990,19-Apr,24,17,65404.794,42.0,1557.257,BORJ EL AMRI
3,2,154990,18-Nov,24,17,16068.07,10.0,1606.807,BORJ EL AMRI
3,1,154990,18-Nov,24,17,41477.799,33.0,1256.903,BORJ EL AMRI
1,1,154990,18-Jun,24,17,16862.385,15.0,1124.1589999999999,BORJ EL AMRI
3,2,154990,19-May,24,17,10025.04,6.0,1670.8400000000001,BORJ EL AMRI
2,2,154990,19-Aug,24,17,173548.856,104.0,1668.739,BORJ EL AMRI
2,1,154990,18-Aug,24,17,345253.99,290.0,1190.531,BORJ EL AMRI
2,1,154990,18-Oct,24,17,361988.064,288.0,1256.903,BORJ EL AMRI
3,3,154990,18-Oct,24,17,46184.513,31.0,1489.8229999999999,BORJ EL AMRI
3,2,154990,18-Sep,24,17,6427.228,4.0,1606.807,BORJ EL AMRI
2,6,154990,19-Jun,24,17,29587.883,19.0,1557.257,BORJ EL AMRI
2,1,154990,19-Nov,24,17,449868.874,338.0,1330.973,BORJ EL AMRI
3,1,154990,18-Jun,24,17,11241.59,10.0,1124.159,BORJ EL AMRI
1,2,154990,19-Jan,24,17,30500.586,19.0,1605.2939999999999,BORJ EL AMRI
3,1,154990,19-Feb,24,17,13808.41,11.0,1255.31,BORJ EL AMRI
1,2,154990,19-Mar,24,17,17658.234,11.0,1605.294,BORJ EL AMRI
1,1,154990,19-Mar,24,17,32638.06,26.0,1255.31,BORJ EL AMRI
2,1,154990,19-Aug,24,17,375334.386,282.0,1330.973,BORJ EL AMRI
2,3,154990,19-May,24,17,48274.967,31.0,1557.2569999999998,BORJ EL AMRI
3,1,154990,19-May,24,17,27996.906,21.0,1333.186,BORJ EL AMRI
3,1,154990,19-Jun,24,17,73325.23,55.0,1333.186,BORJ EL AMRI
3,2,154990,19-Aug,24,17,8343.695,5.0,1668.739,BORJ EL AMRI
2,1,154990,19-Sep,24,17,407277.738,306.0,1330.973,BORJ EL AMRI
2,1,154990,18-Feb,24,17,80993.325,75.0,1079.911,BORJ EL AMRI
2,1,154990,18-Mar,24,17,262418.373,243.0,1079.911,BORJ EL AMRI
2,2,154990,19-Apr,24,17,148704.76,89.0,1670.8400000000001,BORJ EL AMRI
2,1,154990,18-May,24,17,275418.955,245.0,1124.159,BORJ EL AMRI
2,1,154990,18-Apr,24,17,259680.729,231.0,1124.1589999999999,BORJ EL AMRI
3,2,154990,18-May,24,17,32853.942,22.0,1493.361,BORJ EL AMRI
2,2,154990,18-Dec,24,17,125288.582,78.0,1606.2638717948716,BORJ EL AMRI
2,2,154990,18-Jul,24,17,147856.67,95.0,1556.3860000000002,BORJ EL AMRI
1,3,154990,19-Jan,24,17,4464.69,3.0,1488.2299999999998,BORJ EL AMRI
3,1,154990,19-Jan,24,17,21340.27,17.0,1255.31,BORJ EL AMRI
2,1,154990,19-Feb,24,17,277423.51,221.0,1255.31,BORJ EL AMRI
1,2,154990,19-Sep,24,17,8343.695,5.0,1668.739,BORJ EL AMRI
3,6,154990,19-Jul,24,17,6220.176,4.0,1555.044,BORJ EL AMRI
1,1,154990,18-Mar,24,17,26997.775,25.0,1079.911,BORJ EL AMRI
3,2,154990,18-Oct,24,17,17674.877,11.0,1606.807,BORJ EL AMRI
3,2,154990,18-Dec,24,17,14461.263,9.0,1606.807,BORJ EL AMRI
2,2,154990,19-Nov,24,17,150186.51,90.0,1668.739,BORJ EL AMRI
2,2,154990,19-Dec,24,17,156861.466,94.0,1668.7389999999998,BORJ EL AMRI
2,2,154990,18-Nov,24,17,112476.49,70.0,1606.807,BORJ EL AMRI
3,1,154990,18-May,24,17,80939.448,72.0,1124.159,BORJ EL AMRI
1,2,154990,18-Jun,24,17,4480.083,3.0,1493.3609999999999,BORJ EL AMRI
3,6,154990,19-May,24,17,7786.285,5.0,1557.257,BORJ EL AMRI
2,2,154990,18-Mar,24,17,117558.864,81.0,1451.344,BORJ EL AMRI
1,2,154990,18-Apr,24,17,32853.942,22.0,1493.361,BORJ EL AMRI
3,3,154990,18-Dec,24,17,62553.45,42.0,1489.367857142857,BORJ EL AMRI
2,2,154990,19-Jan,24,17,83475.288,52.0,1605.294,BORJ EL AMRI
3,1,154990,18-Oct,24,17,42734.702,34.0,1256.903,BORJ EL AMRI
3,2,154990,18-Jun,24,17,5973.444,4.0,1493.361,BORJ EL AMRI
3,2,154990,19-Feb,24,17,4815.882,3.0,1605.2939999999999,BORJ EL AMRI
2,6,154990,19-Aug,24,17,55981.584,36.0,1555.044,BORJ EL AMRI
3,6,154990,19-Mar,24,17,53576.28,36.0,1488.23,BORJ EL AMRI
2,2,154990,19-Sep,24,17,138505.337,83.0,1668.739,BORJ EL AMRI
2,6,154990,19-Nov,24,17,62201.76,40.0,1555.044,BORJ EL AMRI
3,3,154990,18-Feb,24,17,7956.636,6.0,1326.106,BORJ EL AMRI
1,2,154990,18-Mar,24,17,8708.064,6.0,1451.344,BORJ EL AMRI
1,1,154990,18-Apr,24,17,78691.13,70.0,1124.159,BORJ EL AMRI
3,3,154990,18-Sep,24,17,43204.867,29.0,1489.8229999999999,BORJ EL AMRI
3,1,154990,18-Sep,24,17,15082.836,12.0,1256.903,BORJ EL AMRI
2,1,154990,19-Jun,24,17,389290.312,292.0,1333.186,BORJ EL AMRI
2,6,154990,19-Jul,24,17,46682.302,30.0,1556.0767333333336,BORJ EL AMRI
3,3,154990,18-Mar,24,17,50392.028,38.0,1326.106,BORJ EL AMRI
1,3,154990,18-Feb,24,17,21217.696,16.0,1326.106,BORJ EL AMRI
2,1,154990,18-Jul,24,17,335729.742,282.0,1190.5310000000002,BORJ EL AMRI
2,1,154990,19-Jan,24,17,239764.21,191.0,1255.31,BORJ EL AMRI
3,3,154990,19-Jan,24,17,40182.21,27.0,1488.23,BORJ EL AMRI
2,2,154990,18-Aug,24,17,119841.722,77.0,1556.386,BORJ EL AMRI
1,3,154990,18-Aug,24,17,10057.082,7.0,1436.726,BORJ EL AMRI
2,2,154990,19-Jun,24,17,126983.84,76.0,1670.84,BORJ EL AMRI
2,2,154990,19-Oct,24,17,153523.988,92.0,1668.739,BORJ EL AMRI
2,6,154990,19-Oct,24,17,65311.848,42.0,1555.0439999999999,BORJ EL AMRI
2,1,154990,19-Mar,24,17,261104.48,208.0,1255.31,BORJ EL AMRI
3,1,154990,19-Jul,24,17,38598.217,29.0,1330.973,BORJ EL AMRI
3,3,154990,18-Jan,24,17,61000.876,46.0,1326.106,BORJ EL AMRI
2,1,154990,18-Nov,24,17,361988.064,288.0,1256.903,BORJ EL AMRI
1,2,154990,18-Aug,24,17,21789.404,14.0,1556.386,BORJ EL AMRI
3,3,154990,18-Jun,24,17,44448.676,32.0,1389.021125,BORJ EL AMRI
2,1,154990,19-May,24,17,359960.22,270.0,1333.186,BORJ EL AMRI
2,1,154990,19-Oct,24,17,427242.333,321.0,1330.973,BORJ EL AMRI
2,2,154990,18-Apr,24,17,104535.27,70.0,1493.361,BORJ EL AMRI
3,3,154990,18-Jul,24,17,60342.492,42.0,1436.7259999999999,BORJ EL AMRI
1,3,154990,18-Oct,24,17,8938.938,6.0,1489.823,BORJ EL AMRI
1,1,154990,19-Jan,24,17,17574.34,14.0,1255.31,BORJ EL AMRI
2,2,154990,19-Feb,24,17,118791.756,74.0,1605.2939999999999,BORJ EL AMRI
3,3,154990,19-Feb,24,17,50599.82,34.0,1488.23,BORJ EL AMRI
3,2,154990,19-Jun,24,17,26733.44,16.0,1670.84,BORJ EL AMRI
2,2,154990,19-Jul,24,17,146956.183,88.0,1669.9566249999998,BORJ EL AMRI
3,2,154990,19-Sep,24,17,20024.868,12.0,1668.7389999999998,BORJ EL AMRI
3,2,154990,19-Jul,24,17,18356.129,11.0,1668.739,BORJ EL AMRI
2,6,154990,19-Dec,24,17,69976.98,45.0,1555.0439999999999,BORJ EL AMRI
2,2,154990,18-Feb,24,17,76921.232,53.0,1451.344,BORJ EL AMRI
3,3,154990,18-Feb,24,17,13261.06,10.0,1326.106,BORJ EL AMRI
3,1,154990,18-Aug,24,17,27382.213,23.0,1190.531,BORJ EL AMRI
3,1,154990,18-Mar,24,17,4319.644,4.0,1079.911,BORJ EL AMRI
2,1,154990,19-Apr,24,17,378624.824,284.0,1333.1860000000001,BORJ EL AMRI
2,2,154990,18-May,24,17,113495.436,76.0,1493.361,BORJ EL AMRI
3,3,154990,18-Aug,24,17,44538.506,31.0,1436.726,BORJ EL AMRI
3,2,154990,18-Aug,24,17,24902.176,16.0,1556.386,BORJ EL AMRI
3,3,154990,18-Nov,24,17,40225.221,27.0,1489.8229999999999,BORJ EL AMRI
3,6,154990,19-Jun,24,17,21801.598,14.0,1557.257,BORJ EL AMRI
2,2,154990,18-Feb,24,17,33380.912,23.0,1451.3439999999998,BORJ EL AMRI
2,2,154990,18-Jan,24,17,132072.304,91.0,1451.344,BORJ EL AMRI
3,1,154990,18-Apr,24,17,6744.954,6.0,1124.1589999999999,BORJ EL AMRI
3,1,154990,19-Aug,24,17,22626.541,17.0,1330.973,BORJ EL AMRI
2,1,154990,18-Feb,24,17,185744.692,172.0,1079.911,BORJ EL AMRI
3,3,154990,18-Apr,24,17,54814.16,40.0,1370.354,BORJ EL AMRI
2,1,154990,18-Dec,24,17,337958.758,269.0,1256.3522602230482,BORJ EL AMRI
3,2,154990,19-Jan,24,17,8026.47,5.0,1605.294,BORJ EL AMRI
2,2,154990,18-Sep,24,17,136276.069,85.0,1603.2478705882352,BORJ EL AMRI
2,1,154990,18-Jun,24,17,368350.91,322.0,1143.9469254658384,BORJ EL AMRI
2,2,154990,18-Jun,24,17,142140.634,94.0,1512.134404255319,BORJ EL AMRI
3,1,154990,18-Dec,24,17,37707.09,30.0,1256.9029999999998,BORJ EL AMRI
2,1,154990,18-Jan,24,17,300215.258,278.0,1079.9109999999998,BORJ EL AMRI
