NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,2,153570,18-May,10,3,13440.249,9.0,1493.3609999999999,BOUARADA
1,2,153570,18-May,10,3,5973.444,4.0,1493.361,BOUARADA
3,3,153570,18-Aug,10,3,22987.616,16.0,1436.726,BOUARADA
3,2,153570,18-Sep,10,3,14461.263,9.0,1606.807,BOUARADA
2,2,153570,18-Oct,10,3,19281.684,12.0,1606.807,BOUARADA
3,3,153570,18-Oct,10,3,7449.115,5.0,1489.8229999999999,BOUARADA
2,2,153570,19-Nov,10,3,50062.17,30.0,1668.739,BOUARADA
2,1,153570,19-Dec,10,3,150399.949,113.0,1330.973,BOUARADA
2,2,153570,18-Apr,10,3,28373.859,19.0,1493.361,BOUARADA
3,3,153570,18-May,10,3,12333.186,9.0,1370.354,BOUARADA
2,2,153570,19-Feb,10,3,36921.762,23.0,1605.294,BOUARADA
2,2,153570,19-May,10,3,48454.36,29.0,1670.84,BOUARADA
2,2,153570,19-Aug,10,3,85105.689,51.0,1668.739,BOUARADA
1,1,153570,18-Apr,10,3,24731.498,22.0,1124.1589999999999,BOUARADA
2,2,153570,18-Jul,10,3,48247.966,31.0,1556.386,BOUARADA
3,2,153570,18-Aug,10,3,17120.246,11.0,1556.386,BOUARADA
1,3,153570,18-Oct,10,3,13408.407,9.0,1489.8229999999999,BOUARADA
2,3,153570,19-May,10,3,20244.341,13.0,1557.257,BOUARADA
2,2,153570,19-Jul,10,3,48424.946,29.0,1669.825724137931,BOUARADA
2,6,153570,19-Jul,10,3,10894.16,7.0,1556.3085714285714,BOUARADA
1,1,153570,18-May,10,3,17986.544,16.0,1124.159,BOUARADA
3,3,153570,18-Jul,10,3,8620.356,6.0,1436.7259999999999,BOUARADA
2,1,153570,18-Sep,10,3,133824.901,107.0,1250.7000093457946,BOUARADA
3,3,153570,18-Sep,10,3,10428.761,7.0,1489.823,BOUARADA
2,6,153570,19-Aug,10,3,24880.704,16.0,1555.044,BOUARADA
2,1,153570,18-Feb,10,3,103671.456,96.0,1079.911,BOUARADA
2,1,153570,18-Mar,10,3,120950.032,112.0,1079.911,BOUARADA
3,3,153570,18-Apr,10,3,12333.186,9.0,1370.354,BOUARADA
3,1,153570,18-May,10,3,25855.657,23.0,1124.1589999999999,BOUARADA
2,2,153570,18-Jun,10,3,50100.238,33.0,1518.1890303030302,BOUARADA
3,3,153570,18-Nov,10,3,11918.584,8.0,1489.823,BOUARADA
3,1,153570,18-Nov,10,3,7541.418,6.0,1256.903,BOUARADA
1,2,153570,19-Jan,10,3,6421.176,4.0,1605.294,BOUARADA
2,1,153570,19-May,10,3,169314.622,127.0,1333.186,BOUARADA
1,2,153570,19-Sep,10,3,10012.434,6.0,1668.7389999999998,BOUARADA
2,1,153570,19-Jun,10,3,213309.76,160.0,1333.1860000000001,BOUARADA
2,1,153570,19-Mar,10,3,133062.86,106.0,1255.31,BOUARADA
2,1,153570,18-Feb,10,3,59395.105,55.0,1079.911,BOUARADA
2,2,153570,18-Jan,10,3,29026.88,20.0,1451.344,BOUARADA
2,2,153570,18-Mar,10,3,30478.224,21.0,1451.3439999999998,BOUARADA
3,1,153570,18-Mar,10,3,6479.466,6.0,1079.911,BOUARADA
1,2,153570,18-Apr,10,3,11946.888,8.0,1493.361,BOUARADA
2,1,153570,18-Nov,10,3,158369.778,126.0,1256.903,BOUARADA
2,1,153570,19-Apr,10,3,150650.018,113.0,1333.1860000000001,BOUARADA
3,6,153570,19-Mar,10,3,5952.92,4.0,1488.23,BOUARADA
1,2,153570,19-Mar,10,3,12842.352,8.0,1605.294,BOUARADA
3,2,153570,19-Jul,10,3,8343.695,5.0,1668.739,BOUARADA
2,2,153570,19-Jan,10,3,24079.41,15.0,1605.294,BOUARADA
2,2,153570,18-Sep,10,3,32136.14,20.0,1606.807,BOUARADA
3,1,153570,18-Sep,10,3,42734.702,34.0,1256.903,BOUARADA
3,1,153570,18-Dec,10,3,16339.739,13.0,1256.903,BOUARADA
3,3,153570,18-Dec,10,3,17871.504,12.0,1489.2920000000001,BOUARADA
2,2,153570,19-Dec,10,3,61743.343,37.0,1668.739,BOUARADA
2,1,153570,18-Jan,10,3,213822.378,198.0,1079.911,BOUARADA
2,2,153570,18-Nov,10,3,43383.789,27.0,1606.8069999999998,BOUARADA
2,2,153570,18-May,10,3,17920.332,12.0,1493.3609999999999,BOUARADA
1,2,153570,18-Aug,10,3,10894.702,7.0,1556.386,BOUARADA
1,3,153570,18-Dec,10,3,5959.292,4.0,1489.823,BOUARADA
3,3,153570,19-Feb,10,3,16370.53,11.0,1488.23,BOUARADA
2,2,153570,18-Feb,10,3,13062.096,9.0,1451.344,BOUARADA
3,3,153570,18-Feb,10,3,5304.424,4.0,1326.106,BOUARADA
1,3,153570,18-Feb,10,3,5304.424,4.0,1326.106,BOUARADA
2,2,153570,18-Aug,10,3,26458.562,17.0,1556.3860000000002,BOUARADA
2,3,153570,19-Apr,10,3,18687.084,12.0,1557.2569999999998,BOUARADA
2,6,153570,19-Nov,10,3,12440.352,8.0,1555.044,BOUARADA
