NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,3,155430,18-Feb,4,30,13261.06,10.0,1326.106,BOUARGOUB
3,1,155430,18-Mar,4,30,7559.377,7.0,1079.911,BOUARGOUB
2,2,155430,19-Apr,4,30,140350.56,84.0,1670.84,BOUARGOUB
2,2,155430,19-Feb,4,30,118791.756,74.0,1605.2939999999999,BOUARGOUB
2,3,155430,19-Apr,4,30,51389.481,33.0,1557.257,BOUARGOUB
2,1,155430,18-Nov,4,30,340620.713,271.0,1256.903,BOUARGOUB
2,1,155430,18-May,4,30,393455.65,350.0,1124.159,BOUARGOUB
2,1,155430,18-Jul,4,30,400018.416,336.0,1190.5310000000002,BOUARGOUB
3,3,155430,18-Sep,4,30,54592.481,37.0,1475.4724594594595,BOUARGOUB
1,1,155430,18-Oct,4,30,292858.399,233.0,1256.9029999999998,BOUARGOUB
2,1,155430,18-Oct,4,30,201104.48,160.0,1256.903,BOUARGOUB
3,3,155430,18-Oct,4,30,50653.982,34.0,1489.823,BOUARGOUB
1,1,155430,19-Feb,4,30,7531.86,6.0,1255.31,BOUARGOUB
2,2,155430,19-Aug,4,30,143511.554,86.0,1668.739,BOUARGOUB
1,2,155430,19-Aug,4,30,13349.912,8.0,1668.739,BOUARGOUB
2,1,155430,18-Jan,4,30,361770.185,335.0,1079.911,BOUARGOUB
1,3,155430,18-Feb,4,30,23869.908,18.0,1326.106,BOUARGOUB
3,3,155430,18-Dec,4,30,47661.592,32.0,1489.42475,BOUARGOUB
1,1,155430,18-Dec,4,30,27651.866,22.0,1256.903,BOUARGOUB
2,1,155430,19-Jan,4,30,166956.23,133.0,1255.3100000000002,BOUARGOUB
2,2,155430,18-Aug,4,30,93383.16,60.0,1556.386,BOUARGOUB
1,2,155430,18-Sep,4,30,51417.824,32.0,1606.807,BOUARGOUB
3,1,155430,18-Oct,4,30,16339.739,13.0,1256.903,BOUARGOUB
2,1,155430,19-May,4,30,205310.644,154.0,1333.186,BOUARGOUB
3,1,155430,19-May,4,30,25330.534,19.0,1333.186,BOUARGOUB
2,1,155430,19-Dec,4,30,262201.681,197.0,1330.973,BOUARGOUB
2,2,155430,18-Jan,4,30,103045.424,71.0,1451.344,BOUARGOUB
