NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,155470,18-May,17,16,5973.444,4.0,1493.361,BOUJARBOU
1,1,155470,19-Feb,17,16,47701.78,38.0,1255.31,BOUJARBOU
1,1,155470,19-Mar,17,16,56488.95,45.0,1255.31,BOUJARBOU
1,1,155470,19-Jun,17,16,18664.604,14.0,1333.186,BOUJARBOU
1,2,155470,19-Jun,17,16,8354.2,5.0,1670.8400000000001,BOUJARBOU
1,1,155470,19-Aug,17,16,33274.325,25.0,1330.973,BOUJARBOU
1,2,155470,19-Jul,17,16,15027.055,9.0,1669.6727777777778,BOUJARBOU
2,1,155470,18-Dec,17,16,10055.224,8.0,1256.903,BOUJARBOU
3,2,155470,18-Aug,17,16,3112.772,2.0,1556.386,BOUJARBOU
1,2,155470,19-Feb,17,16,8026.47,5.0,1605.294,BOUJARBOU
1,2,155470,19-Sep,17,16,11681.173,7.0,1668.739,BOUJARBOU
1,1,155470,19-Dec,17,16,47915.028,36.0,1330.973,BOUJARBOU
1,1,155470,18-Feb,17,16,47516.084,44.0,1079.911,BOUJARBOU
1,1,155470,18-Nov,17,16,36450.187,29.0,1256.903,BOUJARBOU
1,1,155470,19-Sep,17,16,37267.244,28.0,1330.973,BOUJARBOU
1,6,155470,19-Aug,17,16,3110.088,2.0,1555.044,BOUJARBOU
1,2,155470,18-Apr,17,16,8960.166,6.0,1493.3609999999999,BOUJARBOU
1,1,155470,18-May,17,16,56207.95,50.0,1124.1589999999999,BOUJARBOU
1,2,155470,18-Nov,17,16,3213.614,2.0,1606.807,BOUJARBOU
1,1,155470,19-Apr,17,16,45328.324,34.0,1333.186,BOUJARBOU
2,1,155470,19-Jan,17,16,8787.17,7.0,1255.31,BOUJARBOU
1,1,155470,18-Sep,17,16,46505.411,37.0,1256.903,BOUJARBOU
1,2,155470,18-Sep,17,16,6427.228,4.0,1606.807,BOUJARBOU
1,1,155470,19-Jul,17,16,39953.533,30.0,1331.7844333333335,BOUJARBOU
1,1,155470,18-Mar,17,16,63714.749,59.0,1079.911,BOUJARBOU
1,1,155470,18-Jul,17,16,58336.019,49.0,1190.531,BOUJARBOU
1,2,155470,18-Jul,17,16,12451.088,8.0,1556.386,BOUJARBOU
1,6,155470,19-Sep,17,16,3110.088,2.0,1555.044,BOUJARBOU
1,6,155470,19-Oct,17,16,0.0,0.0,,BOUJARBOU
1,2,155470,19-Dec,17,16,6674.956,4.0,1668.739,BOUJARBOU
1,2,155470,18-Feb,17,16,8708.064,6.0,1451.344,BOUJARBOU
1,1,155470,19-May,17,16,37329.208,28.0,1333.186,BOUJARBOU
1,1,155470,19-Oct,17,16,33274.325,25.0,1330.973,BOUJARBOU
1,1,155470,18-Aug,17,16,16667.434,14.0,1190.5310000000002,BOUJARBOU
1,2,155470,18-Aug,17,16,15563.86,10.0,1556.386,BOUJARBOU
1,1,155470,19-Jan,17,16,25106.2,20.0,1255.31,BOUJARBOU
1,2,155470,19-Jan,17,16,9631.764,6.0,1605.2939999999999,BOUJARBOU
1,6,155470,19-Jun,17,16,3114.514,2.0,1557.257,BOUJARBOU
1,2,155470,19-Oct,17,16,10012.434,6.0,1668.7389999999998,BOUJARBOU
1,1,155470,18-Dec,17,16,23873.192,19.0,1256.483789473684,BOUJARBOU
1,2,155470,19-Apr,17,16,13366.72,8.0,1670.84,BOUJARBOU
1,6,155470,19-Nov,17,16,3110.088,2.0,1555.044,BOUJARBOU
1,1,155470,18-Jun,17,16,45961.94,40.0,1149.0485,BOUJARBOU
1,3,155470,18-Dec,17,16,2979.646,2.0,1489.823,BOUJARBOU
1,2,155470,18-Dec,17,16,11244.623,7.0,1606.3747142857142,BOUJARBOU
1,2,155470,19-Mar,17,16,9631.764,6.0,1605.2939999999999,BOUJARBOU
1,2,155470,18-Oct,17,16,9640.842,6.0,1606.807,BOUJARBOU
1,2,155470,19-Nov,17,16,13349.912,8.0,1668.739,BOUJARBOU
1,1,155470,19-Nov,17,16,26619.46,20.0,1330.973,BOUJARBOU
2,1,155470,19-Jun,17,16,18664.604,14.0,1333.186,BOUJARBOU
1,1,155470,18-Jan,17,16,59395.105,55.0,1079.911,BOUJARBOU
1,2,155470,18-Mar,17,16,5805.376,4.0,1451.344,BOUJARBOU
1,3,155470,19-Feb,17,16,2976.46,2.0,1488.23,BOUJARBOU
1,2,155470,19-May,17,16,6683.36,4.0,1670.84,BOUJARBOU
1,2,155470,18-Jan,17,16,5805.376,4.0,1451.344,BOUJARBOU
1,1,155470,18-Apr,17,16,60704.586,54.0,1124.159,BOUJARBOU
3,1,155470,18-Aug,17,16,4762.124,4.0,1190.531,BOUJARBOU
1,2,155470,18-Jun,17,16,6099.494,4.0,1524.8735,BOUJARBOU
1,1,155470,18-Oct,17,16,40220.896,32.0,1256.903,BOUJARBOU
1,6,155470,19-Mar,17,16,2976.46,2.0,1488.23,BOUJARBOU
1,2,155470,19-Aug,17,16,13349.912,8.0,1668.739,BOUJARBOU
