NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,154160,19-Jan,3,22,25106.2,20.0,1255.31,BOUMHEL
2,2,154160,18-Aug,3,22,178984.39,115.0,1556.3860000000002,BOUMHEL
3,3,154160,18-Dec,3,22,41697.521,28.0,1489.1971785714286,BOUMHEL
1,2,154160,19-Sep,3,22,68418.299,41.0,1668.739,BOUMHEL
2,1,154160,19-Apr,3,22,163981.878,123.0,1333.186,BOUMHEL
2,2,154160,19-Aug,3,22,277010.674,166.0,1668.739,BOUMHEL
1,3,154160,18-Feb,3,22,35804.862,27.0,1326.106,BOUMHEL
2,2,154160,18-Mar,3,22,226409.664,156.0,1451.3439999999998,BOUMHEL
2,2,154160,18-Jul,3,22,267698.392,172.0,1556.386,BOUMHEL
1,3,154160,19-Jan,3,22,8929.38,6.0,1488.2299999999998,BOUMHEL
3,2,154160,19-Aug,3,22,26699.824,16.0,1668.739,BOUMHEL
2,1,154160,18-Dec,3,22,141983.842,113.0,1256.4941769911504,BOUMHEL
2,1,154160,18-Nov,3,22,125690.3,100.0,1256.903,BOUMHEL
2,1,154160,19-Feb,3,22,149381.89,119.0,1255.3100000000002,BOUMHEL
2,1,154160,19-Jun,3,22,139984.53,105.0,1333.186,BOUMHEL
2,1,154160,19-Mar,3,22,74063.29,59.0,1255.31,BOUMHEL
3,3,154160,18-Feb,3,22,7956.636,6.0,1326.106,BOUMHEL
1,3,154160,18-Aug,3,22,14367.26,10.0,1436.726,BOUMHEL
2,1,154160,19-Oct,3,22,150399.949,113.0,1330.973,BOUMHEL
2,6,154160,19-Jul,3,22,85584.958,55.0,1556.0901454545453,BOUMHEL
3,1,154160,19-Aug,3,22,7985.838,6.0,1330.973,BOUMHEL
3,3,154160,18-May,3,22,42480.974,31.0,1370.354,BOUMHEL
1,1,154160,18-Apr,3,22,29228.134,26.0,1124.1589999999999,BOUMHEL
3,3,154160,18-Nov,3,22,67042.035,45.0,1489.823,BOUMHEL
2,1,154160,18-Sep,3,22,121189.499,97.0,1249.3762783505153,BOUMHEL
1,2,154160,19-Feb,3,22,40132.35,25.0,1605.2939999999999,BOUMHEL
2,2,154160,19-Apr,3,22,285713.64,171.0,1670.8400000000001,BOUMHEL
2,6,154160,19-Dec,3,22,77752.2,50.0,1555.0439999999999,BOUMHEL
3,3,154160,18-Mar,3,22,59674.77,45.0,1326.106,BOUMHEL
3,3,154160,18-Apr,3,22,60295.576,44.0,1370.354,BOUMHEL
2,2,154160,18-May,3,22,225497.511,151.0,1493.361,BOUMHEL
2,1,154160,18-Jul,3,22,119053.1,100.0,1190.531,BOUMHEL
3,3,154160,18-Jul,3,22,51722.136,36.0,1436.7259999999999,BOUMHEL
3,3,154160,18-Jun,3,22,39100.004,28.0,1396.4287142857142,BOUMHEL
3,3,154160,19-Jan,3,22,41670.44,28.0,1488.23,BOUMHEL
2,2,154160,18-Apr,3,22,216537.345,145.0,1493.361,BOUMHEL
1,1,154160,18-Dec,3,22,8798.321,7.0,1256.903,BOUMHEL
1,2,154160,18-Aug,3,22,80932.072,52.0,1556.386,BOUMHEL
2,2,154160,19-Oct,3,22,303710.498,182.0,1668.739,BOUMHEL
2,1,154160,19-Aug,3,22,119787.57,90.0,1330.9730000000002,BOUMHEL
3,2,154160,18-Jan,3,22,7256.72,5.0,1451.344,BOUMHEL
1,2,154160,18-Dec,3,22,40170.175,25.0,1606.807,BOUMHEL
2,1,154160,18-Aug,3,22,101195.135,85.0,1190.531,BOUMHEL
2,1,154160,18-Oct,3,22,134488.621,107.0,1256.903,BOUMHEL
2,2,154160,19-Jun,3,22,274017.76,164.0,1670.8400000000001,BOUMHEL
2,6,154160,19-Sep,3,22,77752.2,50.0,1555.0439999999999,BOUMHEL
2,1,154160,19-Nov,3,22,158385.787,119.0,1330.9730000000002,BOUMHEL
2,6,154160,19-Nov,3,22,82417.332,53.0,1555.0439999999999,BOUMHEL
2,2,154160,18-Feb,3,22,68213.168,47.0,1451.344,BOUMHEL
2,1,154160,18-Jun,3,22,124590.863,109.0,1143.0354403669724,BOUMHEL
2,2,154160,19-Feb,3,22,208688.22,130.0,1605.294,BOUMHEL
3,1,154160,18-Nov,3,22,6284.515,5.0,1256.903,BOUMHEL
2,3,154160,19-Apr,3,22,82534.621,53.0,1557.257,BOUMHEL
2,6,154160,19-Oct,3,22,79307.244,51.0,1555.044,BOUMHEL
2,2,154160,19-Jul,3,22,322280.929,193.0,1669.8493730569949,BOUMHEL
2,6,154160,19-Aug,3,22,83972.376,54.0,1555.044,BOUMHEL
2,1,154160,18-May,3,22,122533.331,109.0,1124.159,BOUMHEL
1,2,154160,19-Jan,3,22,91501.758,57.0,1605.294,BOUMHEL
2,1,154160,19-Jan,3,22,110467.28,88.0,1255.31,BOUMHEL
2,2,154160,19-Jan,3,22,154108.224,96.0,1605.2939999999999,BOUMHEL
3,3,154160,19-Feb,3,22,31252.83,21.0,1488.23,BOUMHEL
3,6,154160,19-Mar,3,22,43158.67,29.0,1488.23,BOUMHEL
2,1,154160,18-Mar,3,22,115550.477,107.0,1079.911,BOUMHEL
2,2,154160,19-Mar,3,22,138055.284,86.0,1605.294,BOUMHEL
2,1,154160,19-Dec,3,22,158385.787,119.0,1330.9730000000002,BOUMHEL
2,2,154160,18-Jan,3,22,233666.384,161.0,1451.344,BOUMHEL
2,3,154160,19-May,3,22,65404.794,42.0,1557.257,BOUMHEL
2,1,154160,19-Jul,3,22,178500.866,134.0,1332.0960149253733,BOUMHEL
2,1,154160,18-Feb,3,22,71274.126,66.0,1079.911,BOUMHEL
2,2,154160,18-Dec,3,22,239353.723,149.0,1606.4008255033557,BOUMHEL
3,3,154160,18-Oct,3,22,46184.513,31.0,1489.8229999999999,BOUMHEL
3,2,154160,19-Feb,3,22,9631.764,6.0,1605.2939999999999,BOUMHEL
2,1,154160,18-Jan,3,22,93952.257,87.0,1079.911,BOUMHEL
2,2,154160,18-Nov,3,22,237807.436,148.0,1606.807,BOUMHEL
2,2,154160,18-Sep,3,22,245337.261,153.0,1603.5115098039216,BOUMHEL
2,2,154160,18-Oct,3,22,266729.962,166.0,1606.807,BOUMHEL
1,3,154160,18-Oct,3,22,22347.345,15.0,1489.823,BOUMHEL
3,1,154160,18-Oct,3,22,13825.933,11.0,1256.903,BOUMHEL
2,1,154160,19-May,3,22,155982.762,117.0,1333.186,BOUMHEL
2,2,154160,19-Dec,3,22,305379.237,183.0,1668.739,BOUMHEL
2,1,154160,18-Feb,3,22,31317.419,29.0,1079.911,BOUMHEL
3,3,154160,18-Feb,3,22,18565.484,14.0,1326.106,BOUMHEL
2,2,154160,18-Feb,3,22,155293.808,107.0,1451.3439999999998,BOUMHEL
2,2,154160,19-May,3,22,355888.92,213.0,1670.84,BOUMHEL
2,1,154160,19-Sep,3,22,145076.057,109.0,1330.973,BOUMHEL
2,2,154160,19-Sep,3,22,223611.026,134.0,1668.739,BOUMHEL
2,2,154160,19-Nov,3,22,320397.888,192.0,1668.7389999999998,BOUMHEL
3,3,154160,18-Jan,3,22,43761.498,33.0,1326.106,BOUMHEL
2,1,154160,18-Apr,3,22,107919.264,96.0,1124.1589999999999,BOUMHEL
3,3,154160,18-Aug,3,22,54595.588,38.0,1436.726,BOUMHEL
2,2,154160,18-Jun,3,22,189443.225,125.0,1515.5458,BOUMHEL
3,3,154160,18-Sep,3,22,61082.743,41.0,1489.823,BOUMHEL
1,2,154160,18-Jun,3,22,4480.083,3.0,1493.3609999999999,BOUMHEL
1,1,154160,18-Jun,3,22,28103.975,25.0,1124.1589999999999,BOUMHEL
2,6,154160,19-Jun,3,22,65404.794,42.0,1557.257,BOUMHEL
1,1,154160,19-May,3,22,6665.93,5.0,1333.1860000000001,BOUMHEL
1,1,154160,19-Mar,3,22,40169.92,32.0,1255.31,BOUMHEL
1,2,154160,19-Mar,3,22,115581.168,72.0,1605.294,BOUMHEL
2,6,154160,19-Mar,3,22,5952.92,4.0,1488.23,BOUMHEL
