NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,1,155210,18-Jul,8,22,627409.837,527.0,1190.5310000000002,BOU SALEM
1,3,155210,18-Oct,8,22,28306.637,19.0,1489.8229999999999,BOU SALEM
2,1,155210,19-Sep,8,22,460516.658,346.0,1330.973,BOU SALEM
2,1,155210,18-Feb,8,22,151187.54,140.0,1079.911,BOU SALEM
3,3,155210,19-Jan,8,22,92270.26,62.0,1488.23,BOU SALEM
2,1,155210,19-Jan,8,22,340189.01,271.0,1255.31,BOU SALEM
3,2,155210,19-Jan,8,22,14447.646,9.0,1605.294,BOU SALEM
3,1,155210,18-Oct,8,22,20110.448,16.0,1256.903,BOU SALEM
2,3,155210,19-May,8,22,62290.28,40.0,1557.257,BOU SALEM
3,2,155210,19-May,8,22,8354.2,5.0,1670.8400000000001,BOU SALEM
2,6,155210,19-Jul,8,22,126040.445,81.0,1556.05487654321,BOU SALEM
2,6,155210,19-Dec,8,22,108853.08,70.0,1555.044,BOU SALEM
2,2,155210,18-Feb,8,22,81275.264,56.0,1451.3439999999998,BOU SALEM
1,2,155210,19-Mar,8,22,27289.998,17.0,1605.2939999999999,BOU SALEM
2,2,155210,19-Jul,8,22,197026.757,118.0,1669.718279661017,BOU SALEM
3,3,155210,18-Feb,8,22,23869.908,18.0,1326.106,BOU SALEM
3,2,155210,18-Jan,8,22,5805.376,4.0,1451.344,BOU SALEM
2,1,155210,18-May,8,22,390083.173,347.0,1124.159,BOU SALEM
2,2,155210,19-Jan,8,22,126818.226,79.0,1605.2939999999999,BOU SALEM
3,3,155210,18-Aug,8,22,126431.888,88.0,1436.726,BOU SALEM
2,1,155210,18-Oct,8,22,507788.812,404.0,1256.903,BOU SALEM
3,3,155210,19-Feb,8,22,89293.8,60.0,1488.23,BOU SALEM
2,3,155210,19-Apr,8,22,96549.934,62.0,1557.2569999999998,BOU SALEM
2,6,155210,19-Sep,8,22,124403.52,80.0,1555.044,BOU SALEM
2,2,155210,19-Sep,8,22,170211.378,102.0,1668.739,BOU SALEM
2,6,155210,19-Nov,8,22,102632.904,66.0,1555.0439999999999,BOU SALEM
3,1,155210,18-Jan,8,22,17278.576,16.0,1079.911,BOU SALEM
3,3,155210,18-Apr,8,22,82221.24,60.0,1370.354,BOU SALEM
2,1,155210,18-Dec,8,22,433469.049,345.0,1256.4320260869565,BOU SALEM
2,1,155210,18-Aug,8,22,554787.446,466.0,1190.531,BOU SALEM
3,2,155210,18-Dec,8,22,19272.606,12.0,1606.0505,BOU SALEM
2,1,155210,19-Oct,8,22,487136.118,366.0,1330.973,BOU SALEM
2,1,155210,19-Aug,8,22,537713.092,404.0,1330.973,BOU SALEM
2,2,155210,18-Mar,8,22,134974.992,93.0,1451.344,BOU SALEM
1,2,155210,18-Apr,8,22,8960.166,6.0,1493.3609999999999,BOU SALEM
3,3,155210,18-Dec,8,22,104254.157,70.0,1489.3451,BOU SALEM
3,3,155210,18-Jul,8,22,110627.902,77.0,1436.726,BOU SALEM
2,1,155210,18-Nov,8,22,486421.461,387.0,1256.903,BOU SALEM
2,2,155210,18-Sep,8,22,169918.174,106.0,1603.001641509434,BOU SALEM
2,2,155210,18-Jun,8,22,159871.891,106.0,1508.2253867924528,BOU SALEM
2,2,155210,18-Nov,8,22,146219.437,91.0,1606.807,BOU SALEM
3,3,155210,18-Jun,8,22,101496.026,73.0,1390.3565205479451,BOU SALEM
1,2,155210,18-Aug,8,22,12451.088,8.0,1556.386,BOU SALEM
3,3,155210,18-Nov,8,22,87899.557,59.0,1489.823,BOU SALEM
2,2,155210,19-Apr,8,22,158729.8,95.0,1670.84,BOU SALEM
2,2,155210,19-Jun,8,22,168754.84,101.0,1670.84,BOU SALEM
2,1,155210,19-May,8,22,369292.522,277.0,1333.186,BOU SALEM
2,6,155210,19-May,8,22,10900.799,7.0,1557.257,BOU SALEM
2,6,155210,19-Aug,8,22,155504.4,100.0,1555.0439999999999,BOU SALEM
2,1,155210,19-Jul,8,22,591432.233,444.0,1332.0545788288289,BOU SALEM
2,2,155210,19-Nov,8,22,161867.683,97.0,1668.7389999999998,BOU SALEM
2,2,155210,19-Dec,8,22,178555.073,107.0,1668.739,BOU SALEM
1,1,155210,18-Apr,8,22,15738.226,14.0,1124.159,BOU SALEM
3,2,155210,19-Feb,8,22,24079.41,15.0,1605.294,BOU SALEM
1,1,155210,19-Mar,8,22,5021.24,4.0,1255.31,BOU SALEM
2,2,155210,18-Feb,8,22,49345.696,34.0,1451.344,BOU SALEM
1,2,155210,18-Mar,8,22,8708.064,6.0,1451.344,BOU SALEM
2,1,155210,18-Apr,8,22,437297.851,389.0,1124.159,BOU SALEM
2,2,155210,18-Apr,8,22,147842.739,99.0,1493.361,BOU SALEM
3,1,155210,18-May,8,22,10117.431,9.0,1124.159,BOU SALEM
2,1,155210,18-Sep,8,22,539074.478,430.0,1253.661576744186,BOU SALEM
3,2,155210,18-Jun,8,22,13629.324,9.0,1514.3693333333333,BOU SALEM
3,1,155210,18-Jun,8,22,53038.754,46.0,1153.0163913043477,BOU SALEM
2,6,155210,19-Jun,8,22,101221.705,65.0,1557.257,BOU SALEM
3,2,155210,19-Sep,8,22,13349.912,8.0,1668.739,BOU SALEM
1,1,155210,18-Mar,8,22,28077.686,26.0,1079.911,BOU SALEM
3,3,155210,18-May,8,22,90443.364,66.0,1370.354,BOU SALEM
1,3,155210,18-Aug,8,22,7183.63,5.0,1436.726,BOU SALEM
2,6,155210,19-Oct,8,22,96412.728,62.0,1555.044,BOU SALEM
3,3,155210,18-Feb,8,22,9282.742,7.0,1326.106,BOU SALEM
3,2,155210,18-Mar,8,22,7256.72,5.0,1451.344,BOU SALEM
2,2,155210,18-May,8,22,138882.573,93.0,1493.361,BOU SALEM
3,2,155210,18-Aug,8,22,63811.826,41.0,1556.386,BOU SALEM
2,2,155210,18-Oct,8,22,143005.823,89.0,1606.807,BOU SALEM
3,1,155210,18-Nov,8,22,21367.351,17.0,1256.903,BOU SALEM
3,1,155210,19-Jan,8,22,26361.51,21.0,1255.31,BOU SALEM
2,2,155210,18-Jan,8,22,148037.088,102.0,1451.3439999999998,BOU SALEM
2,2,155210,19-Feb,8,22,117186.462,73.0,1605.294,BOU SALEM
2,2,155210,19-May,8,22,125313.0,75.0,1670.84,BOU SALEM
3,6,155210,19-Mar,8,22,83340.88,56.0,1488.23,BOU SALEM
3,3,155210,18-Jan,8,22,86196.89,65.0,1326.106,BOU SALEM
2,1,155210,18-Jan,8,22,464361.73,430.0,1079.911,BOU SALEM
3,1,155210,18-Mar,8,22,37796.885,35.0,1079.911,BOU SALEM
2,2,155210,18-Dec,8,22,146171.021,91.0,1606.274956043956,BOU SALEM
2,2,155210,18-Jul,8,22,174315.232,112.0,1556.386,BOU SALEM
2,2,155210,18-Aug,8,22,126067.266,81.0,1556.386,BOU SALEM
2,1,155210,19-Feb,8,22,294997.85,235.0,1255.31,BOU SALEM
2,1,155210,19-Mar,8,22,346465.56,276.0,1255.31,BOU SALEM
1,6,155210,19-Mar,8,22,5952.92,4.0,1488.23,BOU SALEM
2,1,155210,19-Dec,8,22,461847.631,347.0,1330.973,BOU SALEM
3,3,155210,18-Oct,8,22,67042.035,45.0,1489.823,BOU SALEM
1,1,155210,18-Aug,8,22,21429.558,18.0,1190.531,BOU SALEM
3,2,155210,18-Nov,8,22,6427.228,4.0,1606.807,BOU SALEM
