NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,153650,18-Jan,2,94,208993.536,144.0,1451.344,C.B.Ammar
2,1,153650,18-May,2,94,242818.344,216.0,1124.159,C.B.Ammar
1,1,153650,18-May,2,94,13489.908,12.0,1124.1589999999999,C.B.Ammar
2,1,153650,18-Dec,2,94,307793.086,245.0,1256.2983102040816,C.B.Ammar
2,1,153650,18-Jun,2,94,256063.589,223.0,1148.2672152466369,C.B.Ammar
3,6,153650,19-Apr,2,94,17129.827,11.0,1557.257,C.B.Ammar
3,6,153650,19-Oct,2,94,7775.22,5.0,1555.044,C.B.Ammar
2,2,153650,18-Feb,2,94,145134.4,100.0,1451.344,C.B.Ammar
1,1,153650,18-Jun,2,94,34848.929,31.0,1124.1589999999999,C.B.Ammar
3,1,153650,19-May,2,94,53327.44,40.0,1333.1860000000001,C.B.Ammar
2,2,153650,19-Sep,2,94,220273.548,132.0,1668.739,C.B.Ammar
3,1,153650,19-Jul,2,94,5323.892,4.0,1330.973,C.B.Ammar
2,6,153650,19-Sep,2,94,87082.464,56.0,1555.044,C.B.Ammar
2,2,153650,19-Dec,2,94,261992.023,157.0,1668.7389999999998,C.B.Ammar
3,3,153650,18-Sep,2,94,91891.153,62.0,1482.1153709677421,C.B.Ammar
2,1,153650,19-Feb,2,94,271146.96,216.0,1255.3100000000002,C.B.Ammar
3,1,153650,18-Aug,2,94,25001.151,21.0,1190.5310000000002,C.B.Ammar
3,3,153650,18-Nov,2,94,74491.15,50.0,1489.8229999999999,C.B.Ammar
3,1,153650,18-Dec,2,94,5027.612,4.0,1256.903,C.B.Ammar
2,6,153650,19-Jun,2,94,99664.448,64.0,1557.257,C.B.Ammar
1,2,153650,19-Mar,2,94,85080.582,53.0,1605.2939999999999,C.B.Ammar
2,6,153650,19-Nov,2,94,55981.584,36.0,1555.044,C.B.Ammar
3,3,153650,18-Jan,2,94,78240.254,59.0,1326.106,C.B.Ammar
2,1,153650,18-Mar,2,94,254858.996,236.0,1079.911,C.B.Ammar
1,1,153650,18-Mar,2,94,21598.22,20.0,1079.911,C.B.Ammar
1,2,153650,19-Jan,2,94,52974.702,33.0,1605.2939999999999,C.B.Ammar
2,2,153650,18-Oct,2,94,234593.822,146.0,1606.8069999999998,C.B.Ammar
2,1,153650,19-Jun,2,94,291967.734,219.0,1333.186,C.B.Ammar
2,1,153650,19-May,2,94,247972.596,186.0,1333.186,C.B.Ammar
2,1,153650,19-Mar,2,94,200849.6,160.0,1255.31,C.B.Ammar
2,2,153650,19-Aug,2,94,263660.762,158.0,1668.739,C.B.Ammar
3,1,153650,19-Jun,2,94,21330.976,16.0,1333.186,C.B.Ammar
2,2,153650,18-Jun,2,94,250986.151,166.0,1511.964765060241,C.B.Ammar
3,2,153650,18-Oct,2,94,19281.684,12.0,1606.807,C.B.Ammar
3,2,153650,18-Nov,2,94,11247.649,7.0,1606.807,C.B.Ammar
1,3,153650,19-Jan,2,94,14882.3,10.0,1488.23,C.B.Ammar
2,1,153650,19-Aug,2,94,254215.843,191.0,1330.973,C.B.Ammar
2,2,153650,18-Mar,2,94,249631.168,172.0,1451.344,C.B.Ammar
3,2,153650,18-Jan,2,94,21770.16,15.0,1451.344,C.B.Ammar
1,3,153650,18-Feb,2,94,41109.286,31.0,1326.106,C.B.Ammar
2,2,153650,18-May,2,94,253871.37,170.0,1493.3609999999999,C.B.Ammar
3,3,153650,18-Aug,2,94,103444.272,72.0,1436.7259999999999,C.B.Ammar
2,1,153650,18-Oct,2,94,262692.727,209.0,1256.903,C.B.Ammar
3,1,153650,18-Oct,2,94,33936.381,27.0,1256.903,C.B.Ammar
1,3,153650,18-Oct,2,94,14898.23,10.0,1489.8229999999999,C.B.Ammar
2,2,153650,19-Apr,2,94,269005.24,161.0,1670.84,C.B.Ammar
3,6,153650,19-Mar,2,94,90782.03,61.0,1488.23,C.B.Ammar
1,1,153650,19-Mar,2,94,67786.74,54.0,1255.3100000000002,C.B.Ammar
2,6,153650,19-May,2,94,9343.542,6.0,1557.2569999999998,C.B.Ammar
2,1,153650,19-Jul,2,94,295699.519,222.0,1331.9798153153151,C.B.Ammar
2,6,153650,19-Oct,2,94,87082.464,56.0,1555.044,C.B.Ammar
3,2,153650,19-Jul,2,94,11681.173,7.0,1668.739,C.B.Ammar
3,3,153650,18-Mar,2,94,92827.42,70.0,1326.106,C.B.Ammar
2,2,153650,18-Dec,2,94,215242.54,134.0,1606.2876119402986,C.B.Ammar
3,3,153650,18-Dec,2,94,83398.228,56.0,1489.2540714285715,C.B.Ammar
3,3,153650,18-Jul,2,94,97697.368,68.0,1436.726,C.B.Ammar
2,1,153650,18-Nov,2,94,240068.473,191.0,1256.903,C.B.Ammar
3,6,153650,19-Nov,2,94,26435.748,17.0,1555.0439999999999,C.B.Ammar
2,6,153650,19-Dec,2,94,99522.816,64.0,1555.044,C.B.Ammar
1,1,153650,18-Aug,2,94,23810.62,20.0,1190.531,C.B.Ammar
2,2,153650,19-May,2,94,275688.6,165.0,1670.84,C.B.Ammar
2,2,153650,19-Jun,2,94,263992.72,158.0,1670.84,C.B.Ammar
2,1,153650,19-Sep,2,94,300799.898,226.0,1330.973,C.B.Ammar
2,2,153650,19-Nov,2,94,256985.806,154.0,1668.739,C.B.Ammar
2,2,153650,18-Feb,2,94,72567.2,50.0,1451.344,C.B.Ammar
3,3,153650,18-May,2,94,79480.532,58.0,1370.354,C.B.Ammar
2,2,153650,19-Oct,2,94,280348.152,168.0,1668.739,C.B.Ammar
2,1,153650,19-Dec,2,94,290152.114,218.0,1330.973,C.B.Ammar
3,3,153650,18-Feb,2,94,34478.756,26.0,1326.106,C.B.Ammar
2,1,153650,18-Jan,2,94,265658.106,246.0,1079.911,C.B.Ammar
2,1,153650,18-Feb,2,94,70194.215,65.0,1079.911,C.B.Ammar
2,2,153650,18-Apr,2,94,259844.814,174.0,1493.361,C.B.Ammar
2,1,153650,18-Jul,2,94,301204.343,253.0,1190.531,C.B.Ammar
2,1,153650,18-Sep,2,94,307804.326,246.0,1251.2370975609756,C.B.Ammar
1,2,153650,18-Dec,2,94,44990.596,28.0,1606.807,C.B.Ammar
1,2,153650,19-Feb,2,94,28895.292,18.0,1605.294,C.B.Ammar
2,1,153650,19-Apr,2,94,267970.386,201.0,1333.186,C.B.Ammar
3,2,153650,19-Jun,2,94,13366.72,8.0,1670.84,C.B.Ammar
3,1,153650,19-Apr,2,94,17331.418,13.0,1333.1860000000001,C.B.Ammar
3,2,153650,19-Apr,2,94,11695.88,7.0,1670.84,C.B.Ammar
2,6,153650,19-Aug,2,94,119738.388,77.0,1555.044,C.B.Ammar
2,2,153650,18-Aug,2,94,168089.688,108.0,1556.386,C.B.Ammar
1,3,153650,18-May,2,94,8222.124,6.0,1370.354,C.B.Ammar
2,1,153650,18-Aug,2,94,227391.421,191.0,1190.531,C.B.Ammar
2,2,153650,18-Sep,2,94,258191.717,161.0,1603.6752608695651,C.B.Ammar
3,1,153650,18-Nov,2,94,32679.478,26.0,1256.903,C.B.Ammar
2,3,153650,19-May,2,94,98107.191,63.0,1557.257,C.B.Ammar
3,1,153650,18-Mar,2,94,8639.288,8.0,1079.911,C.B.Ammar
3,1,153650,18-May,2,94,25855.657,23.0,1124.1589999999999,C.B.Ammar
1,2,153650,18-Jun,2,94,5973.444,4.0,1493.361,C.B.Ammar
