NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,154190,18-Jul,16,1,6225.544,4.0,1556.386,CHEBBA
1,1,154190,18-Nov,16,1,135745.524,108.0,1256.903,CHEBBA
1,2,154190,19-Nov,16,1,120149.208,72.0,1668.739,CHEBBA
1,6,154190,19-Nov,16,1,49761.408,32.0,1555.044,CHEBBA
1,3,154190,18-Feb,16,1,29174.332,22.0,1326.106,CHEBBA
1,2,154190,18-May,16,1,83628.216,56.0,1493.361,CHEBBA
1,3,154190,19-Jan,16,1,32741.06,22.0,1488.23,CHEBBA
1,3,154190,18-Nov,16,1,31286.283,21.0,1489.8229999999999,CHEBBA
1,1,154190,19-Feb,16,1,129296.93,103.0,1255.31,CHEBBA
1,2,154190,19-Sep,16,1,136836.598,82.0,1668.739,CHEBBA
1,2,154190,19-Aug,16,1,215267.331,129.0,1668.739,CHEBBA
1,1,154190,18-Jan,16,1,137148.697,127.0,1079.9109999999998,CHEBBA
1,1,154190,18-Mar,16,1,129589.32,120.0,1079.911,CHEBBA
1,3,154190,18-Mar,16,1,37130.968,28.0,1326.106,CHEBBA
1,3,154190,18-Aug,16,1,66089.396,46.0,1436.7259999999999,CHEBBA
1,2,154190,18-Oct,16,1,93194.806,58.0,1606.807,CHEBBA
1,1,154190,19-Apr,16,1,166648.25,125.0,1333.186,CHEBBA
1,2,154190,19-Mar,16,1,94712.346,59.0,1605.294,CHEBBA
1,1,154190,19-Nov,16,1,163709.679,123.0,1330.973,CHEBBA
3,3,154190,18-Feb,16,1,5304.424,4.0,1326.106,CHEBBA
1,1,154190,18-Sep,16,1,153010.306,122.0,1254.1828360655738,CHEBBA
2,1,154190,18-Oct,16,1,13825.933,11.0,1256.903,CHEBBA
1,2,154190,19-Jul,16,1,170297.519,102.0,1669.583519607843,CHEBBA
3,3,154190,18-Apr,16,1,9592.478,7.0,1370.3539999999998,CHEBBA
1,2,154190,18-Dec,16,1,89950.932,56.0,1606.2666428571429,CHEBBA
3,3,154190,18-Aug,16,1,14367.26,10.0,1436.726,CHEBBA
1,3,154190,19-Feb,16,1,35717.52,24.0,1488.2299999999998,CHEBBA
1,6,154190,19-Jun,16,1,48274.967,31.0,1557.2569999999998,CHEBBA
1,1,154190,18-Dec,16,1,108033.124,86.0,1256.1991162790698,CHEBBA
1,2,154190,18-Jan,16,1,81275.264,56.0,1451.3439999999998,CHEBBA
4,3,154190,18-Mar,16,1,6630.53,5.0,1326.106,CHEBBA
1,1,154190,18-May,16,1,141644.034,126.0,1124.159,CHEBBA
1,3,154190,18-May,16,1,39740.266,29.0,1370.354,CHEBBA
1,1,154190,18-Jun,16,1,132924.58,116.0,1145.9015517241378,CHEBBA
1,2,154190,18-Sep,16,1,112123.543,70.0,1601.7649000000001,CHEBBA
1,6,154190,19-May,16,1,29587.883,19.0,1557.257,CHEBBA
1,1,154190,19-Mar,16,1,144360.65,115.0,1255.31,CHEBBA
1,6,154190,19-Jul,16,1,65358.321,42.0,1556.1505000000002,CHEBBA
1,1,154190,18-Apr,16,1,155133.942,138.0,1124.159,CHEBBA
2,1,154190,18-Dec,16,1,37707.09,30.0,1256.9029999999998,CHEBBA
1,1,154190,19-Jan,16,1,116743.83,93.0,1255.31,CHEBBA
1,2,154190,18-Aug,16,1,185209.934,119.0,1556.386,CHEBBA
2,1,154190,18-Aug,16,1,17857.965,15.0,1190.531,CHEBBA
1,2,154190,18-Jun,16,1,90736.11,60.0,1512.2685,CHEBBA
3,1,154190,18-Aug,16,1,8333.717,7.0,1190.5310000000002,CHEBBA
1,3,154190,18-Jan,16,1,30500.438,23.0,1326.106,CHEBBA
1,2,154190,18-Feb,16,1,81275.264,56.0,1451.3439999999998,CHEBBA
2,2,154190,18-Oct,16,1,8034.035,5.0,1606.807,CHEBBA
1,1,154190,19-May,16,1,157315.948,118.0,1333.186,CHEBBA
1,6,154190,19-Oct,16,1,32655.924,21.0,1555.0439999999999,CHEBBA
1,2,154190,19-May,16,1,90225.36,54.0,1670.84,CHEBBA
1,2,154190,18-Mar,16,1,84177.952,58.0,1451.344,CHEBBA
1,3,154190,18-Jul,16,1,50285.41,35.0,1436.726,CHEBBA
4,2,154190,18-Nov,16,1,8034.035,5.0,1606.807,CHEBBA
1,1,154190,19-Sep,16,1,149068.976,112.0,1330.973,CHEBBA
1,1,154190,19-Jul,16,1,157147.76,118.0,1331.7606779661019,CHEBBA
1,2,154190,19-Oct,16,1,101793.079,61.0,1668.739,CHEBBA
1,1,154190,19-Dec,16,1,169033.571,127.0,1330.973,CHEBBA
1,2,154190,19-Dec,16,1,110136.774,66.0,1668.739,CHEBBA
1,3,154190,18-Dec,16,1,37237.61,25.0,1489.5044,CHEBBA
4,3,154190,18-Jul,16,1,4310.178,3.0,1436.7259999999999,CHEBBA
1,3,154190,18-Sep,16,1,35437.17,24.0,1476.54875,CHEBBA
1,1,154190,18-Oct,16,1,155855.972,124.0,1256.903,CHEBBA
1,6,154190,19-Mar,16,1,40182.21,27.0,1488.23,CHEBBA
1,1,154190,18-Feb,16,1,110150.922,102.0,1079.911,CHEBBA
1,2,154190,19-Jan,16,1,93107.052,58.0,1605.2939999999999,CHEBBA
1,3,154190,18-Jun,16,1,35629.204,26.0,1370.3539999999998,CHEBBA
1,6,154190,19-Apr,16,1,48274.967,31.0,1557.2569999999998,CHEBBA
1,6,154190,19-Sep,16,1,49761.408,32.0,1555.044,CHEBBA
1,1,154190,19-Oct,16,1,155723.841,117.0,1330.973,CHEBBA
1,3,154190,18-Apr,16,1,21925.664,16.0,1370.354,CHEBBA
4,1,154190,18-Jul,16,1,8333.717,7.0,1190.5310000000002,CHEBBA
1,2,154190,19-Jun,16,1,131996.36,79.0,1670.84,CHEBBA
1,1,154190,19-Aug,16,1,191660.112,144.0,1330.973,CHEBBA
1,1,154190,19-Jun,16,1,42661.952,32.0,1333.186,CHEBBA
1,2,154190,18-Apr,16,1,86614.938,58.0,1493.3609999999999,CHEBBA
1,1,154190,18-Aug,16,1,151197.437,127.0,1190.531,CHEBBA
2,2,154190,18-Aug,16,1,14007.474,9.0,1556.386,CHEBBA
3,2,154190,18-Aug,16,1,15563.86,10.0,1556.386,CHEBBA
1,3,154190,18-Oct,16,1,46184.513,31.0,1489.8229999999999,CHEBBA
2,2,154190,19-Jan,16,1,11237.058,7.0,1605.294,CHEBBA
2,1,154190,19-Jul,16,1,42661.952,32.0,1333.186,CHEBBA
1,6,154190,19-Dec,16,1,34210.968,22.0,1555.044,CHEBBA
1,1,154190,18-Jul,16,1,159531.154,134.0,1190.5310000000002,CHEBBA
1,2,154190,18-Jul,16,1,141631.126,91.0,1556.386,CHEBBA
4,3,154190,18-Nov,16,1,2979.646,2.0,1489.823,CHEBBA
1,2,154190,18-Nov,16,1,80340.35,50.0,1606.807,CHEBBA
2,1,154190,19-Jan,16,1,15063.72,12.0,1255.31,CHEBBA
1,2,154190,19-Feb,16,1,91501.758,57.0,1605.294,CHEBBA
2,1,154190,19-Jun,16,1,82657.532,62.0,1333.1860000000001,CHEBBA
1,2,154190,19-Apr,16,1,126983.84,76.0,1670.84,CHEBBA
1,6,154190,19-Aug,16,1,85527.42,55.0,1555.0439999999999,CHEBBA
