NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,155200,18-Jan,11,27,272137.572,252.0,1079.9109999999998,CHERARDA
1,2,155200,18-Mar,11,27,30478.224,21.0,1451.3439999999998,CHERARDA
1,1,155200,18-Aug,11,27,157150.092,132.0,1190.531,CHERARDA
1,2,155200,19-Jan,11,27,24079.41,15.0,1605.294,CHERARDA
1,3,155200,19-Feb,11,27,38693.98,26.0,1488.23,CHERARDA
1,2,155200,19-Mar,11,27,28895.292,18.0,1605.294,CHERARDA
1,2,155200,19-Aug,11,27,55068.387,33.0,1668.739,CHERARDA
2,2,155200,19-Oct,11,27,8343.695,5.0,1668.739,CHERARDA
1,1,155200,19-Jan,11,27,171977.47,137.0,1255.31,CHERARDA
1,2,155200,19-Apr,11,27,40100.16,24.0,1670.8400000000001,CHERARDA
1,2,155200,19-Jul,11,27,35066.63,21.0,1669.8395238095236,CHERARDA
1,2,155200,19-Nov,11,27,41718.475,25.0,1668.739,CHERARDA
1,2,155200,18-May,11,27,23893.776,16.0,1493.361,CHERARDA
3,3,155200,19-Jan,11,27,5952.92,4.0,1488.23,CHERARDA
1,2,155200,18-Jul,11,27,23345.79,15.0,1556.386,CHERARDA
1,3,155200,18-Oct,11,27,28306.637,19.0,1489.8229999999999,CHERARDA
1,3,155200,18-Nov,11,27,29796.46,20.0,1489.8229999999999,CHERARDA
1,1,155200,19-Feb,11,27,223445.18,178.0,1255.31,CHERARDA
1,1,155200,19-May,11,27,174647.366,131.0,1333.1860000000001,CHERARDA
1,1,155200,19-Dec,11,27,288821.141,217.0,1330.973,CHERARDA
1,2,155200,19-Oct,11,27,25031.085,15.0,1668.739,CHERARDA
1,3,155200,18-Jan,11,27,35804.862,27.0,1326.106,CHERARDA
1,2,155200,18-Dec,11,27,35334.624,22.0,1606.1192727272728,CHERARDA
1,3,155200,18-Jul,11,27,31607.972,22.0,1436.726,CHERARDA
1,1,155200,18-Sep,11,27,240728.028,192.0,1253.7918124999999,CHERARDA
2,2,155200,18-Dec,11,27,9640.842,6.0,1606.807,CHERARDA
2,1,155200,19-Jun,11,27,127985.856,96.0,1333.186,CHERARDA
1,6,155200,19-Dec,11,27,38876.1,25.0,1555.0439999999999,CHERARDA
1,1,155200,19-Nov,11,27,203638.869,153.0,1330.973,CHERARDA
1,2,155200,18-Jan,11,27,23221.504,16.0,1451.344,CHERARDA
1,1,155200,18-Nov,11,27,218701.122,174.0,1256.903,CHERARDA
2,2,155200,18-Jul,11,27,6225.544,4.0,1556.386,CHERARDA
3,1,155200,18-Aug,11,27,25001.151,21.0,1190.5310000000002,CHERARDA
1,1,155200,18-Oct,11,27,187278.547,149.0,1256.903,CHERARDA
4,3,155200,18-Nov,11,27,5959.292,4.0,1489.823,CHERARDA
1,6,155200,19-Apr,11,27,35816.911,23.0,1557.257,CHERARDA
1,6,155200,19-Mar,11,27,34229.29,23.0,1488.23,CHERARDA
2,1,155200,19-Sep,11,27,18633.622,14.0,1330.973,CHERARDA
1,3,155200,18-Dec,11,27,37234.424,25.0,1489.37696,CHERARDA
1,1,155200,18-Jul,11,27,189294.429,159.0,1190.531,CHERARDA
1,1,155200,19-Sep,11,27,182343.301,137.0,1330.973,CHERARDA
1,6,155200,19-Aug,11,27,48206.364,31.0,1555.044,CHERARDA
1,6,155200,19-Jul,11,27,40457.7,26.0,1556.0653846153846,CHERARDA
1,1,155200,19-Oct,11,27,166371.625,125.0,1330.973,CHERARDA
1,6,155200,19-Nov,11,27,32655.924,21.0,1555.0439999999999,CHERARDA
3,3,155200,18-Jan,11,27,5304.424,4.0,1326.106,CHERARDA
1,1,155200,18-Dec,11,27,141942.424,113.0,1256.1276460176991,CHERARDA
2,1,155200,18-Aug,11,27,51192.833,43.0,1190.531,CHERARDA
2,2,155200,18-Oct,11,27,4820.421,3.0,1606.807,CHERARDA
1,2,155200,19-Feb,11,27,35316.468,22.0,1605.294,CHERARDA
1,6,155200,19-Sep,11,27,32655.924,21.0,1555.0439999999999,CHERARDA
1,1,155200,19-Jul,11,27,158500.863,119.0,1331.940025210084,CHERARDA
2,6,155200,19-Oct,11,27,6220.176,4.0,1555.044,CHERARDA
1,2,155200,19-Dec,11,27,33374.78,20.0,1668.739,CHERARDA
1,3,155200,18-Apr,11,27,34258.85,25.0,1370.354,CHERARDA
1,3,155200,18-May,11,27,31518.142,23.0,1370.354,CHERARDA
3,2,155200,18-Aug,11,27,15563.86,10.0,1556.386,CHERARDA
2,2,155200,19-Jun,11,27,10025.04,6.0,1670.8400000000001,CHERARDA
1,6,155200,19-May,11,27,26473.369,17.0,1557.2569999999998,CHERARDA
1,3,155200,18-Feb,11,27,33152.65,25.0,1326.106,CHERARDA
1,1,155200,18-Mar,11,27,264578.195,245.0,1079.911,CHERARDA
1,3,155200,19-Jan,11,27,31252.83,21.0,1488.23,CHERARDA
2,1,155200,18-Nov,11,27,12569.03,10.0,1256.903,CHERARDA
2,1,155200,18-Jul,11,27,13095.841,11.0,1190.531,CHERARDA
1,3,155200,18-Jun,11,27,38834.516,28.0,1386.9470000000001,CHERARDA
1,3,155200,18-Sep,11,27,28306.637,19.0,1489.8229999999999,CHERARDA
1,1,155200,18-May,11,27,233825.072,208.0,1124.1589999999999,CHERARDA
3,3,155200,18-Aug,11,27,8620.356,6.0,1436.7259999999999,CHERARDA
1,2,155200,18-Jun,11,27,28625.959,19.0,1506.6294210526314,CHERARDA
1,1,155200,19-Apr,11,27,219975.69,165.0,1333.186,CHERARDA
1,2,155200,18-Oct,11,27,25708.912,16.0,1606.807,CHERARDA
1,2,155200,19-May,11,27,33416.8,20.0,1670.8400000000001,CHERARDA
1,1,155200,18-Apr,11,27,242818.344,216.0,1124.159,CHERARDA
1,2,155200,18-Apr,11,27,25387.137,17.0,1493.3609999999999,CHERARDA
1,2,155200,18-Aug,11,27,76262.914,49.0,1556.3860000000002,CHERARDA
1,3,155200,18-Mar,11,27,35804.862,27.0,1326.106,CHERARDA
2,1,155200,18-Dec,11,27,75414.18,60.0,1256.9029999999998,CHERARDA
2,1,155200,19-Jan,11,27,35148.68,28.0,1255.31,CHERARDA
1,1,155200,18-Jun,11,27,198262.711,173.0,1146.027231213873,CHERARDA
2,1,155200,19-Oct,11,27,23957.514,18.0,1330.973,CHERARDA
2,2,155200,19-Sep,11,27,5006.217,3.0,1668.7389999999998,CHERARDA
3,3,155200,18-Feb,11,27,2652.212,2.0,1326.106,CHERARDA
2,1,155200,18-Oct,11,27,21367.351,17.0,1256.903,CHERARDA
1,1,155200,19-Jun,11,27,73325.23,55.0,1333.186,CHERARDA
1,2,155200,19-Jun,11,27,25062.6,15.0,1670.84,CHERARDA
1,1,155200,18-Feb,11,27,239740.242,222.0,1079.911,CHERARDA
1,2,155200,19-Sep,11,27,31706.041,19.0,1668.739,CHERARDA
1,2,155200,18-Feb,11,27,26124.192,18.0,1451.344,CHERARDA
3,3,155200,18-Mar,11,27,5304.424,4.0,1326.106,CHERARDA
1,3,155200,18-Aug,11,27,34481.424,24.0,1436.7259999999999,CHERARDA
1,2,155200,18-Sep,11,27,35198.491,22.0,1599.9314090909093,CHERARDA
1,2,155200,18-Nov,11,27,19281.684,12.0,1606.807,CHERARDA
2,2,155200,19-Jan,11,27,8026.47,5.0,1605.294,CHERARDA
1,6,155200,19-Jun,11,27,29587.883,19.0,1557.257,CHERARDA
1,1,155200,19-Mar,11,27,213402.7,170.0,1255.3100000000002,CHERARDA
1,1,155200,19-Aug,11,27,227596.383,171.0,1330.973,CHERARDA
2,1,155200,19-Jul,11,27,13331.86,10.0,1333.1860000000001,CHERARDA
1,6,155200,19-Oct,11,27,29545.836,19.0,1555.0439999999999,CHERARDA
