NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,3,155590,18-May,17,67,49332.744,36.0,1370.354,CITE EL HABIB - SFAX GPL
1,3,155590,19-Jan,17,67,55064.51,37.0,1488.23,CITE EL HABIB - SFAX GPL
3,1,155590,18-Aug,17,67,16667.434,14.0,1190.5310000000002,CITE EL HABIB - SFAX GPL
1,2,155590,19-Feb,17,67,146081.754,91.0,1605.2939999999999,CITE EL HABIB - SFAX GPL
1,6,155590,19-Mar,17,67,55064.51,37.0,1488.23,CITE EL HABIB - SFAX GPL
1,2,155590,18-Dec,17,67,139742.28,87.0,1606.2331034482759,CITE EL HABIB - SFAX GPL
1,1,155590,19-Jan,17,67,144360.65,115.0,1255.31,CITE EL HABIB - SFAX GPL
1,1,155590,19-Sep,17,67,194322.058,146.0,1330.973,CITE EL HABIB - SFAX GPL
1,1,155590,19-May,17,67,202644.272,152.0,1333.186,CITE EL HABIB - SFAX GPL
1,3,155590,18-Jan,17,67,39783.18,30.0,1326.106,CITE EL HABIB - SFAX GPL
1,1,155590,18-May,17,67,131526.603,117.0,1124.159,CITE EL HABIB - SFAX GPL
1,3,155590,18-Jul,17,67,58905.766,41.0,1436.726,CITE EL HABIB - SFAX GPL
2,2,155590,18-Jul,17,67,10894.702,7.0,1556.386,CITE EL HABIB - SFAX GPL
1,3,155590,18-Aug,17,67,45975.232,32.0,1436.726,CITE EL HABIB - SFAX GPL
1,6,155590,19-Apr,17,67,79420.107,51.0,1557.257,CITE EL HABIB - SFAX GPL
1,6,155590,19-Jul,17,67,71582.923,46.0,1556.1505,CITE EL HABIB - SFAX GPL
1,6,155590,19-Oct,17,67,66866.892,43.0,1555.044,CITE EL HABIB - SFAX GPL
1,1,155590,18-Oct,17,67,163397.39,130.0,1256.903,CITE EL HABIB - SFAX GPL
4,6,155590,19-Sep,17,67,7775.22,5.0,1555.044,CITE EL HABIB - SFAX GPL
1,2,155590,18-Jan,17,67,71115.856,49.0,1451.344,CITE EL HABIB - SFAX GPL
3,2,155590,18-Aug,17,67,29571.334,19.0,1556.386,CITE EL HABIB - SFAX GPL
1,3,155590,18-Sep,17,67,53633.628,36.0,1489.8229999999999,CITE EL HABIB - SFAX GPL
1,6,155590,19-Aug,17,67,73087.068,47.0,1555.044,CITE EL HABIB - SFAX GPL
1,2,155590,19-Jul,17,67,192033.146,115.0,1669.853443478261,CITE EL HABIB - SFAX GPL
1,1,155590,19-Oct,17,67,235582.221,177.0,1330.973,CITE EL HABIB - SFAX GPL
1,3,155590,18-Mar,17,67,45087.604,34.0,1326.106,CITE EL HABIB - SFAX GPL
1,2,155590,18-Apr,17,67,80641.494,54.0,1493.361,CITE EL HABIB - SFAX GPL
4,3,155590,18-Apr,17,67,4111.062,3.0,1370.354,CITE EL HABIB - SFAX GPL
1,1,155590,18-Aug,17,67,128577.348,108.0,1190.531,CITE EL HABIB - SFAX GPL
2,1,155590,18-Oct,17,67,12569.03,10.0,1256.903,CITE EL HABIB - SFAX GPL
4,1,155590,18-Dec,17,67,26394.963,21.0,1256.903,CITE EL HABIB - SFAX GPL
1,1,155590,19-Dec,17,67,202307.896,152.0,1330.973,CITE EL HABIB - SFAX GPL
1,2,155590,19-Dec,17,67,133499.12,80.0,1668.739,CITE EL HABIB - SFAX GPL
1,1,155590,19-Jul,17,67,163804.838,123.0,1331.746650406504,CITE EL HABIB - SFAX GPL
1,1,155590,19-Nov,17,67,212955.68,160.0,1330.973,CITE EL HABIB - SFAX GPL
1,1,155590,19-Apr,17,67,234640.736,176.0,1333.186,CITE EL HABIB - SFAX GPL
1,2,155590,19-May,17,67,168754.84,101.0,1670.84,CITE EL HABIB - SFAX GPL
1,1,155590,18-Apr,17,67,130402.444,116.0,1124.159,CITE EL HABIB - SFAX GPL
1,3,155590,18-Dec,17,67,70004.158,47.0,1489.450170212766,CITE EL HABIB - SFAX GPL
1,1,155590,18-Jul,17,67,147625.844,124.0,1190.5310000000002,CITE EL HABIB - SFAX GPL
1,1,155590,18-Jun,17,67,136164.313,119.0,1144.2379243697478,CITE EL HABIB - SFAX GPL
1,2,155590,19-Apr,17,67,222221.72,133.0,1670.84,CITE EL HABIB - SFAX GPL
1,6,155590,19-May,17,67,70076.565,45.0,1557.257,CITE EL HABIB - SFAX GPL
1,2,155590,19-Aug,17,67,188567.507,113.0,1668.739,CITE EL HABIB - SFAX GPL
1,1,155590,18-Jan,17,67,152267.451,141.0,1079.911,CITE EL HABIB - SFAX GPL
1,3,155590,18-Feb,17,67,42435.392,32.0,1326.106,CITE EL HABIB - SFAX GPL
3,3,155590,18-Feb,17,67,5304.424,4.0,1326.106,CITE EL HABIB - SFAX GPL
1,2,155590,18-Mar,17,67,100142.736,69.0,1451.344,CITE EL HABIB - SFAX GPL
1,2,155590,18-Aug,17,67,196104.636,126.0,1556.386,CITE EL HABIB - SFAX GPL
2,2,155590,18-Aug,17,67,6225.544,4.0,1556.386,CITE EL HABIB - SFAX GPL
1,3,155590,18-Jun,17,67,62462.394,45.0,1388.0532,CITE EL HABIB - SFAX GPL
1,1,155590,18-Nov,17,67,158369.778,126.0,1256.903,CITE EL HABIB - SFAX GPL
1,1,155590,19-Jun,17,67,101322.136,76.0,1333.186,CITE EL HABIB - SFAX GPL
1,6,155590,19-Dec,17,67,63756.804,41.0,1555.0439999999999,CITE EL HABIB - SFAX GPL
1,1,155590,19-Mar,17,67,227211.11,181.0,1255.31,CITE EL HABIB - SFAX GPL
1,6,155590,19-Nov,17,67,63756.804,41.0,1555.0439999999999,CITE EL HABIB - SFAX GPL
3,3,155590,18-Jan,17,67,2652.212,2.0,1326.106,CITE EL HABIB - SFAX GPL
1,2,155590,18-Feb,17,67,110302.144,76.0,1451.344,CITE EL HABIB - SFAX GPL
4,3,155590,18-Mar,17,67,3978.318,3.0,1326.106,CITE EL HABIB - SFAX GPL
1,1,155590,18-Dec,17,67,116836.224,93.0,1256.3034838709677,CITE EL HABIB - SFAX GPL
1,2,155590,18-Nov,17,67,107656.069,67.0,1606.807,CITE EL HABIB - SFAX GPL
1,2,155590,19-Sep,17,67,145180.293,87.0,1668.739,CITE EL HABIB - SFAX GPL
1,2,155590,19-Jun,17,67,167084.0,100.0,1670.84,CITE EL HABIB - SFAX GPL
1,2,155590,19-Oct,17,67,175217.595,105.0,1668.739,CITE EL HABIB - SFAX GPL
1,2,155590,19-Nov,17,67,183561.29,110.0,1668.739,CITE EL HABIB - SFAX GPL
1,2,155590,19-Jan,17,67,131634.108,82.0,1605.294,CITE EL HABIB - SFAX GPL
1,2,155590,18-Jun,17,67,96520.479,64.0,1508.132484375,CITE EL HABIB - SFAX GPL
1,2,155590,18-Jul,17,67,132292.81,85.0,1556.386,CITE EL HABIB - SFAX GPL
1,2,155590,18-Oct,17,67,125330.946,78.0,1606.807,CITE EL HABIB - SFAX GPL
2,1,155590,19-Sep,17,67,9316.811,7.0,1330.973,CITE EL HABIB - SFAX GPL
1,1,155590,18-Feb,17,67,127429.498,118.0,1079.911,CITE EL HABIB - SFAX GPL
3,3,155590,18-Aug,17,67,17240.712,12.0,1436.7259999999999,CITE EL HABIB - SFAX GPL
1,2,155590,18-Sep,17,67,120207.999,75.0,1602.77332,CITE EL HABIB - SFAX GPL
1,3,155590,19-Feb,17,67,62505.66,42.0,1488.23,CITE EL HABIB - SFAX GPL
1,1,155590,18-Mar,17,67,146867.896,136.0,1079.911,CITE EL HABIB - SFAX GPL
1,2,155590,18-May,17,67,77654.772,52.0,1493.3609999999999,CITE EL HABIB - SFAX GPL
1,1,155590,18-Sep,17,67,158104.29,126.0,1254.7959523809525,CITE EL HABIB - SFAX GPL
1,1,155590,19-Feb,17,67,175743.4,140.0,1255.31,CITE EL HABIB - SFAX GPL
1,2,155590,19-Mar,17,67,157318.812,98.0,1605.294,CITE EL HABIB - SFAX GPL
2,1,155590,19-Jul,17,67,50661.068,38.0,1333.186,CITE EL HABIB - SFAX GPL
1,3,155590,18-Apr,17,67,46592.036,34.0,1370.354,CITE EL HABIB - SFAX GPL
1,3,155590,18-Nov,17,67,44694.69,30.0,1489.823,CITE EL HABIB - SFAX GPL
4,3,155590,18-Nov,17,67,10428.761,7.0,1489.823,CITE EL HABIB - SFAX GPL
2,1,155590,19-Jun,17,67,73325.23,55.0,1333.186,CITE EL HABIB - SFAX GPL
1,1,155590,19-Aug,17,67,165040.652,124.0,1330.973,CITE EL HABIB - SFAX GPL
2,1,155590,18-Dec,17,67,50276.12,40.0,1256.903,CITE EL HABIB - SFAX GPL
1,3,155590,18-Oct,17,67,56613.274,38.0,1489.8229999999999,CITE EL HABIB - SFAX GPL
1,6,155590,19-Jun,17,67,66962.051,43.0,1557.257,CITE EL HABIB - SFAX GPL
1,6,155590,19-Sep,17,67,52871.496,34.0,1555.0439999999999,CITE EL HABIB - SFAX GPL
4,2,155590,19-Sep,17,67,11681.173,7.0,1668.739,CITE EL HABIB - SFAX GPL
