NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,153950,18-Mar,17,67,149027.718,138.0,1079.911,CITE EL MOEZ  SFAX
3,3,153950,18-Jan,17,67,3978.318,3.0,1326.106,CITE EL MOEZ  SFAX
1,3,153950,19-Jan,17,67,37205.75,25.0,1488.23,CITE EL MOEZ  SFAX
1,2,153950,18-Jun,17,67,78348.047,52.0,1506.6932115384616,CITE EL MOEZ  SFAX
1,1,153950,19-Feb,17,67,220934.56,176.0,1255.31,CITE EL MOEZ  SFAX
3,4,153950,19-Jan,17,67,5248.992,3.0,1749.664,CITE EL MOEZ  SFAX
1,2,153950,19-Mar,17,67,107554.698,67.0,1605.294,CITE EL MOEZ  SFAX
1,4,153950,19-Oct,17,67,3643.024,2.0,1821.512,CITE EL MOEZ  SFAX
1,3,153950,18-Mar,17,67,42435.392,32.0,1326.106,CITE EL MOEZ  SFAX
3,5,153950,18-Aug,17,67,4734.957,3.0,1578.3190000000002,CITE EL MOEZ  SFAX
3,3,153950,18-Apr,17,67,5481.416,4.0,1370.354,CITE EL MOEZ  SFAX
1,1,153950,18-Dec,17,67,138197.203,110.0,1256.3382090909092,CITE EL MOEZ  SFAX
1,1,153950,18-Jul,17,67,164293.278,138.0,1190.531,CITE EL MOEZ  SFAX
2,2,153950,18-Jul,17,67,6225.544,4.0,1556.386,CITE EL MOEZ  SFAX
1,1,153950,19-Jun,17,67,69325.672,52.0,1333.1860000000001,CITE EL MOEZ  SFAX
1,6,153950,19-Jun,17,67,57618.509,37.0,1557.257,CITE EL MOEZ  SFAX
1,6,153950,19-Mar,17,67,44646.9,30.0,1488.23,CITE EL MOEZ  SFAX
1,2,153950,19-Oct,17,67,131830.381,79.0,1668.739,CITE EL MOEZ  SFAX
1,3,153950,18-May,17,67,46592.036,34.0,1370.354,CITE EL MOEZ  SFAX
1,3,153950,18-Aug,17,67,38791.602,27.0,1436.7259999999999,CITE EL MOEZ  SFAX
3,3,153950,18-Aug,17,67,10057.082,7.0,1436.726,CITE EL MOEZ  SFAX
1,6,153950,19-May,17,67,48274.967,31.0,1557.2569999999998,CITE EL MOEZ  SFAX
1,5,153950,19-May,17,67,5127.876,3.0,1709.2920000000001,CITE EL MOEZ  SFAX
1,2,153950,19-Aug,17,67,168542.639,101.0,1668.739,CITE EL MOEZ  SFAX
1,2,153950,19-Jul,17,67,150283.156,90.0,1669.8128444444444,CITE EL MOEZ  SFAX
1,1,153950,19-Oct,17,67,171695.517,129.0,1330.973,CITE EL MOEZ  SFAX
1,5,153950,19-Oct,17,67,3414.16,2.0,1707.08,CITE EL MOEZ  SFAX
1,5,153950,19-Nov,17,67,5121.24,3.0,1707.08,CITE EL MOEZ  SFAX
3,5,153950,18-Nov,17,67,6525.664,4.0,1631.416,CITE EL MOEZ  SFAX
1,1,153950,19-Apr,17,67,245306.224,184.0,1333.186,CITE EL MOEZ  SFAX
1,2,153950,18-Jan,17,67,76921.232,53.0,1451.344,CITE EL MOEZ  SFAX
1,2,153950,18-Mar,17,67,81275.264,56.0,1451.3439999999998,CITE EL MOEZ  SFAX
1,2,153950,18-Jul,17,67,98052.318,63.0,1556.386,CITE EL MOEZ  SFAX
3,4,153950,18-Jul,17,67,16992.44,10.0,1699.244,CITE EL MOEZ  SFAX
2,1,153950,18-Jul,17,67,8333.717,7.0,1190.5310000000002,CITE EL MOEZ  SFAX
1,2,153950,18-Aug,17,67,133849.196,86.0,1556.386,CITE EL MOEZ  SFAX
1,1,153950,18-Sep,17,67,178675.177,143.0,1249.4767622377622,CITE EL MOEZ  SFAX
1,1,153950,19-Sep,17,67,155723.841,117.0,1330.973,CITE EL MOEZ  SFAX
1,4,153950,19-Sep,17,67,5464.536,3.0,1821.512,CITE EL MOEZ  SFAX
1,4,153950,19-Aug,17,67,3643.024,2.0,1821.512,CITE EL MOEZ  SFAX
1,1,153950,19-Dec,17,67,138421.192,104.0,1330.9730000000002,CITE EL MOEZ  SFAX
1,3,153950,18-Apr,17,67,34258.85,25.0,1370.354,CITE EL MOEZ  SFAX
1,2,153950,18-Apr,17,67,79148.133,53.0,1493.361,CITE EL MOEZ  SFAX
1,1,153950,18-Oct,17,67,196076.868,156.0,1256.903,CITE EL MOEZ  SFAX
