NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,155020,18-Apr,1,58,973671.372,652.0,1493.3609999999999,CITE OLYMPIQUE
3,3,155020,18-May,1,58,276811.508,202.0,1370.3539999999998,CITE OLYMPIQUE
2,1,155020,18-Nov,1,58,296629.108,236.0,1256.903,CITE OLYMPIQUE
2,1,155020,18-Jun,1,58,243627.303,213.0,1143.7901549295775,CITE OLYMPIQUE
2,6,155020,19-Jul,1,58,314342.401,202.0,1556.1505,CITE OLYMPIQUE
2,6,155020,19-Nov,1,58,180385.104,116.0,1555.0439999999999,CITE OLYMPIQUE
2,2,155020,18-Mar,1,58,952081.664,656.0,1451.344,CITE OLYMPIQUE
1,1,155020,18-Dec,1,58,23881.157,19.0,1256.903,CITE OLYMPIQUE
2,2,155020,19-Feb,1,58,894148.758,557.0,1605.294,CITE OLYMPIQUE
3,2,155020,19-Feb,1,58,4815.882,3.0,1605.2939999999999,CITE OLYMPIQUE
2,2,155020,19-Jun,1,58,912278.64,546.0,1670.84,CITE OLYMPIQUE
3,6,155020,19-Apr,1,58,79420.107,51.0,1557.257,CITE OLYMPIQUE
3,6,155020,19-Mar,1,58,267881.4,180.0,1488.23,CITE OLYMPIQUE
2,5,155020,19-May,1,58,11965.044,7.0,1709.292,CITE OLYMPIQUE
2,2,155020,19-Jul,1,58,1023607.226,613.0,1669.832342577488,CITE OLYMPIQUE
2,2,155020,19-Dec,1,58,1059649.265,635.0,1668.7389999999998,CITE OLYMPIQUE
2,1,155020,18-Mar,1,58,279696.949,259.0,1079.911,CITE OLYMPIQUE
3,3,155020,18-Feb,1,58,125980.07,95.0,1326.106,CITE OLYMPIQUE
2,1,155020,18-Apr,1,58,275418.955,245.0,1124.159,CITE OLYMPIQUE
1,1,155020,19-Jan,1,58,42680.54,34.0,1255.31,CITE OLYMPIQUE
2,1,155020,19-Jan,1,58,279934.13,223.0,1255.31,CITE OLYMPIQUE
3,2,155020,18-Nov,1,58,81947.157,51.0,1606.807,CITE OLYMPIQUE
3,1,155020,18-Jun,1,58,22483.18,20.0,1124.159,CITE OLYMPIQUE
3,5,155020,19-Feb,1,58,24471.24,15.0,1631.4160000000002,CITE OLYMPIQUE
2,5,155020,19-Dec,1,58,5121.24,3.0,1707.08,CITE OLYMPIQUE
3,2,155020,18-Jan,1,58,44991.664,31.0,1451.3439999999998,CITE OLYMPIQUE
1,1,155020,18-Apr,1,58,23607.339,21.0,1124.159,CITE OLYMPIQUE
1,2,155020,19-Feb,1,58,99528.228,62.0,1605.294,CITE OLYMPIQUE
3,2,155020,19-Sep,1,58,163536.422,98.0,1668.7389999999998,CITE OLYMPIQUE
2,1,155020,19-Aug,1,58,294145.033,221.0,1330.973,CITE OLYMPIQUE
1,2,155020,19-Aug,1,58,21693.607,13.0,1668.739,CITE OLYMPIQUE
2,1,155020,19-Nov,1,58,328750.331,247.0,1330.973,CITE OLYMPIQUE
2,2,155020,19-Nov,1,58,1064655.482,638.0,1668.739,CITE OLYMPIQUE
2,5,155020,19-Nov,1,58,6828.32,4.0,1707.08,CITE OLYMPIQUE
1,3,155020,18-Dec,1,58,28306.637,19.0,1489.8229999999999,CITE OLYMPIQUE
3,3,155020,19-Feb,1,58,285740.16,192.0,1488.2299999999998,CITE OLYMPIQUE
2,1,155020,18-Sep,1,58,298479.194,238.0,1254.1142605042019,CITE OLYMPIQUE
3,5,155020,18-Oct,1,58,17945.576,11.0,1631.4160000000002,CITE OLYMPIQUE
2,5,155020,19-Jun,1,58,17092.92,10.0,1709.292,CITE OLYMPIQUE
2,6,155020,19-May,1,58,24916.112,16.0,1557.257,CITE OLYMPIQUE
3,6,155020,19-Nov,1,58,164834.664,106.0,1555.0439999999999,CITE OLYMPIQUE
2,2,155020,18-Aug,1,58,631892.716,406.0,1556.386,CITE OLYMPIQUE
3,3,155020,18-Dec,1,58,269578.313,181.0,1489.3829447513813,CITE OLYMPIQUE
2,2,155020,18-Jul,1,58,940057.144,604.0,1556.386,CITE OLYMPIQUE
2,2,155020,19-Jan,1,58,775357.002,483.0,1605.2939999999999,CITE OLYMPIQUE
2,2,155020,18-Nov,1,58,920700.411,573.0,1606.807,CITE OLYMPIQUE
3,5,155020,18-Sep,1,58,21208.408,13.0,1631.416,CITE OLYMPIQUE
1,3,155020,19-Jan,1,58,5952.92,4.0,1488.23,CITE OLYMPIQUE
2,1,155020,19-Jun,1,58,278635.874,209.0,1333.1860000000001,CITE OLYMPIQUE
2,2,155020,19-Apr,1,58,1112779.44,666.0,1670.84,CITE OLYMPIQUE
3,3,155020,18-Aug,1,58,251427.05,175.0,1436.7259999999999,CITE OLYMPIQUE
2,1,155020,19-Oct,1,58,354038.818,266.0,1330.9730000000002,CITE OLYMPIQUE
1,1,155020,19-Mar,1,58,25106.2,20.0,1255.31,CITE OLYMPIQUE
2,1,155020,19-Sep,1,58,322095.466,242.0,1330.973,CITE OLYMPIQUE
2,5,155020,19-May,1,58,6837.168,4.0,1709.292,CITE OLYMPIQUE
3,1,155020,18-Aug,1,58,20239.027,17.0,1190.531,CITE OLYMPIQUE
3,5,155020,18-Jul,1,58,31566.38,20.0,1578.319,CITE OLYMPIQUE
2,2,155020,18-Sep,1,58,921197.956,574.0,1604.874487804878,CITE OLYMPIQUE
3,2,155020,18-Sep,1,58,14461.263,9.0,1606.807,CITE OLYMPIQUE
2,2,155020,18-Oct,1,58,1071740.269,667.0,1606.8070000000002,CITE OLYMPIQUE
2,1,155020,19-May,1,58,323964.198,243.0,1333.186,CITE OLYMPIQUE
2,6,155020,19-Oct,1,58,331224.372,213.0,1555.0439999999999,CITE OLYMPIQUE
2,1,155020,19-Mar,1,58,288721.3,230.0,1255.31,CITE OLYMPIQUE
2,6,155020,19-Mar,1,58,13394.07,9.0,1488.23,CITE OLYMPIQUE
3,3,155020,18-Jul,1,58,265794.31,185.0,1436.7259999999999,CITE OLYMPIQUE
1,2,155020,19-Jan,1,58,240794.1,150.0,1605.294,CITE OLYMPIQUE
3,5,155020,18-Aug,1,58,15783.19,10.0,1578.319,CITE OLYMPIQUE
1,2,155020,18-Aug,1,58,34240.492,22.0,1556.386,CITE OLYMPIQUE
2,2,155020,19-Oct,1,58,1072999.177,643.0,1668.7389999999998,CITE OLYMPIQUE
1,6,155020,19-Mar,1,58,7441.15,5.0,1488.23,CITE OLYMPIQUE
2,6,155020,19-Dec,1,58,335889.504,216.0,1555.044,CITE OLYMPIQUE
2,1,155020,18-Dec,1,58,332970.971,265.0,1256.4942301886792,CITE OLYMPIQUE
3,3,155020,19-Jan,1,58,290204.85,195.0,1488.2299999999998,CITE OLYMPIQUE
2,2,155020,18-Jun,1,58,894594.887,592.0,1511.1400118243243,CITE OLYMPIQUE
1,2,155020,19-Mar,1,58,141265.872,88.0,1605.294,CITE OLYMPIQUE
2,6,155020,19-Sep,1,58,342109.68,220.0,1555.0439999999999,CITE OLYMPIQUE
2,2,155020,19-Aug,1,58,889437.887,533.0,1668.739,CITE OLYMPIQUE
2,1,155020,19-Dec,1,58,324757.412,244.0,1330.973,CITE OLYMPIQUE
2,1,155020,18-Jan,1,58,276457.216,256.0,1079.911,CITE OLYMPIQUE
3,3,155020,18-Mar,1,58,277156.154,209.0,1326.106,CITE OLYMPIQUE
3,3,155020,18-Apr,1,58,302848.234,221.0,1370.354,CITE OLYMPIQUE
2,2,155020,18-May,1,58,948284.235,635.0,1493.3609999999999,CITE OLYMPIQUE
3,1,155020,18-May,1,58,10117.431,9.0,1124.159,CITE OLYMPIQUE
3,5,155020,18-Dec,1,58,9788.496,6.0,1631.416,CITE OLYMPIQUE
2,1,155020,18-Aug,1,58,251202.041,211.0,1190.531,CITE OLYMPIQUE
3,3,155020,18-Sep,1,58,282323.012,190.0,1485.9105894736842,CITE OLYMPIQUE
2,2,155020,19-May,1,58,1179613.04,706.0,1670.8400000000001,CITE OLYMPIQUE
2,3,155020,19-May,1,58,280306.26,180.0,1557.257,CITE OLYMPIQUE
2,3,155020,19-Apr,1,58,250718.377,161.0,1557.257,CITE OLYMPIQUE
2,2,155020,19-Sep,1,58,797657.242,478.0,1668.739,CITE OLYMPIQUE
3,6,155020,19-Jun,1,58,17129.827,11.0,1557.257,CITE OLYMPIQUE
1,2,155020,19-Sep,1,58,61743.343,37.0,1668.739,CITE OLYMPIQUE
2,1,155020,18-Feb,1,58,262418.373,243.0,1079.911,CITE OLYMPIQUE
3,1,155020,18-Jan,1,58,7559.377,7.0,1079.911,CITE OLYMPIQUE
1,3,155020,18-Feb,1,58,122001.752,92.0,1326.106,CITE OLYMPIQUE
3,2,155020,18-Dec,1,58,138185.402,86.0,1606.807,CITE OLYMPIQUE
2,1,155020,19-Feb,1,58,317593.43,253.0,1255.31,CITE OLYMPIQUE
2,1,155020,18-Oct,1,58,339363.81,270.0,1256.903,CITE OLYMPIQUE
2,1,155020,19-Apr,1,58,353294.29,265.0,1333.186,CITE OLYMPIQUE
2,1,155020,19-Jul,1,58,334341.996,251.0,1332.0398247011951,CITE OLYMPIQUE
2,5,155020,19-Jul,1,58,6828.32,4.0,1707.08,CITE OLYMPIQUE
2,2,155020,18-Dec,1,58,944551.358,588.0,1606.3798605442178,CITE OLYMPIQUE
2,1,155020,18-Jul,1,58,311919.122,262.0,1190.531,CITE OLYMPIQUE
1,3,155020,18-Oct,1,58,81940.265,55.0,1489.823,CITE OLYMPIQUE
2,6,155020,19-Jun,1,58,260061.919,167.0,1557.257,CITE OLYMPIQUE
3,1,155020,19-May,1,58,31996.464,24.0,1333.186,CITE OLYMPIQUE
2,2,155020,18-Feb,1,58,812752.64,560.0,1451.344,CITE OLYMPIQUE
3,1,155020,18-Nov,1,58,25138.06,20.0,1256.903,CITE OLYMPIQUE
2,1,155020,18-May,1,58,277667.273,247.0,1124.1589999999999,CITE OLYMPIQUE
3,2,155020,18-Aug,1,58,183653.548,118.0,1556.3860000000002,CITE OLYMPIQUE
3,5,155020,18-Nov,1,58,19576.992,12.0,1631.416,CITE OLYMPIQUE
3,3,155020,18-Jun,1,58,259176.566,187.0,1385.9709411764704,CITE OLYMPIQUE
2,2,155020,18-Jan,1,58,853390.272,588.0,1451.344,CITE OLYMPIQUE
3,3,155020,18-Jan,1,58,267873.412,202.0,1326.106,CITE OLYMPIQUE
1,1,155020,18-Mar,1,58,12958.932,12.0,1079.911,CITE OLYMPIQUE
3,3,155020,18-Nov,1,58,283066.37,190.0,1489.8229999999999,CITE OLYMPIQUE
