NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,3,155090,18-Jul,13,12,24424.342,17.0,1436.726,C.O. ASKAR
1,2,155090,18-Oct,13,12,9640.842,6.0,1606.807,C.O. ASKAR
4,2,155090,18-Nov,13,12,6427.228,4.0,1606.807,C.O. ASKAR
1,2,155090,19-Feb,13,12,16052.94,10.0,1605.294,C.O. ASKAR
1,6,155090,19-Sep,13,12,32655.924,21.0,1555.0439999999999,C.O. ASKAR
1,1,155090,19-Mar,13,12,60254.88,48.0,1255.31,C.O. ASKAR
2,1,155090,19-Jul,13,12,29330.092,22.0,1333.186,C.O. ASKAR
1,2,155090,19-Dec,13,12,25031.085,15.0,1668.739,C.O. ASKAR
1,1,155090,18-Jan,13,12,65874.571,61.0,1079.9109999999998,C.O. ASKAR
2,2,155090,18-Aug,13,12,7781.93,5.0,1556.386,C.O. ASKAR
1,2,155090,19-Jun,13,12,15037.56,9.0,1670.84,C.O. ASKAR
1,6,155090,19-Dec,13,12,29545.836,19.0,1555.0439999999999,C.O. ASKAR
1,1,155090,18-Mar,13,12,70194.215,65.0,1079.911,C.O. ASKAR
1,2,155090,19-Jan,13,12,20868.822,13.0,1605.294,C.O. ASKAR
1,1,155090,19-Jun,13,12,18664.604,14.0,1333.186,C.O. ASKAR
1,1,155090,19-Jul,13,12,57253.969,43.0,1331.4876511627906,C.O. ASKAR
1,2,155090,19-Oct,13,12,26699.824,16.0,1668.739,C.O. ASKAR
2,1,155090,19-Nov,13,12,11978.757,9.0,1330.973,C.O. ASKAR
3,3,155090,18-Jan,13,12,5304.424,4.0,1326.106,C.O. ASKAR
3,3,155090,19-Jan,13,12,4464.69,3.0,1488.2299999999998,C.O. ASKAR
1,3,155090,18-Sep,13,12,23837.168,16.0,1489.823,C.O. ASKAR
1,2,155090,18-Sep,13,12,20888.491,13.0,1606.8070000000002,C.O. ASKAR
4,3,155090,18-Nov,13,12,2979.646,2.0,1489.823,C.O. ASKAR
1,1,155090,19-Feb,13,12,42680.54,34.0,1255.31,C.O. ASKAR
1,2,155090,19-May,13,12,23391.76,14.0,1670.84,C.O. ASKAR
1,1,155090,19-Dec,13,12,85182.272,64.0,1330.973,C.O. ASKAR
1,2,155090,19-Sep,13,12,20024.868,12.0,1668.7389999999998,C.O. ASKAR
1,6,155090,19-Mar,13,12,25299.91,17.0,1488.23,C.O. ASKAR
1,6,155090,19-Nov,13,12,24880.704,16.0,1555.044,C.O. ASKAR
1,3,155090,18-Feb,13,12,21217.696,16.0,1326.106,C.O. ASKAR
1,1,155090,19-Jan,13,12,77829.22,62.0,1255.31,C.O. ASKAR
2,1,155090,18-Dec,13,12,38963.993,31.0,1256.903,C.O. ASKAR
1,3,155090,18-Dec,13,12,31279.911,21.0,1489.5195714285715,C.O. ASKAR
1,3,155090,18-Oct,13,12,20857.522,14.0,1489.823,C.O. ASKAR
1,3,155090,18-Nov,13,12,13408.407,9.0,1489.8229999999999,C.O. ASKAR
1,1,155090,19-Sep,13,12,77196.434,58.0,1330.973,C.O. ASKAR
1,6,155090,19-Jul,13,12,38898.23,25.0,1555.9292,C.O. ASKAR
3,3,155090,18-Mar,13,12,7956.636,6.0,1326.106,C.O. ASKAR
1,3,155090,18-Aug,13,12,43101.78,30.0,1436.7259999999999,C.O. ASKAR
2,2,155090,18-Nov,13,12,8034.035,5.0,1606.807,C.O. ASKAR
1,1,155090,19-Aug,13,12,86513.245,65.0,1330.973,C.O. ASKAR
1,2,155090,19-Nov,13,12,18356.129,11.0,1668.739,C.O. ASKAR
1,1,155090,18-Nov,13,12,54046.829,43.0,1256.903,C.O. ASKAR
1,1,155090,19-May,13,12,82657.532,62.0,1333.1860000000001,C.O. ASKAR
1,6,155090,19-Aug,13,12,48206.364,31.0,1555.044,C.O. ASKAR
1,3,155090,18-Jan,13,12,21217.696,16.0,1326.106,C.O. ASKAR
1,6,155090,19-Apr,13,12,20244.341,13.0,1557.257,C.O. ASKAR
1,2,155090,18-May,13,12,13440.249,9.0,1493.3609999999999,C.O. ASKAR
1,1,155090,18-Dec,13,12,50245.853,40.0,1256.1463250000002,C.O. ASKAR
1,1,155090,18-Jul,13,12,76193.984,64.0,1190.531,C.O. ASKAR
1,3,155090,18-Jun,13,12,26368.586,19.0,1387.8203157894736,C.O. ASKAR
2,1,155090,18-Nov,13,12,26394.963,21.0,1256.903,C.O. ASKAR
1,2,155090,18-Jun,13,12,16426.971,11.0,1493.361,C.O. ASKAR
1,3,155090,19-Feb,13,12,19346.99,13.0,1488.23,C.O. ASKAR
1,1,155090,19-Apr,13,12,70658.858,53.0,1333.186,C.O. ASKAR
1,2,155090,19-Mar,13,12,14447.646,9.0,1605.294,C.O. ASKAR
1,2,155090,19-Aug,13,12,21693.607,13.0,1668.739,C.O. ASKAR
1,6,155090,19-Oct,13,12,23325.66,15.0,1555.044,C.O. ASKAR
1,2,155090,18-Feb,13,12,14513.44,10.0,1451.344,C.O. ASKAR
1,3,155090,18-May,13,12,17814.602,13.0,1370.3539999999998,C.O. ASKAR
1,2,155090,18-Jul,13,12,20233.018,13.0,1556.386,C.O. ASKAR
1,1,155090,18-Oct,13,12,46505.411,37.0,1256.903,C.O. ASKAR
1,2,155090,19-Apr,13,12,21720.92,13.0,1670.84,C.O. ASKAR
1,3,155090,18-Mar,13,12,13261.06,10.0,1326.106,C.O. ASKAR
1,1,155090,18-Sep,13,12,82955.598,66.0,1256.903,C.O. ASKAR
1,1,155090,19-Oct,13,12,82520.326,62.0,1330.973,C.O. ASKAR
1,1,155090,19-Nov,13,12,57231.839,43.0,1330.973,C.O. ASKAR
1,1,155090,18-May,13,12,46090.519,41.0,1124.159,C.O. ASKAR
1,2,155090,18-Aug,13,12,26458.562,17.0,1556.3860000000002,C.O. ASKAR
2,1,155090,18-Aug,13,12,20239.027,17.0,1190.531,C.O. ASKAR
1,2,155090,18-Mar,13,12,17416.128,12.0,1451.344,C.O. ASKAR
1,3,155090,19-Jan,13,12,20835.22,14.0,1488.23,C.O. ASKAR
1,2,155090,18-Dec,13,12,16068.07,10.0,1606.807,C.O. ASKAR
1,1,155090,18-Aug,13,12,70241.329,59.0,1190.531,C.O. ASKAR
1,1,155090,18-Jun,13,12,53959.632,48.0,1124.1589999999999,C.O. ASKAR
1,6,155090,19-May,13,12,29587.883,19.0,1557.257,C.O. ASKAR
1,2,155090,18-Apr,13,12,11946.888,8.0,1493.361,C.O. ASKAR
1,3,155090,18-Apr,13,12,16444.248,12.0,1370.354,C.O. ASKAR
1,2,155090,18-Nov,13,12,8034.035,5.0,1606.807,C.O. ASKAR
1,2,155090,18-Jan,13,12,11610.752,8.0,1451.344,C.O. ASKAR
1,1,155090,18-Feb,13,12,70194.215,65.0,1079.911,C.O. ASKAR
1,1,155090,18-Apr,13,12,58456.268,52.0,1124.1589999999999,C.O. ASKAR
2,1,155090,19-Jun,13,12,26663.72,20.0,1333.1860000000001,C.O. ASKAR
1,6,155090,19-Jun,13,12,17129.827,11.0,1557.257,C.O. ASKAR
1,2,155090,19-Jul,13,12,28385.371,17.0,1669.727705882353,C.O. ASKAR
