NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,154970,18-May,9,8,8960.166,6.0,1493.3609999999999,DAHMANI
2,1,154970,18-Jul,9,8,122624.693,103.0,1190.531,DAHMANI
2,1,154970,18-Nov,9,8,120662.688,96.0,1256.903,DAHMANI
2,2,154970,18-Feb,9,8,4354.032,3.0,1451.344,DAHMANI
2,2,154970,19-Feb,9,8,4815.882,3.0,1605.2939999999999,DAHMANI
2,1,154970,19-Jun,9,8,107988.066,81.0,1333.1860000000001,DAHMANI
2,6,154970,19-May,9,8,6229.028,4.0,1557.257,DAHMANI
2,2,154970,18-Jan,9,8,10159.408,7.0,1451.3439999999998,DAHMANI
2,2,154970,18-Aug,9,8,23345.79,15.0,1556.386,DAHMANI
2,2,154970,18-Nov,9,8,11247.649,7.0,1606.807,DAHMANI
3,3,154970,18-Jun,9,8,16444.248,12.0,1370.354,DAHMANI
2,1,154970,19-May,9,8,102655.322,77.0,1333.186,DAHMANI
1,2,154970,19-Jul,9,8,6683.36,4.0,1670.84,DAHMANI
2,6,154970,19-Aug,9,8,24880.704,16.0,1555.044,DAHMANI
2,1,154970,19-Sep,9,8,106477.84,80.0,1330.973,DAHMANI
2,2,154970,19-Dec,9,8,25031.085,15.0,1668.739,DAHMANI
2,1,154970,18-Feb,9,8,12958.932,12.0,1079.911,DAHMANI
3,1,154970,18-Feb,9,8,2159.822,2.0,1079.911,DAHMANI
3,3,154970,18-Mar,9,8,7956.636,6.0,1326.106,DAHMANI
1,6,154970,19-Jul,9,8,3114.514,2.0,1557.257,DAHMANI
2,1,154970,19-Aug,9,8,107808.813,81.0,1330.973,DAHMANI
3,3,154970,18-May,9,8,12333.186,9.0,1370.354,DAHMANI
2,2,154970,18-Jun,9,8,16679.071,11.0,1516.2791818181818,DAHMANI
2,1,154970,18-Oct,9,8,86726.307,69.0,1256.903,DAHMANI
2,2,154970,19-Jan,9,8,12842.352,8.0,1605.294,DAHMANI
1,2,154970,19-Jan,9,8,8026.47,5.0,1605.294,DAHMANI
2,2,154970,19-Jun,9,8,25062.6,15.0,1670.84,DAHMANI
2,3,154970,19-May,9,8,18687.084,12.0,1557.2569999999998,DAHMANI
3,2,154970,19-Jul,9,8,6674.956,4.0,1668.739,DAHMANI
2,2,154970,18-Apr,9,8,16426.971,11.0,1493.361,DAHMANI
2,1,154970,18-May,9,8,95553.515,85.0,1124.159,DAHMANI
2,2,154970,18-Dec,9,8,11241.597,7.0,1605.9424285714285,DAHMANI
3,2,154970,18-Aug,9,8,20233.018,13.0,1556.386,DAHMANI
2,1,154970,19-Nov,9,8,98492.002,74.0,1330.973,DAHMANI
2,6,154970,19-Nov,9,8,6220.176,4.0,1555.044,DAHMANI
2,1,154970,18-Mar,9,8,63714.749,59.0,1079.911,DAHMANI
3,1,154970,18-May,9,8,13489.908,12.0,1124.1589999999999,DAHMANI
3,2,154970,18-Jun,9,8,7466.805,5.0,1493.361,DAHMANI
2,1,154970,19-Feb,9,8,90382.32,72.0,1255.3100000000002,DAHMANI
1,1,154970,19-Mar,9,8,41425.23,33.0,1255.3100000000002,DAHMANI
2,6,154970,19-Dec,9,8,26435.748,17.0,1555.0439999999999,DAHMANI
3,3,154970,18-Jan,9,8,10608.848,8.0,1326.106,DAHMANI
2,1,154970,18-Jan,9,8,37796.885,35.0,1079.911,DAHMANI
2,2,154970,18-Mar,9,8,17416.128,12.0,1451.344,DAHMANI
2,1,154970,18-Dec,9,8,87959.315,70.0,1256.561642857143,DAHMANI
3,1,154970,18-Nov,9,8,23881.157,19.0,1256.903,DAHMANI
2,6,154970,19-Jun,9,8,6229.028,4.0,1557.257,DAHMANI
2,1,154970,18-Feb,9,8,43196.44,40.0,1079.911,DAHMANI
2,1,154970,18-Apr,9,8,80939.448,72.0,1124.159,DAHMANI
3,3,154970,18-Aug,9,8,7183.63,5.0,1436.726,DAHMANI
3,3,154970,18-Sep,9,8,13408.407,9.0,1489.8229999999999,DAHMANI
3,3,154970,18-Oct,9,8,13408.407,9.0,1489.8229999999999,DAHMANI
2,2,154970,19-May,9,8,16708.4,10.0,1670.8400000000001,DAHMANI
2,6,154970,19-Oct,9,8,13995.396,9.0,1555.044,DAHMANI
2,1,154970,19-Apr,9,8,126652.67,95.0,1333.186,DAHMANI
2,2,154970,19-Sep,9,8,31706.041,19.0,1668.739,DAHMANI
2,6,154970,19-Sep,9,8,13995.396,9.0,1555.044,DAHMANI
1,3,154970,18-Feb,9,8,7956.636,6.0,1326.106,DAHMANI
2,2,154970,18-Jul,9,8,28014.948,18.0,1556.386,DAHMANI
2,2,154970,18-Sep,9,8,19180.842,12.0,1598.4035000000001,DAHMANI
3,3,154970,18-Feb,9,8,6630.53,5.0,1326.106,DAHMANI
2,1,154970,18-Jun,9,8,67719.193,59.0,1147.78293220339,DAHMANI
2,1,154970,19-Mar,9,8,56488.95,45.0,1255.31,DAHMANI
