NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,153820,19-Feb,4,48,9631.764,6.0,1605.2939999999999,DAR ALLOUCHE
2,1,153820,19-Mar,4,48,5021.24,4.0,1255.31,DAR ALLOUCHE
1,3,153820,18-Feb,4,48,2652.212,2.0,1326.106,DAR ALLOUCHE
3,3,153820,18-Dec,4,48,5959.292,4.0,1489.823,DAR ALLOUCHE
3,3,153820,18-May,4,48,2740.708,2.0,1370.354,DAR ALLOUCHE
2,1,153820,18-Aug,4,48,17857.965,15.0,1190.531,DAR ALLOUCHE
2,6,153820,19-Jun,4,48,4671.771,3.0,1557.2569999999998,DAR ALLOUCHE
2,1,153820,19-Aug,4,48,38598.217,29.0,1330.973,DAR ALLOUCHE
2,2,153820,18-Feb,4,48,5805.376,4.0,1451.344,DAR ALLOUCHE
2,2,153820,18-Aug,4,48,46691.58,30.0,1556.386,DAR ALLOUCHE
1,2,153820,18-Jul,4,48,9338.316,6.0,1556.3860000000002,DAR ALLOUCHE
1,3,153820,18-Aug,4,48,4310.178,3.0,1436.7259999999999,DAR ALLOUCHE
2,2,153820,18-Jun,4,48,24082.851,16.0,1505.1781875,DAR ALLOUCHE
3,2,153820,18-Oct,4,48,4820.421,3.0,1606.807,DAR ALLOUCHE
3,2,153820,19-Feb,4,48,4815.882,3.0,1605.2939999999999,DAR ALLOUCHE
1,2,153820,19-Mar,4,48,11237.058,7.0,1605.294,DAR ALLOUCHE
2,3,153820,19-May,4,48,4671.771,3.0,1557.2569999999998,DAR ALLOUCHE
2,6,153820,19-Dec,4,48,4665.132,3.0,1555.0439999999999,DAR ALLOUCHE
2,1,153820,19-Apr,4,48,9332.302,7.0,1333.186,DAR ALLOUCHE
3,3,153820,18-Jan,4,48,3978.318,3.0,1326.106,DAR ALLOUCHE
2,1,153820,18-Apr,4,48,25855.657,23.0,1124.1589999999999,DAR ALLOUCHE
2,1,153820,18-Oct,4,48,13825.933,11.0,1256.903,DAR ALLOUCHE
2,1,153820,19-Jan,4,48,11297.79,9.0,1255.3100000000002,DAR ALLOUCHE
2,3,153820,19-Apr,4,48,4671.771,3.0,1557.2569999999998,DAR ALLOUCHE
2,2,153820,19-May,4,48,21720.92,13.0,1670.84,DAR ALLOUCHE
2,2,153820,19-Sep,4,48,23362.346,14.0,1668.739,DAR ALLOUCHE
2,1,153820,19-Jul,4,48,35962.827,27.0,1331.9565555555555,DAR ALLOUCHE
2,6,153820,19-Aug,4,48,10885.308,7.0,1555.044,DAR ALLOUCHE
2,1,153820,18-Mar,4,48,25917.864,24.0,1079.911,DAR ALLOUCHE
1,1,153820,18-May,4,48,5620.795,5.0,1124.159,DAR ALLOUCHE
1,2,153820,18-Mar,4,48,4354.032,3.0,1451.344,DAR ALLOUCHE
2,2,153820,18-Apr,4,48,14933.61,10.0,1493.361,DAR ALLOUCHE
2,1,153820,18-Jun,4,48,18384.776,16.0,1149.0485,DAR ALLOUCHE
3,1,153820,18-Oct,4,48,5027.612,4.0,1256.903,DAR ALLOUCHE
2,2,153820,18-Nov,4,48,16068.07,10.0,1606.807,DAR ALLOUCHE
3,2,153820,19-May,4,48,5012.52,3.0,1670.8400000000001,DAR ALLOUCHE
2,2,153820,19-Mar,4,48,9631.764,6.0,1605.2939999999999,DAR ALLOUCHE
2,2,153820,19-Nov,4,48,25031.085,15.0,1668.739,DAR ALLOUCHE
2,2,153820,18-Jan,4,48,21770.16,15.0,1451.344,DAR ALLOUCHE
2,1,153820,18-Feb,4,48,5399.555,5.0,1079.911,DAR ALLOUCHE
2,2,153820,18-Jul,4,48,46691.58,30.0,1556.386,DAR ALLOUCHE
3,1,153820,19-Jan,4,48,6276.55,5.0,1255.31,DAR ALLOUCHE
2,1,153820,18-Dec,4,48,16325.402,13.0,1255.8001538461538,DAR ALLOUCHE
2,2,153820,19-May,4,48,6683.36,4.0,1670.84,DAR ALLOUCHE
2,1,153820,19-May,4,48,13331.86,10.0,1333.1860000000001,DAR ALLOUCHE
3,3,153820,18-Oct,4,48,2979.646,2.0,1489.823,DAR ALLOUCHE
2,2,153820,18-Dec,4,48,14456.724,9.0,1606.3026666666667,DAR ALLOUCHE
3,2,153820,19-Aug,4,48,10012.434,6.0,1668.7389999999998,DAR ALLOUCHE
2,1,153820,19-Nov,4,48,27950.433,21.0,1330.973,DAR ALLOUCHE
3,3,153820,18-Mar,4,48,2652.212,2.0,1326.106,DAR ALLOUCHE
1,1,153820,18-Apr,4,48,5620.795,5.0,1124.159,DAR ALLOUCHE
2,1,153820,18-Jul,4,48,26191.682,22.0,1190.531,DAR ALLOUCHE
1,2,153820,18-Aug,4,48,21789.404,14.0,1556.386,DAR ALLOUCHE
2,1,153820,19-May,4,48,6665.93,5.0,1333.1860000000001,DAR ALLOUCHE
2,6,153820,19-Sep,4,48,4665.132,3.0,1555.0439999999999,DAR ALLOUCHE
1,1,153820,18-Jul,4,48,4762.124,4.0,1190.531,DAR ALLOUCHE
1,1,153820,18-Aug,4,48,8333.717,7.0,1190.5310000000002,DAR ALLOUCHE
3,3,153820,18-Nov,4,48,2979.646,2.0,1489.823,DAR ALLOUCHE
3,1,153820,18-Jun,4,48,5620.795,5.0,1124.159,DAR ALLOUCHE
3,3,153820,18-Jun,4,48,5614.16,4.0,1403.54,DAR ALLOUCHE
2,2,153820,19-Jul,4,48,68451.915,41.0,1669.5589024390242,DAR ALLOUCHE
2,1,153820,18-Jan,4,48,19438.398,18.0,1079.911,DAR ALLOUCHE
2,2,153820,18-Mar,4,48,17416.128,12.0,1451.344,DAR ALLOUCHE
3,2,153820,18-Nov,4,48,4820.421,3.0,1606.807,DAR ALLOUCHE
2,1,153820,19-Feb,4,48,23850.89,19.0,1255.31,DAR ALLOUCHE
2,2,153820,19-Jun,4,48,21720.92,13.0,1670.84,DAR ALLOUCHE
2,1,153820,19-Sep,4,48,29281.406,22.0,1330.973,DAR ALLOUCHE
2,2,153820,19-Dec,4,48,21693.607,13.0,1668.739,DAR ALLOUCHE
2,1,153820,18-Feb,4,48,11879.021,11.0,1079.911,DAR ALLOUCHE
2,1,153820,18-Sep,4,48,21367.351,17.0,1256.903,DAR ALLOUCHE
2,1,153820,19-Oct,4,48,18633.622,14.0,1330.973,DAR ALLOUCHE
2,2,153820,19-Oct,4,48,18356.129,11.0,1668.739,DAR ALLOUCHE
3,1,153820,19-May,4,48,5332.744,4.0,1333.186,DAR ALLOUCHE
2,1,153820,19-Dec,4,48,21295.568,16.0,1330.973,DAR ALLOUCHE
2,2,153820,18-Feb,4,48,11610.752,8.0,1451.344,DAR ALLOUCHE
2,2,153820,19-Jan,4,48,19263.528,12.0,1605.2939999999999,DAR ALLOUCHE
2,1,153820,18-Nov,4,48,41477.799,33.0,1256.903,DAR ALLOUCHE
2,2,153820,18-Oct,4,48,11247.649,7.0,1606.807,DAR ALLOUCHE
2,6,153820,19-Jul,4,48,10885.308,7.0,1555.044,DAR ALLOUCHE
2,1,153820,18-May,4,48,20234.862,18.0,1124.159,DAR ALLOUCHE
2,2,153820,18-May,4,48,23893.776,16.0,1493.361,DAR ALLOUCHE
3,2,153820,18-Dec,4,48,4820.421,3.0,1606.807,DAR ALLOUCHE
2,1,153820,19-Jun,4,48,26663.72,20.0,1333.1860000000001,DAR ALLOUCHE
2,2,153820,19-Aug,4,48,80099.472,48.0,1668.7389999999998,DAR ALLOUCHE
3,3,153820,18-Jul,4,48,5746.904,4.0,1436.726,DAR ALLOUCHE
3,3,153820,18-Aug,4,48,5746.904,4.0,1436.726,DAR ALLOUCHE
2,2,153820,18-Sep,4,48,19281.684,12.0,1606.807,DAR ALLOUCHE
2,2,153820,19-Apr,4,48,11695.88,7.0,1670.84,DAR ALLOUCHE
