NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,155460,18-Apr,19,45,20907.054,14.0,1493.361,DEGACHE
1,2,155460,18-Jul,19,45,10894.702,7.0,1556.386,DEGACHE
1,1,155460,18-Jul,19,45,55954.957,47.0,1190.531,DEGACHE
1,2,155460,18-Jun,19,45,18109.407,12.0,1509.11725,DEGACHE
1,1,155460,19-Apr,19,45,107988.066,81.0,1333.1860000000001,DEGACHE
3,3,155460,18-Feb,19,45,7956.636,6.0,1326.106,DEGACHE
1,1,155460,18-Aug,19,45,46430.709,39.0,1190.5310000000002,DEGACHE
1,3,155460,18-Sep,19,45,16388.053,11.0,1489.823,DEGACHE
1,2,155460,19-Nov,19,45,18356.129,11.0,1668.739,DEGACHE
1,6,155460,19-Nov,19,45,15550.44,10.0,1555.044,DEGACHE
1,1,155460,19-Jan,19,45,79084.53,63.0,1255.31,DEGACHE
1,2,155460,18-Oct,19,45,14461.263,9.0,1606.807,DEGACHE
1,6,155460,19-May,19,45,6229.028,4.0,1557.257,DEGACHE
1,1,155460,18-Sep,19,45,82490.994,66.0,1249.8635454545456,DEGACHE
1,2,155460,18-Dec,19,45,28910.422,18.0,1606.1345555555554,DEGACHE
1,6,155460,19-Jul,19,45,12449.204,8.0,1556.1505,DEGACHE
1,1,155460,19-Nov,19,45,66548.65,50.0,1330.973,DEGACHE
1,1,155460,18-Feb,19,45,52915.639,49.0,1079.911,DEGACHE
1,2,155460,18-Mar,19,45,18867.472,13.0,1451.344,DEGACHE
2,1,155460,18-Nov,19,45,12569.03,10.0,1256.903,DEGACHE
1,2,155460,18-Nov,19,45,17674.877,11.0,1606.807,DEGACHE
1,2,155460,19-Jun,19,45,20050.08,12.0,1670.8400000000001,DEGACHE
1,2,155460,19-Sep,19,45,13349.912,8.0,1668.739,DEGACHE
1,6,155460,19-Aug,19,45,17105.484,11.0,1555.044,DEGACHE
1,2,155460,19-Dec,19,45,33374.78,20.0,1668.739,DEGACHE
1,6,155460,19-Dec,19,45,20215.572,13.0,1555.044,DEGACHE
1,2,155460,18-Feb,19,45,11610.752,8.0,1451.344,DEGACHE
1,3,155460,18-Apr,19,45,15073.894,11.0,1370.354,DEGACHE
2,2,155460,18-Jul,19,45,4669.158,3.0,1556.3860000000002,DEGACHE
1,3,155460,18-Oct,19,45,7449.115,5.0,1489.8229999999999,DEGACHE
3,1,155460,18-Nov,19,45,8798.321,7.0,1256.903,DEGACHE
1,2,155460,19-May,19,45,15037.56,9.0,1670.84,DEGACHE
1,3,155460,18-Feb,19,45,10608.848,8.0,1326.106,DEGACHE
2,2,155460,19-Jan,19,45,6421.176,4.0,1605.294,DEGACHE
1,1,155460,18-Oct,19,45,72900.374,58.0,1256.903,DEGACHE
1,3,155460,18-Jun,19,45,11095.576,8.0,1386.947,DEGACHE
1,3,155460,19-Jan,19,45,11905.84,8.0,1488.23,DEGACHE
1,1,155460,19-Feb,19,45,65276.12,52.0,1255.31,DEGACHE
1,1,155460,18-Jan,19,45,62634.838,58.0,1079.911,DEGACHE
1,3,155460,18-Mar,19,45,14587.166,11.0,1326.106,DEGACHE
1,2,155460,18-Sep,19,45,25507.228,16.0,1594.20175,DEGACHE
2,1,155460,18-Dec,19,45,8798.321,7.0,1256.903,DEGACHE
2,1,155460,18-Aug,19,45,7143.186,6.0,1190.531,DEGACHE
1,6,155460,19-Oct,19,45,18660.528,12.0,1555.0439999999999,DEGACHE
1,3,155460,18-Jan,19,45,18565.484,14.0,1326.106,DEGACHE
1,1,155460,18-Mar,19,45,101511.634,94.0,1079.911,DEGACHE
1,3,155460,18-Nov,19,45,22347.345,15.0,1489.823,DEGACHE
1,1,155460,19-May,19,45,49327.882,37.0,1333.186,DEGACHE
1,2,155460,19-Aug,19,45,18356.129,11.0,1668.739,DEGACHE
3,2,155460,18-Aug,19,45,7781.93,5.0,1556.386,DEGACHE
1,6,155460,19-Apr,19,45,23358.855,15.0,1557.257,DEGACHE
1,6,155460,19-Jun,19,45,9343.542,6.0,1557.2569999999998,DEGACHE
1,2,155460,19-Oct,19,45,20024.868,12.0,1668.7389999999998,DEGACHE
1,1,155460,19-Dec,19,45,95830.056,72.0,1330.973,DEGACHE
1,3,155460,18-Aug,19,45,7183.63,5.0,1436.726,DEGACHE
1,2,155460,19-Apr,19,45,26733.44,16.0,1670.84,DEGACHE
1,6,155460,19-Mar,19,45,8929.38,6.0,1488.2299999999998,DEGACHE
4,1,155460,18-Dec,19,45,10055.224,8.0,1256.903,DEGACHE
1,3,155460,18-Dec,19,45,16381.681,11.0,1489.2437272727273,DEGACHE
1,1,155460,18-Dec,19,45,48996.915,39.0,1256.331153846154,DEGACHE
2,1,155460,18-Jul,19,45,10714.779,9.0,1190.531,DEGACHE
1,1,155460,18-Nov,19,45,62845.15,50.0,1256.903,DEGACHE
3,1,155460,18-Aug,19,45,5952.655,5.0,1190.531,DEGACHE
3,3,155460,18-Aug,19,45,7183.63,5.0,1436.726,DEGACHE
1,2,155460,19-Feb,19,45,14447.646,9.0,1605.294,DEGACHE
1,1,155460,19-Sep,19,45,69210.596,52.0,1330.9730000000002,DEGACHE
2,1,155460,19-Jun,19,45,21330.976,16.0,1333.186,DEGACHE
1,2,155460,19-Mar,19,45,20868.822,13.0,1605.294,DEGACHE
1,1,155460,18-Apr,19,45,129278.285,115.0,1124.159,DEGACHE
1,3,155460,18-Jul,19,45,10057.082,7.0,1436.726,DEGACHE
1,2,155460,18-Aug,19,45,12451.088,8.0,1556.386,DEGACHE
1,1,155460,19-Jun,19,45,9332.302,7.0,1333.186,DEGACHE
1,2,155460,18-May,19,45,19413.693,13.0,1493.3609999999999,DEGACHE
1,1,155460,18-May,19,45,60704.586,54.0,1124.159,DEGACHE
1,3,155460,18-May,19,45,9592.478,7.0,1370.3539999999998,DEGACHE
1,1,155460,18-Jun,19,45,37760.967,33.0,1144.2717272727273,DEGACHE
1,3,155460,19-Feb,19,45,8929.38,6.0,1488.2299999999998,DEGACHE
1,6,155460,19-Sep,19,45,12440.352,8.0,1555.044,DEGACHE
1,1,155460,19-Mar,19,45,70297.36,56.0,1255.31,DEGACHE
1,1,155460,19-Jul,19,45,54631.857,41.0,1332.4843170731708,DEGACHE
1,2,155460,19-Jul,19,45,11689.577,7.0,1669.9395714285713,DEGACHE
1,2,155460,18-Jan,19,45,20318.816,14.0,1451.3439999999998,DEGACHE
1,2,155460,19-Jan,19,45,16052.94,10.0,1605.294,DEGACHE
1,1,155460,19-Aug,19,45,65217.677,49.0,1330.973,DEGACHE
1,1,155460,19-Oct,19,45,83851.299,63.0,1330.973,DEGACHE
