NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,154690,19-Jan,24,2,12553.1,10.0,1255.31,DEN DEN 
2,1,154690,18-Jun,24,2,131800.421,115.0,1146.0906173913045,DEN DEN 
2,2,154690,19-May,24,2,429405.88,257.0,1670.84,DEN DEN 
2,6,154690,19-May,24,2,15572.57,10.0,1557.257,DEN DEN 
2,1,154690,19-Aug,24,2,175688.436,132.0,1330.973,DEN DEN 
2,6,154690,19-Aug,24,2,122848.476,79.0,1555.0439999999999,DEN DEN 
3,2,154690,19-Aug,24,2,58405.865,35.0,1668.739,DEN DEN 
3,6,154690,19-Nov,24,2,48206.364,31.0,1555.044,DEN DEN 
3,3,154690,18-Mar,24,2,107414.586,81.0,1326.106,DEN DEN 
2,1,154690,18-Dec,24,2,155787.473,124.0,1256.3505887096774,DEN DEN 
3,3,154690,18-Nov,24,2,53633.628,36.0,1489.8229999999999,DEN DEN 
2,1,154690,19-Feb,24,2,166956.23,133.0,1255.3100000000002,DEN DEN 
2,2,154690,19-Jun,24,2,367584.8,220.0,1670.84,DEN DEN 
2,1,154690,18-Jan,24,2,160906.739,149.0,1079.911,DEN DEN 
3,1,154690,18-May,24,2,6744.954,6.0,1124.1589999999999,DEN DEN 
3,3,154690,19-Jan,24,2,81852.65,55.0,1488.2299999999998,DEN DEN 
1,3,154690,18-Dec,24,2,10428.761,7.0,1489.823,DEN DEN 
2,1,154690,18-Nov,24,2,71643.471,57.0,1256.903,DEN DEN 
2,2,154690,19-Mar,24,2,255241.746,159.0,1605.294,DEN DEN 
3,3,154690,18-Jan,24,2,91501.314,69.0,1326.106,DEN DEN 
1,3,154690,18-Feb,24,2,55696.452,42.0,1326.106,DEN DEN 
1,1,154690,18-Apr,24,2,52835.473,47.0,1124.1589999999999,DEN DEN 
3,3,154690,18-Apr,24,2,102776.55,75.0,1370.354,DEN DEN 
1,3,154690,18-May,24,2,8222.124,6.0,1370.354,DEN DEN 
2,2,154690,18-Sep,24,2,341947.365,213.0,1605.386690140845,DEN DEN 
3,2,154690,19-Feb,24,2,14447.646,9.0,1605.294,DEN DEN 
2,1,154690,19-Jul,24,2,175854.411,132.0,1332.2303863636364,DEN DEN 
3,3,154690,18-Feb,24,2,7956.636,6.0,1326.106,DEN DEN 
3,1,154690,18-Aug,24,2,20239.027,17.0,1190.531,DEN DEN 
3,3,154690,18-Jun,24,2,109784.522,79.0,1389.677493670886,DEN DEN 
2,2,154690,19-Apr,24,2,402672.44,241.0,1670.84,DEN DEN 
2,3,154690,19-Apr,24,2,119908.789,77.0,1557.257,DEN DEN 
2,4,154690,19-Oct,24,2,5464.536,3.0,1821.512,DEN DEN 
2,1,154690,18-Feb,24,2,36716.974,34.0,1079.911,DEN DEN 
3,3,154690,18-Feb,24,2,34478.756,26.0,1326.106,DEN DEN 
3,2,154690,18-Jan,24,2,17416.128,12.0,1451.344,DEN DEN 
1,1,154690,18-Mar,24,2,15118.754,14.0,1079.911,DEN DEN 
1,1,154690,18-May,24,2,6744.954,6.0,1124.1589999999999,DEN DEN 
1,3,154690,18-Aug,24,2,18677.438,13.0,1436.7259999999999,DEN DEN 
3,3,154690,19-Feb,24,2,114593.71,77.0,1488.23,DEN DEN 
2,3,154690,19-May,24,2,109007.99,70.0,1557.257,DEN DEN 
3,3,154690,18-Dec,24,2,90845.75,61.0,1489.2745901639344,DEN DEN 
1,2,154690,19-Jan,24,2,69027.642,43.0,1605.294,DEN DEN 
1,3,154690,19-Jan,24,2,23811.68,16.0,1488.23,DEN DEN 
1,2,154690,18-Aug,24,2,101165.09,65.0,1556.386,DEN DEN 
3,2,154690,18-Nov,24,2,9640.842,6.0,1606.807,DEN DEN 
2,1,154690,19-Nov,24,2,179681.355,135.0,1330.9730000000002,DEN DEN 
3,2,154690,18-Jul,24,2,9338.316,6.0,1556.3860000000002,DEN DEN 
2,2,154690,18-Dec,24,2,334105.407,208.0,1606.2759951923076,DEN DEN 
2,2,154690,19-Oct,24,2,422190.967,253.0,1668.739,DEN DEN 
2,2,154690,19-Aug,24,2,350435.19,210.0,1668.739,DEN DEN 
2,1,154690,19-Dec,24,2,186336.22,140.0,1330.973,DEN DEN 
2,2,154690,18-Jan,24,2,323649.712,223.0,1451.344,DEN DEN 
3,3,154690,18-May,24,2,86332.302,63.0,1370.354,DEN DEN 
2,2,154690,18-Apr,24,2,367366.806,246.0,1493.3609999999999,DEN DEN 
3,1,154690,18-Apr,24,2,11241.59,10.0,1124.159,DEN DEN 
3,2,154690,19-Jan,24,2,25684.704,16.0,1605.294,DEN DEN 
2,2,154690,18-Jun,24,2,346076.294,229.0,1511.250192139738,DEN DEN 
1,3,154690,18-Oct,24,2,23837.168,16.0,1489.823,DEN DEN 
2,6,154690,19-Jul,24,2,129168.237,83.0,1556.2438192771083,DEN DEN 
2,2,154690,18-Mar,24,2,341065.84,235.0,1451.344,DEN DEN 
2,1,154690,18-May,24,2,140519.875,125.0,1124.159,DEN DEN 
3,3,154690,18-Jul,24,2,114938.08,80.0,1436.726,DEN DEN 
3,3,154690,18-Sep,24,2,117430.532,79.0,1486.4624303797468,DEN DEN 
3,3,154690,18-Oct,24,2,92369.026,62.0,1489.8229999999999,DEN DEN 
3,2,154690,18-Oct,24,2,38563.368,24.0,1606.807,DEN DEN 
2,2,154690,19-Feb,24,2,305005.86,190.0,1605.2939999999999,DEN DEN 
1,2,154690,19-Mar,24,2,115581.168,72.0,1605.294,DEN DEN 
2,1,154690,19-Mar,24,2,153147.82,122.0,1255.31,DEN DEN 
2,1,154690,18-Mar,24,2,149027.718,138.0,1079.911,DEN DEN 
2,1,154690,18-Feb,24,2,93952.257,87.0,1079.911,DEN DEN 
2,2,154690,18-May,24,2,352433.196,236.0,1493.3609999999999,DEN DEN 
3,3,154690,18-Aug,24,2,94823.916,66.0,1436.7259999999999,DEN DEN 
2,1,154690,18-Aug,24,2,147625.844,124.0,1190.5310000000002,DEN DEN 
2,1,154690,19-May,24,2,183979.668,138.0,1333.1860000000001,DEN DEN 
2,6,154690,19-Jun,24,2,118351.532,76.0,1557.257,DEN DEN 
3,6,154690,19-Mar,24,2,116081.94,78.0,1488.23,DEN DEN 
2,2,154690,19-Dec,24,2,403834.838,242.0,1668.739,DEN DEN 
2,4,154690,19-Dec,24,2,5464.536,3.0,1821.512,DEN DEN 
2,2,154690,18-Feb,24,2,85629.296,59.0,1451.344,DEN DEN 
2,2,154690,19-Jan,24,2,239188.806,149.0,1605.294,DEN DEN 
2,1,154690,18-Oct,24,2,154599.069,123.0,1256.903,DEN DEN 
1,1,154690,18-Dec,24,2,15082.836,12.0,1256.903,DEN DEN 
1,2,154690,19-Feb,24,2,41737.644,26.0,1605.294,DEN DEN 
1,1,154690,19-Mar,24,2,20084.96,16.0,1255.31,DEN DEN 
2,1,154690,19-Sep,24,2,170364.544,128.0,1330.973,DEN DEN 
2,6,154690,19-Sep,24,2,111963.168,72.0,1555.044,DEN DEN 
2,2,154690,18-Aug,24,2,253690.918,163.0,1556.386,DEN DEN 
3,2,154690,19-Sep,24,2,20024.868,12.0,1668.7389999999998,DEN DEN 
2,1,154690,18-Apr,24,2,102298.469,91.0,1124.1589999999999,DEN DEN 
1,2,154690,18-Dec,24,2,36956.561,23.0,1606.807,DEN DEN 
