NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,155750,18-Dec,1,50,27315.719,17.0,1606.807,DJEBEL JELLOUD
3,2,155750,18-Aug,1,50,29571.334,19.0,1556.386,DJEBEL JELLOUD
2,1,155750,18-Sep,1,50,122114.542,98.0,1246.0667551020408,DJEBEL JELLOUD
1,3,155750,18-Oct,1,50,7449.115,5.0,1489.8229999999999,DJEBEL JELLOUD
1,2,155750,19-Feb,1,50,19263.528,12.0,1605.2939999999999,DJEBEL JELLOUD
2,1,155750,19-Feb,1,50,156913.75,125.0,1255.31,DJEBEL JELLOUD
2,1,155750,19-Apr,1,50,125319.484,94.0,1333.186,DJEBEL JELLOUD
3,3,155750,18-Apr,1,50,47962.39,35.0,1370.354,DJEBEL JELLOUD
2,2,155750,18-Dec,1,50,134930.937,84.0,1606.3206785714287,DJEBEL JELLOUD
2,1,155750,18-Jul,1,50,139292.127,117.0,1190.5310000000002,DJEBEL JELLOUD
2,2,155750,19-Nov,1,50,120149.208,72.0,1668.739,DJEBEL JELLOUD
2,6,155750,19-Dec,1,50,43541.232,28.0,1555.044,DJEBEL JELLOUD
2,2,155750,18-Jul,1,50,126067.266,81.0,1556.386,DJEBEL JELLOUD
2,2,155750,18-Oct,1,50,134971.788,84.0,1606.807,DJEBEL JELLOUD
3,3,155750,18-Nov,1,50,67042.035,45.0,1489.823,DJEBEL JELLOUD
2,2,155750,18-Feb,1,50,107399.456,74.0,1451.344,DJEBEL JELLOUD
2,2,155750,19-Aug,1,50,100124.34,60.0,1668.739,DJEBEL JELLOUD
2,2,155750,19-Dec,1,50,120149.208,72.0,1668.739,DJEBEL JELLOUD
2,1,155750,18-Jan,1,50,84233.058,78.0,1079.911,DJEBEL JELLOUD
3,1,155750,19-May,1,50,37329.208,28.0,1333.186,DJEBEL JELLOUD
2,3,155750,19-May,1,50,52946.738,34.0,1557.2569999999998,DJEBEL JELLOUD
2,6,155750,19-Nov,1,50,35766.012,23.0,1555.044,DJEBEL JELLOUD
1,2,155750,19-Jan,1,50,24079.41,15.0,1605.294,DJEBEL JELLOUD
2,1,155750,19-Jan,1,50,116743.83,93.0,1255.31,DJEBEL JELLOUD
2,1,155750,18-Aug,1,50,115481.507,97.0,1190.531,DJEBEL JELLOUD
3,3,155750,18-Aug,1,50,45975.232,32.0,1436.726,DJEBEL JELLOUD
3,3,155750,19-Jan,1,50,50599.82,34.0,1488.23,DJEBEL JELLOUD
2,1,155750,19-Mar,1,50,131807.55,105.0,1255.31,DJEBEL JELLOUD
3,6,155750,19-Nov,1,50,9330.264,6.0,1555.0439999999999,DJEBEL JELLOUD
3,3,155750,18-Mar,1,50,57022.558,43.0,1326.106,DJEBEL JELLOUD
2,1,155750,18-Mar,1,50,110150.922,102.0,1079.911,DJEBEL JELLOUD
1,1,155750,18-May,1,50,14614.067,13.0,1124.1589999999999,DJEBEL JELLOUD
3,3,155750,18-Jul,1,50,53158.862,37.0,1436.726,DJEBEL JELLOUD
1,2,155750,18-Aug,1,50,12451.088,8.0,1556.386,DJEBEL JELLOUD
3,3,155750,18-Oct,1,50,47674.336,32.0,1489.823,DJEBEL JELLOUD
2,6,155750,19-Jun,1,50,40488.682,26.0,1557.257,DJEBEL JELLOUD
2,2,155750,19-Apr,1,50,113617.12,68.0,1670.84,DJEBEL JELLOUD
2,1,155750,19-Dec,1,50,126442.435,95.0,1330.973,DJEBEL JELLOUD
2,1,155750,18-May,1,50,120285.013,107.0,1124.159,DJEBEL JELLOUD
2,2,155750,18-Aug,1,50,96495.932,62.0,1556.386,DJEBEL JELLOUD
2,6,155750,19-Jul,1,50,51354.073,33.0,1556.18403030303,DJEBEL JELLOUD
1,3,155750,19-Jan,1,50,13394.07,9.0,1488.23,DJEBEL JELLOUD
3,3,155750,18-Sep,1,50,59274.338,40.0,1481.8584500000002,DJEBEL JELLOUD
2,1,155750,18-Nov,1,50,144543.845,115.0,1256.903,DJEBEL JELLOUD
2,2,155750,18-Nov,1,50,138185.402,86.0,1606.807,DJEBEL JELLOUD
1,1,155750,18-Jun,1,50,20234.862,18.0,1124.159,DJEBEL JELLOUD
3,3,155750,19-Feb,1,50,49111.59,33.0,1488.2299999999998,DJEBEL JELLOUD
2,2,155750,19-Feb,1,50,136449.99,85.0,1605.2939999999999,DJEBEL JELLOUD
2,1,155750,19-Oct,1,50,125111.462,94.0,1330.973,DJEBEL JELLOUD
2,2,155750,19-Jun,1,50,123642.16,74.0,1670.8400000000001,DJEBEL JELLOUD
2,3,155750,19-Apr,1,50,56061.252,36.0,1557.257,DJEBEL JELLOUD
1,2,155750,19-Mar,1,50,65817.054,41.0,1605.294,DJEBEL JELLOUD
3,6,155750,19-Mar,1,50,26788.14,18.0,1488.23,DJEBEL JELLOUD
2,1,155750,19-Aug,1,50,123780.489,93.0,1330.973,DJEBEL JELLOUD
2,2,155750,19-Jul,1,50,130241.48,78.0,1669.762564102564,DJEBEL JELLOUD
2,2,155750,18-Jan,1,50,120461.552,83.0,1451.344,DJEBEL JELLOUD
3,3,155750,18-May,1,50,45221.682,33.0,1370.354,DJEBEL JELLOUD
3,2,155750,19-Aug,1,50,20024.868,12.0,1668.7389999999998,DJEBEL JELLOUD
2,1,155750,19-Sep,1,50,133097.3,100.0,1330.973,DJEBEL JELLOUD
1,1,155750,18-Apr,1,50,22483.18,20.0,1124.159,DJEBEL JELLOUD
2,1,155750,18-Apr,1,50,80939.448,72.0,1124.159,DJEBEL JELLOUD
2,1,155750,18-Dec,1,50,153291.19,122.0,1256.4851639344263,DJEBEL JELLOUD
1,1,155750,18-Dec,1,50,12569.03,10.0,1256.903,DJEBEL JELLOUD
2,2,155750,19-Jan,1,50,109159.992,68.0,1605.2939999999999,DJEBEL JELLOUD
2,2,155750,19-Sep,1,50,78430.733,47.0,1668.7389999999998,DJEBEL JELLOUD
1,3,155750,18-Feb,1,50,18565.484,14.0,1326.106,DJEBEL JELLOUD
2,2,155750,18-Mar,1,50,145134.4,100.0,1451.344,DJEBEL JELLOUD
1,3,155750,18-Aug,1,50,7183.63,5.0,1436.726,DJEBEL JELLOUD
2,1,155750,18-Jun,1,50,101049.896,88.0,1148.2942727272728,DJEBEL JELLOUD
3,1,155750,18-Sep,1,50,20110.448,16.0,1256.903,DJEBEL JELLOUD
2,1,155750,18-Oct,1,50,175966.42,140.0,1256.903,DJEBEL JELLOUD
2,2,155750,19-Oct,1,50,143511.554,86.0,1668.739,DJEBEL JELLOUD
2,1,155750,19-Jul,1,50,130526.087,98.0,1331.8988469387755,DJEBEL JELLOUD
2,6,155750,19-Aug,1,50,46651.32,30.0,1555.044,DJEBEL JELLOUD
