NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,151560,18-Feb,4,42,2902.688,2.0,1451.344,DOUALA
2,1,151560,18-Mar,4,42,29157.597,27.0,1079.911,DOUALA
3,1,151560,18-May,4,42,4496.636,4.0,1124.159,DOUALA
2,2,151560,18-Sep,4,42,33591.684,21.0,1599.604,DOUALA
2,2,151560,18-Oct,4,42,22495.298,14.0,1606.807,DOUALA
1,2,151560,18-Jul,4,42,9338.316,6.0,1556.3860000000002,DOUALA
2,1,151560,19-Mar,4,42,33893.37,27.0,1255.3100000000002,DOUALA
2,2,151560,19-Mar,4,42,14447.646,9.0,1605.294,DOUALA
2,1,151560,19-May,4,42,11998.674,9.0,1333.1860000000001,DOUALA
2,2,151560,18-Dec,4,42,19272.606,12.0,1606.0505,DOUALA
2,2,151560,19-Apr,4,42,30075.12,18.0,1670.84,DOUALA
2,1,151560,18-Jan,4,42,14038.843,13.0,1079.911,DOUALA
1,2,151560,18-Mar,4,42,4354.032,3.0,1451.344,DOUALA
2,2,151560,19-Jan,4,42,22474.116,14.0,1605.294,DOUALA
2,2,151560,18-Jul,4,42,31127.72,20.0,1556.386,DOUALA
2,1,151560,18-Oct,4,42,36450.187,29.0,1256.903,DOUALA
1,1,151560,18-Dec,4,42,5027.612,4.0,1256.903,DOUALA
2,1,151560,19-May,4,42,37329.208,28.0,1333.186,DOUALA
1,2,151560,19-Feb,4,42,3210.588,2.0,1605.294,DOUALA
2,2,151560,18-Apr,4,42,25387.137,17.0,1493.3609999999999,DOUALA
1,1,151560,18-Mar,4,42,4319.644,4.0,1079.911,DOUALA
1,2,151560,18-Apr,4,42,11946.888,8.0,1493.361,DOUALA
2,1,151560,19-Jan,4,42,45191.16,36.0,1255.3100000000002,DOUALA
1,2,151560,18-Jun,4,42,3112.772,2.0,1556.386,DOUALA
2,1,151560,19-Jun,4,42,58660.184,44.0,1333.186,DOUALA
2,2,151560,19-Oct,4,42,35043.519,21.0,1668.739,DOUALA
2,2,151560,19-Jul,4,42,40068.645,24.0,1669.5268749999998,DOUALA
2,1,151560,19-Aug,4,42,70541.569,53.0,1330.973,DOUALA
2,2,151560,18-Jan,4,42,5805.376,4.0,1451.344,DOUALA
1,1,151560,18-Apr,4,42,20234.862,18.0,1124.159,DOUALA
2,1,151560,18-Sep,4,42,44983.02,36.0,1249.5283333333332,DOUALA
3,1,151560,18-Oct,4,42,5027.612,4.0,1256.903,DOUALA
1,1,151560,18-Jun,4,42,3571.593,3.0,1190.531,DOUALA
2,1,151560,19-Nov,4,42,49246.001,37.0,1330.973,DOUALA
2,1,151560,18-Apr,4,42,40469.724,36.0,1124.159,DOUALA
3,1,151560,18-Sep,4,42,8798.321,7.0,1256.903,DOUALA
1,1,151560,19-Mar,4,42,21340.27,17.0,1255.31,DOUALA
2,2,151560,19-Aug,4,42,50062.17,30.0,1668.739,DOUALA
2,2,151560,19-Dec,4,42,30037.302,18.0,1668.739,DOUALA
2,1,151560,18-Feb,4,42,4319.644,4.0,1079.911,DOUALA
2,1,151560,18-May,4,42,37097.247,33.0,1124.159,DOUALA
1,2,151560,18-May,4,42,5973.444,4.0,1493.361,DOUALA
1,1,151560,18-Aug,4,42,4762.124,4.0,1190.531,DOUALA
1,1,151560,18-Oct,4,42,7541.418,6.0,1256.903,DOUALA
2,2,151560,19-Sep,4,42,35043.519,21.0,1668.739,DOUALA
2,1,151560,19-Apr,4,42,65326.114,49.0,1333.186,DOUALA
2,1,151560,18-Jun,4,42,49068.929,43.0,1141.1378837209302,DOUALA
1,2,151560,18-Oct,4,42,6427.228,4.0,1606.807,DOUALA
2,1,151560,19-Feb,4,42,42680.54,34.0,1255.31,DOUALA
1,1,151560,19-Feb,4,42,3765.93,3.0,1255.31,DOUALA
