NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,155290,18-Mar,20,31,29026.88,20.0,1451.344,DOUZ*
1,3,155290,19-Jan,20,31,11905.84,8.0,1488.23,DOUZ*
3,3,155290,19-Jan,20,31,5952.92,4.0,1488.23,DOUZ*
1,3,155290,18-Jul,20,31,18677.438,13.0,1436.7259999999999,DOUZ*
1,2,155290,18-Dec,20,31,40153.532,25.0,1606.14128,DOUZ*
1,1,155290,19-Mar,20,31,40169.92,32.0,1255.31,DOUZ*
1,2,155290,19-Oct,20,31,28368.563,17.0,1668.7389999999998,DOUZ*
1,6,155290,19-Nov,20,31,20215.572,13.0,1555.044,DOUZ*
1,2,155290,18-Jan,20,31,15964.784,11.0,1451.344,DOUZ*
1,1,155290,18-Oct,20,31,37707.09,30.0,1256.9029999999998,DOUZ*
1,1,155290,18-Nov,20,31,43991.605,35.0,1256.903,DOUZ*
1,2,155290,19-Feb,20,31,25684.704,16.0,1605.294,DOUZ*
1,2,155290,19-Apr,20,31,26733.44,16.0,1670.84,DOUZ*
1,2,155290,19-Aug,20,31,28368.563,17.0,1668.7389999999998,DOUZ*
1,3,155290,18-Feb,20,31,14587.166,11.0,1326.106,DOUZ*
1,2,155290,18-Jul,20,31,20233.018,13.0,1556.386,DOUZ*
1,2,155290,18-Sep,20,31,19281.684,12.0,1606.807,DOUZ*
1,1,155290,19-Sep,20,31,18633.622,14.0,1330.973,DOUZ*
1,3,155290,18-Jan,20,31,13261.06,10.0,1326.106,DOUZ*
1,1,155290,19-Jan,20,31,20084.96,16.0,1255.31,DOUZ*
2,2,155290,18-Dec,20,31,6427.228,4.0,1606.807,DOUZ*
1,1,155290,19-May,20,31,31996.464,24.0,1333.186,DOUZ*
1,2,155290,19-May,20,31,21720.92,13.0,1670.84,DOUZ*
1,2,155290,19-Jul,20,31,15031.257,9.0,1670.1396666666667,DOUZ*
1,6,155290,19-Jul,20,31,12449.204,8.0,1556.1505,DOUZ*
1,6,155290,19-Aug,20,31,18660.528,12.0,1555.0439999999999,DOUZ*
1,1,155290,18-Mar,20,31,59395.105,55.0,1079.911,DOUZ*
1,1,155290,18-Apr,20,31,34848.929,31.0,1124.1589999999999,DOUZ*
1,1,155290,18-Jan,20,31,30237.508,28.0,1079.911,DOUZ*
1,1,155290,18-Jun,20,31,21359.021,19.0,1124.159,DOUZ*
1,1,155290,19-Apr,20,31,34662.836,26.0,1333.1860000000001,DOUZ*
1,2,155290,19-Dec,20,31,38380.997,23.0,1668.739,DOUZ*
1,1,155290,19-Jul,20,31,30650.0,23.0,1332.608695652174,DOUZ*
1,1,155290,19-Oct,20,31,45253.082,34.0,1330.973,DOUZ*
1,2,155290,18-Aug,20,31,37353.264,24.0,1556.3860000000002,DOUZ*
2,2,155290,18-Aug,20,31,6225.544,4.0,1556.386,DOUZ*
1,3,155290,18-Jun,20,31,8222.124,6.0,1370.354,DOUZ*
1,6,155290,19-Jun,20,31,21801.598,14.0,1557.257,DOUZ*
1,6,155290,19-Mar,20,31,19346.99,13.0,1488.23,DOUZ*
1,3,155290,18-Dec,20,31,25323.805,17.0,1489.635588235294,DOUZ*
2,1,155290,18-Aug,20,31,10714.779,9.0,1190.531,DOUZ*
1,3,155290,18-Mar,20,31,23869.908,18.0,1326.106,DOUZ*
1,2,155290,18-Nov,20,31,20888.491,13.0,1606.8070000000002,DOUZ*
1,1,155290,19-Dec,20,31,59893.785,45.0,1330.9730000000002,DOUZ*
1,2,155290,18-Feb,20,31,27575.536,19.0,1451.344,DOUZ*
1,1,155290,18-May,20,31,35973.088,32.0,1124.159,DOUZ*
1,1,155290,18-Dec,20,31,57795.236,46.0,1256.4181739130433,DOUZ*
1,1,155290,18-Sep,20,31,41477.799,33.0,1256.903,DOUZ*
1,3,155290,18-Oct,20,31,16388.053,11.0,1489.823,DOUZ*
1,1,155290,18-Feb,20,31,44276.351,41.0,1079.911,DOUZ*
1,3,155290,18-May,20,31,13703.54,10.0,1370.354,DOUZ*
1,2,155290,19-Jan,20,31,12842.352,8.0,1605.294,DOUZ*
1,3,155290,18-Aug,20,31,12930.534,9.0,1436.7259999999999,DOUZ*
1,2,155290,19-Jun,20,31,28404.28,17.0,1670.84,DOUZ*
1,2,155290,19-Nov,20,31,31706.041,19.0,1668.739,DOUZ*
3,3,155290,18-Jan,20,31,7956.636,6.0,1326.106,DOUZ*
1,3,155290,18-Apr,20,31,13703.54,10.0,1370.354,DOUZ*
1,2,155290,18-May,20,31,19413.693,13.0,1493.3609999999999,DOUZ*
2,2,155290,19-Jan,20,31,9631.764,6.0,1605.2939999999999,DOUZ*
1,3,155290,18-Nov,20,31,19367.699,13.0,1489.823,DOUZ*
1,6,155290,19-May,20,31,10900.799,7.0,1557.257,DOUZ*
2,1,155290,19-Jan,20,31,3765.93,3.0,1255.31,DOUZ*
1,3,155290,18-Sep,20,31,13408.407,9.0,1489.8229999999999,DOUZ*
1,2,155290,18-Oct,20,31,22495.298,14.0,1606.807,DOUZ*
1,1,155290,19-Feb,20,31,51467.71,41.0,1255.31,DOUZ*
1,6,155290,19-Sep,20,31,10885.308,7.0,1555.044,DOUZ*
1,1,155290,19-Jun,20,31,19997.79,15.0,1333.1860000000001,DOUZ*
1,2,155290,19-Mar,20,31,25684.704,16.0,1605.294,DOUZ*
1,1,155290,19-Aug,20,31,26619.46,20.0,1330.973,DOUZ*
1,6,155290,19-Oct,20,31,20215.572,13.0,1555.044,DOUZ*
1,1,155290,18-Jul,20,31,64288.674,54.0,1190.531,DOUZ*
2,1,155290,18-Dec,20,31,16339.739,13.0,1256.903,DOUZ*
1,1,155290,19-Nov,20,31,47915.028,36.0,1330.973,DOUZ*
1,2,155290,18-Jun,20,31,14933.61,10.0,1493.361,DOUZ*
1,6,155290,19-Apr,20,31,17129.827,11.0,1557.257,DOUZ*
1,2,155290,19-Sep,20,31,20024.868,12.0,1668.7389999999998,DOUZ*
1,2,155290,18-Apr,20,31,17920.332,12.0,1493.3609999999999,DOUZ*
1,1,155290,18-Aug,20,31,16667.434,14.0,1190.5310000000002,DOUZ*
1,3,155290,19-Feb,20,31,19346.99,13.0,1488.23,DOUZ*
2,1,155290,19-Jun,20,31,18664.604,14.0,1333.186,DOUZ*
1,6,155290,19-Dec,20,31,27990.792,18.0,1555.044,DOUZ*
