NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,153490,18-Aug,11,42,17120.246,11.0,1556.386,EL ALA
2,3,153490,19-May,11,42,12458.056,8.0,1557.257,EL ALA
2,1,153490,19-Jul,11,42,167813.248,126.0,1331.8511746031745,EL ALA
1,3,153490,18-Apr,11,42,2740.708,2.0,1370.354,EL ALA
3,3,153490,18-Apr,11,42,5481.416,4.0,1370.354,EL ALA
1,3,153490,18-May,11,42,4111.062,3.0,1370.354,EL ALA
2,2,153490,19-Jan,11,42,6421.176,4.0,1605.294,EL ALA
3,3,153490,18-Aug,11,42,11493.808,8.0,1436.726,EL ALA
1,2,153490,18-Jun,11,42,19728.818,13.0,1517.6013846153846,EL ALA
1,3,153490,18-Jun,11,42,5481.416,4.0,1370.354,EL ALA
1,1,153490,18-Dec,11,42,20110.448,16.0,1256.903,EL ALA
1,1,153490,18-Jul,11,42,95242.48,80.0,1190.531,EL ALA
2,2,153490,18-Sep,11,42,6427.228,4.0,1606.807,EL ALA
2,2,153490,19-Apr,11,42,16708.4,10.0,1670.8400000000001,EL ALA
2,2,153490,19-Mar,11,42,8026.47,5.0,1605.294,EL ALA
2,1,153490,19-Nov,11,42,169033.571,127.0,1330.973,EL ALA
2,6,153490,19-Nov,11,42,12440.352,8.0,1555.044,EL ALA
1,1,153490,18-Jan,11,42,63714.749,59.0,1079.911,EL ALA
2,2,153490,18-Mar,11,42,4354.032,3.0,1451.344,EL ALA
3,3,153490,18-Jul,11,42,14367.26,10.0,1436.726,EL ALA
1,1,153490,18-Sep,11,42,152085.263,121.0,1256.903,EL ALA
1,2,153490,18-Sep,11,42,11247.649,7.0,1606.807,EL ALA
1,3,153490,18-Oct,11,42,11918.584,8.0,1489.823,EL ALA
2,1,153490,19-Feb,11,42,134318.17,107.0,1255.3100000000002,EL ALA
1,1,153490,19-Feb,11,42,41425.23,33.0,1255.3100000000002,EL ALA
2,1,153490,19-May,11,42,174647.366,131.0,1333.1860000000001,EL ALA
2,1,153490,19-Oct,11,42,207631.788,156.0,1330.973,EL ALA
2,1,153490,19-Aug,11,42,226265.41,170.0,1330.973,EL ALA
2,2,153490,19-Nov,11,42,16687.39,10.0,1668.739,EL ALA
2,2,153490,18-Jan,11,42,13062.096,9.0,1451.344,EL ALA
2,1,153490,18-Apr,11,42,79815.289,71.0,1124.159,EL ALA
1,2,153490,18-Apr,11,42,4480.083,3.0,1493.3609999999999,EL ALA
2,1,153490,18-Nov,11,42,201104.48,160.0,1256.903,EL ALA
2,1,153490,18-Jul,11,42,23810.62,20.0,1190.531,EL ALA
2,2,153490,18-Aug,11,42,7781.93,5.0,1556.386,EL ALA
1,1,153490,18-Jun,11,42,86697.152,76.0,1140.752,EL ALA
2,6,153490,19-Oct,11,42,9330.264,6.0,1555.0439999999999,EL ALA
1,1,153490,18-Feb,11,42,75593.77,70.0,1079.911,EL ALA
2,1,153490,18-May,11,42,24731.498,22.0,1124.1589999999999,EL ALA
3,3,153490,19-Jan,11,42,11905.84,8.0,1488.23,EL ALA
2,1,153490,19-Mar,11,42,110467.28,88.0,1255.31,EL ALA
2,1,153490,19-Sep,11,42,177019.409,133.0,1330.9730000000002,EL ALA
1,2,153490,19-Mar,11,42,6421.176,4.0,1605.294,EL ALA
2,1,153490,19-Apr,11,42,170647.808,128.0,1333.186,EL ALA
2,2,153490,19-Jun,11,42,15037.56,9.0,1670.84,EL ALA
3,6,153490,19-Mar,11,42,7441.15,5.0,1488.23,EL ALA
3,3,153490,18-Mar,11,42,5304.424,4.0,1326.106,EL ALA
1,1,153490,18-May,11,42,145016.511,129.0,1124.1589999999999,EL ALA
2,1,153490,18-Aug,11,42,103576.197,87.0,1190.531,EL ALA
2,2,153490,18-Oct,11,42,8034.035,5.0,1606.807,EL ALA
2,2,153490,19-Jul,11,42,18366.634,11.0,1669.6939999999997,EL ALA
2,2,153490,19-Dec,11,42,15018.651,9.0,1668.739,EL ALA
1,3,153490,18-Feb,11,42,9282.742,7.0,1326.106,EL ALA
2,1,153490,19-Jan,11,42,143105.34,114.0,1255.31,EL ALA
2,1,153490,18-Jun,11,42,111826.882,98.0,1141.0906326530612,EL ALA
1,2,153490,18-Oct,11,42,8034.035,5.0,1606.807,EL ALA
2,2,153490,18-Dec,11,42,3213.614,2.0,1606.807,EL ALA
3,1,153490,18-Nov,11,42,8798.321,7.0,1256.903,EL ALA
3,2,153490,18-Dec,11,42,8034.035,5.0,1606.807,EL ALA
2,2,153490,19-Feb,11,42,14447.646,9.0,1605.294,EL ALA
2,6,153490,19-Jun,11,42,12458.056,8.0,1557.257,EL ALA
2,6,153490,19-Aug,11,42,18660.528,12.0,1555.0439999999999,EL ALA
2,1,153490,18-Jan,11,42,142548.252,132.0,1079.911,EL ALA
2,1,153490,18-Mar,11,42,51835.728,48.0,1079.911,EL ALA
3,2,153490,18-Jul,11,42,7781.93,5.0,1556.386,EL ALA
2,2,153490,18-Jul,11,42,6225.544,4.0,1556.386,EL ALA
2,1,153490,18-Dec,11,42,167083.67,133.0,1256.2681954887219,EL ALA
1,2,153490,19-Aug,11,42,6674.956,4.0,1668.739,EL ALA
3,3,153490,18-Jan,11,42,7956.636,6.0,1326.106,EL ALA
3,1,153490,18-Jul,11,42,38096.992,32.0,1190.531,EL ALA
2,1,153490,18-Oct,11,42,61588.247,49.0,1256.903,EL ALA
2,1,153490,18-Feb,11,42,115550.477,107.0,1079.911,EL ALA
1,2,153490,18-Feb,11,42,5805.376,4.0,1451.344,EL ALA
1,3,153490,18-Mar,11,42,3978.318,3.0,1326.106,EL ALA
1,2,153490,18-May,11,42,13440.249,9.0,1493.3609999999999,EL ALA
2,1,153490,18-Sep,11,42,86390.282,70.0,1234.1468857142859,EL ALA
3,3,153490,18-Sep,11,42,7449.115,5.0,1489.8229999999999,EL ALA
3,3,153490,18-Jun,11,42,6851.77,5.0,1370.354,EL ALA
2,6,153490,19-Sep,11,42,15550.44,10.0,1555.044,EL ALA
2,6,153490,19-Dec,11,42,18660.528,12.0,1555.0439999999999,EL ALA
1,1,153490,18-Oct,11,42,139516.233,111.0,1256.903,EL ALA
2,2,153490,19-Sep,11,42,16687.39,10.0,1668.739,EL ALA
2,2,153490,19-Aug,11,42,15018.651,9.0,1668.739,EL ALA
1,1,153490,18-Apr,11,42,130402.444,116.0,1124.159,EL ALA
1,2,153490,19-Jan,11,42,9631.764,6.0,1605.2939999999999,EL ALA
2,3,153490,19-Apr,11,42,14015.313,9.0,1557.257,EL ALA
1,1,153490,19-Mar,11,42,69042.05,55.0,1255.31,EL ALA
1,1,153490,19-Aug,11,42,0.0,0.0,,EL ALA
1,2,153490,18-Mar,11,42,11610.752,8.0,1451.344,EL ALA
3,3,153490,18-Dec,11,42,5959.292,4.0,1489.823,EL ALA
2,2,153490,18-Nov,11,42,16068.07,10.0,1606.807,EL ALA
1,1,153490,18-Aug,11,42,100004.604,84.0,1190.5310000000002,EL ALA
3,3,153490,18-Nov,11,42,7449.115,5.0,1489.8229999999999,EL ALA
2,1,153490,19-Jun,11,42,170647.808,128.0,1333.186,EL ALA
2,2,153490,19-May,11,42,20050.08,12.0,1670.8400000000001,EL ALA
2,6,153490,19-Jul,11,42,10885.308,7.0,1555.044,EL ALA
2,1,153490,19-Dec,11,42,232920.275,175.0,1330.973,EL ALA
2,2,153490,18-Feb,11,42,5805.376,4.0,1451.344,EL ALA
1,1,153490,18-Mar,11,42,137148.697,127.0,1079.9109999999998,EL ALA
2,2,153490,18-Apr,11,42,7466.805,5.0,1493.361,EL ALA
3,1,153490,19-Jan,11,42,32638.06,26.0,1255.31,EL ALA
3,3,153490,19-Feb,11,42,7441.15,5.0,1488.23,EL ALA
2,2,153490,19-Oct,11,42,16687.39,10.0,1668.739,EL ALA
