NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,1,155130,18-Feb,1,65,160906.739,149.0,1079.911,EL AOUINA
2,2,155130,18-May,1,65,815375.106,546.0,1493.361,EL AOUINA
3,3,155130,18-Nov,1,65,169839.822,114.0,1489.8229999999999,EL AOUINA
3,4,155130,18-Jul,1,65,5097.732,3.0,1699.244,EL AOUINA
3,1,155130,18-Nov,1,65,36450.187,29.0,1256.903,EL AOUINA
1,1,155130,18-Jun,1,65,7869.113,7.0,1124.159,EL AOUINA
1,2,155130,19-Feb,1,65,62606.466,39.0,1605.294,EL AOUINA
2,4,155130,19-Jun,1,65,5470.839,3.0,1823.613,EL AOUINA
2,4,155130,19-Mar,1,65,5248.992,3.0,1749.664,EL AOUINA
2,1,155130,19-Nov,1,65,274180.438,206.0,1330.9730000000002,EL AOUINA
2,6,155130,19-Dec,1,65,138398.916,89.0,1555.0439999999999,EL AOUINA
2,2,155130,18-Jan,1,65,626980.608,432.0,1451.344,EL AOUINA
2,1,155130,19-Feb,1,65,254827.93,203.0,1255.31,EL AOUINA
2,2,155130,18-Jul,1,65,907373.038,583.0,1556.386,EL AOUINA
2,1,155130,19-Mar,1,65,223046.506,177.0,1260.1497514124294,EL AOUINA
2,1,155130,19-Oct,1,65,275511.411,207.0,1330.9730000000002,EL AOUINA
2,6,155130,19-Sep,1,65,189715.368,122.0,1555.0439999999999,EL AOUINA
2,6,155130,19-May,1,65,7786.285,5.0,1557.257,EL AOUINA
3,1,155130,18-Jan,1,65,4319.644,4.0,1079.911,EL AOUINA
3,3,155130,18-Aug,1,65,175280.572,122.0,1436.7259999999999,EL AOUINA
2,3,155130,19-May,1,65,155725.7,100.0,1557.257,EL AOUINA
2,4,155130,19-Jan,1,65,10497.984,6.0,1749.664,EL AOUINA
3,3,155130,18-Sep,1,65,184260.179,124.0,1485.969185483871,EL AOUINA
