NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,1,154740,18-Mar,11,54,60475.016,56.0,1079.911,EL BATEN
1,1,154740,18-Apr,11,54,119160.854,106.0,1124.159,EL BATEN
2,2,154740,18-Jul,11,54,23345.79,15.0,1556.386,EL BATEN
1,1,154740,18-Aug,11,54,61907.612,52.0,1190.531,EL BATEN
2,2,154740,18-Aug,11,54,20233.018,13.0,1556.386,EL BATEN
3,1,154740,19-Feb,11,54,27616.82,22.0,1255.31,EL BATEN
2,2,154740,18-Jan,11,54,49345.696,34.0,1451.344,EL BATEN
3,2,154740,18-Jan,11,54,4354.032,3.0,1451.344,EL BATEN
2,2,154740,18-Feb,11,54,14513.44,10.0,1451.344,EL BATEN
2,1,154740,18-Sep,11,54,118148.882,94.0,1256.903,EL BATEN
1,1,154740,18-Oct,11,54,149571.457,119.0,1256.903,EL BATEN
3,3,154740,18-Dec,11,54,13402.035,9.0,1489.115,EL BATEN
2,1,154740,19-Feb,11,54,94148.25,75.0,1255.31,EL BATEN
2,6,154740,19-Aug,11,54,15550.44,10.0,1555.044,EL BATEN
2,2,154740,18-Feb,11,54,7256.72,5.0,1451.344,EL BATEN
2,1,154740,18-Apr,11,54,84311.925,75.0,1124.159,EL BATEN
1,3,154740,18-Jul,11,54,5746.904,4.0,1436.726,EL BATEN
1,2,154740,19-May,11,54,6683.36,4.0,1670.84,EL BATEN
1,2,154740,19-Mar,11,54,14447.646,9.0,1605.294,EL BATEN
2,1,154740,18-Jan,11,54,118790.21,110.0,1079.911,EL BATEN
2,2,154740,18-Oct,11,54,12854.456,8.0,1606.807,EL BATEN
2,1,154740,19-Apr,11,54,191978.784,144.0,1333.1860000000001,EL BATEN
1,2,154740,19-Apr,11,54,8354.2,5.0,1670.8400000000001,EL BATEN
2,2,154740,19-Nov,11,54,48393.431,29.0,1668.7389999999998,EL BATEN
2,6,154740,19-Dec,11,54,18660.528,12.0,1555.0439999999999,EL BATEN
2,1,154740,18-Feb,11,54,22678.131,21.0,1079.911,EL BATEN
2,1,154740,18-Feb,11,54,44276.351,41.0,1079.911,EL BATEN
1,2,154740,18-Mar,11,54,29026.88,20.0,1451.344,EL BATEN
3,3,154740,18-May,11,54,2740.708,2.0,1370.354,EL BATEN
3,2,154740,18-Aug,11,54,24902.176,16.0,1556.386,EL BATEN
1,3,154740,18-Sep,11,54,5959.292,4.0,1489.823,EL BATEN
2,1,154740,19-Oct,11,54,179681.355,135.0,1330.9730000000002,EL BATEN
1,1,154740,19-Apr,11,54,33329.65,25.0,1333.1860000000001,EL BATEN
2,1,154740,19-Mar,11,54,140594.72,112.0,1255.31,EL BATEN
2,2,154740,19-May,11,54,30075.12,18.0,1670.84,EL BATEN
2,2,154740,19-Sep,11,54,43387.214,26.0,1668.739,EL BATEN
3,6,154740,19-Mar,11,54,7441.15,5.0,1488.23,EL BATEN
2,6,154740,19-Nov,11,54,12440.352,8.0,1555.044,EL BATEN
2,2,154740,19-Dec,11,54,45055.953,27.0,1668.739,EL BATEN
3,3,154740,18-Feb,11,54,5304.424,4.0,1326.106,EL BATEN
1,3,154740,18-Mar,11,54,6630.53,5.0,1326.106,EL BATEN
1,2,154740,18-Apr,11,54,16426.971,11.0,1493.361,EL BATEN
2,2,154740,18-May,11,54,8960.166,6.0,1493.3609999999999,EL BATEN
2,1,154740,19-Jan,11,54,169466.85,135.0,1255.31,EL BATEN
2,1,154740,18-Nov,11,54,202361.383,161.0,1256.903,EL BATEN
1,2,154740,18-Jun,11,54,17920.332,12.0,1493.3609999999999,EL BATEN
1,1,154740,19-Mar,11,54,53978.33,43.0,1255.31,EL BATEN
2,1,154740,19-May,11,54,177313.738,133.0,1333.1860000000001,EL BATEN
2,2,154740,18-Apr,11,54,10453.527,7.0,1493.361,EL BATEN
