NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,155520,18-Feb,17,38,65310.48,45.0,1451.344,EL BDERNA
1,1,155520,18-May,17,13,8993.272,8.0,1124.159,EL BDERNA
1,3,155520,19-Jan,17,38,53576.28,36.0,1488.23,EL BDERNA
3,3,155520,18-Aug,17,38,10057.082,7.0,1436.726,EL BDERNA
1,2,155520,18-Sep,17,38,92892.28,58.0,1601.5910344827587,EL BDERNA
1,1,155520,19-Apr,17,38,397289.428,298.0,1333.1860000000001,EL BDERNA
1,6,155520,19-Nov,17,38,65311.848,42.0,1555.0439999999999,EL BDERNA
1,1,155520,19-Nov,17,13,23957.514,18.0,1330.973,EL BDERNA
3,3,155520,18-Feb,17,38,11934.954,9.0,1326.106,EL BDERNA
1,3,155520,18-Feb,17,38,46413.71,35.0,1326.106,EL BDERNA
1,1,155520,18-May,17,38,356358.403,317.0,1124.1589999999999,EL BDERNA
1,2,155520,19-Sep,17,38,115142.991,69.0,1668.739,EL BDERNA
1,1,155520,19-Dec,17,38,580304.228,436.0,1330.973,EL BDERNA
1,2,155520,19-May,17,38,101921.24,61.0,1670.8400000000001,EL BDERNA
1,1,155520,19-Jul,17,13,23957.514,18.0,1330.973,EL BDERNA
1,3,155520,18-May,17,38,53443.806,39.0,1370.3539999999998,EL BDERNA
1,1,155520,19-Jan,17,13,22595.58,18.0,1255.3100000000002,EL BDERNA
3,1,155520,18-Aug,17,38,28572.744,24.0,1190.531,EL BDERNA
1,3,155520,18-Sep,17,38,55017.257,37.0,1486.9528918918918,EL BDERNA
1,1,155520,18-Jun,17,13,19110.703,17.0,1124.159,EL BDERNA
3,3,155520,19-Jan,17,38,2976.46,2.0,1488.23,EL BDERNA
1,6,155520,19-Jul,17,38,96487.97,62.0,1556.2575806451614,EL BDERNA
1,3,155520,18-Aug,17,38,74709.752,52.0,1436.7259999999999,EL BDERNA
1,1,155520,18-Aug,17,13,10714.779,9.0,1190.531,EL BDERNA
1,3,155520,18-Jun,17,38,55610.624,40.0,1390.2656000000002,EL BDERNA
1,1,155520,19-Jun,17,38,126652.67,95.0,1333.186,EL BDERNA
1,2,155520,19-Aug,17,38,188567.507,113.0,1668.739,EL BDERNA
1,6,155520,19-Aug,17,38,88637.508,57.0,1555.044,EL BDERNA
1,1,155520,19-Oct,17,13,23957.514,18.0,1330.973,EL BDERNA
1,1,155520,19-Nov,17,38,427242.333,321.0,1330.973,EL BDERNA
1,3,155520,18-Jan,17,38,54370.346,41.0,1326.106,EL BDERNA
1,2,155520,18-Aug,17,38,182097.162,117.0,1556.3860000000002,EL BDERNA
1,1,155520,18-Oct,17,38,384612.318,306.0,1256.903,EL BDERNA
2,1,155520,19-Jan,17,38,52723.02,42.0,1255.31,EL BDERNA
1,6,155520,19-Sep,17,38,57536.628,37.0,1555.0439999999999,EL BDERNA
1,6,155520,19-May,17,38,68519.308,44.0,1557.257,EL BDERNA
1,1,155520,19-Aug,17,38,384651.197,289.0,1330.973,EL BDERNA
1,1,155520,18-Sep,17,38,364895.937,291.0,1253.9379278350514,EL BDERNA
1,3,155520,18-Nov,17,38,55123.451,37.0,1489.823,EL BDERNA
1,1,155520,19-Feb,17,38,380358.93,303.0,1255.31,EL BDERNA
1,1,155520,19-Feb,17,13,11297.79,9.0,1255.3100000000002,EL BDERNA
1,1,155520,19-Mar,17,38,337678.39,269.0,1255.31,EL BDERNA
1,1,155520,19-Jan,17,38,327635.91,261.0,1255.31,EL BDERNA
2,2,155520,18-Jul,17,38,18676.632,12.0,1556.3860000000002,EL BDERNA
1,2,155520,18-Nov,17,38,62665.473,39.0,1606.807,EL BDERNA
1,3,155520,18-Apr,17,38,50703.098,37.0,1370.354,EL BDERNA
2,2,155520,18-Aug,17,38,21789.404,14.0,1556.386,EL BDERNA
4,3,155520,18-Jul,17,38,7183.63,5.0,1436.726,EL BDERNA
1,2,155520,18-Jun,17,38,75550.4,50.0,1511.0079999999998,EL BDERNA
1,6,155520,19-Jun,17,38,76305.593,49.0,1557.2569999999998,EL BDERNA
1,6,155520,19-Dec,17,38,73087.068,47.0,1555.044,EL BDERNA
1,1,155520,19-May,17,13,23997.348,18.0,1333.1860000000001,EL BDERNA
2,1,155520,19-Jul,17,38,90656.648,68.0,1333.186,EL BDERNA
1,2,155520,19-Jul,17,38,183681.047,110.0,1669.8276999999998,EL BDERNA
1,1,155520,19-Oct,17,38,407277.738,306.0,1330.973,EL BDERNA
1,2,155520,18-Jan,17,38,66761.824,46.0,1451.3439999999998,EL BDERNA
4,3,155520,18-Mar,17,38,5304.424,4.0,1326.106,EL BDERNA
1,3,155520,18-Dec,17,38,64044.866,43.0,1489.415488372093,EL BDERNA
1,2,155520,19-Jan,17,38,83475.288,52.0,1605.294,EL BDERNA
1,3,155520,18-Jul,17,38,61779.218,43.0,1436.726,EL BDERNA
1,1,155520,19-Sep,17,13,11978.757,9.0,1330.973,EL BDERNA
1,6,155520,19-Apr,17,38,63847.537,41.0,1557.2569999999998,EL BDERNA
