NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,155110,18-Mar,5,19,7256.72,5.0,1451.344,EL FAHS
1,2,155110,18-Aug,5,19,21789.404,14.0,1556.386,EL FAHS
3,1,155110,19-Mar,5,19,12553.1,10.0,1255.31,EL FAHS
1,2,155110,18-Apr,5,19,31360.581,21.0,1493.3609999999999,EL FAHS
2,1,155110,18-May,5,19,281039.75,250.0,1124.159,EL FAHS
2,1,155110,18-Nov,5,19,393410.639,313.0,1256.903,EL FAHS
1,1,155110,18-Jul,5,19,65479.205,55.0,1190.531,EL FAHS
1,2,155110,18-Dec,5,19,11247.649,7.0,1606.807,EL FAHS
1,3,155110,18-Aug,5,19,4310.178,3.0,1436.7259999999999,EL FAHS
1,1,155110,18-Sep,5,19,85469.404,68.0,1256.903,EL FAHS
3,1,155110,19-May,5,19,46661.51,35.0,1333.1860000000001,EL FAHS
1,2,155110,19-Mar,5,19,28895.292,18.0,1605.294,EL FAHS
3,1,155110,19-Jul,5,19,29281.406,22.0,1330.973,EL FAHS
1,3,155110,18-May,5,19,4111.062,3.0,1370.354,EL FAHS
3,3,155110,18-Dec,5,19,46168.583,31.0,1489.309129032258,EL FAHS
1,2,155110,18-Jun,5,19,32853.942,22.0,1493.361,EL FAHS
1,1,155110,18-Aug,5,19,29763.275,25.0,1190.531,EL FAHS
2,1,155110,18-Oct,5,19,248866.794,198.0,1256.903,EL FAHS
2,2,155110,19-Jun,5,19,155388.12,93.0,1670.84,EL FAHS
2,6,155110,19-Jun,5,19,35816.911,23.0,1557.257,EL FAHS
3,2,155110,19-Jul,5,19,10012.434,6.0,1668.7389999999998,EL FAHS
2,1,155110,18-Jun,5,19,349049.421,303.0,1151.9782871287127,EL FAHS
1,1,155110,18-Nov,5,19,32679.478,26.0,1256.903,EL FAHS
3,3,155110,19-Jan,5,19,37205.75,25.0,1488.23,EL FAHS
1,2,155110,19-Feb,5,19,8026.47,5.0,1605.294,EL FAHS
2,1,155110,19-Apr,5,19,394623.056,296.0,1333.186,EL FAHS
1,2,155110,19-May,5,19,6683.36,4.0,1670.84,EL FAHS
2,6,155110,19-Sep,5,19,45096.276,29.0,1555.0439999999999,EL FAHS
1,1,155110,18-Apr,5,19,96677.674,86.0,1124.1589999999999,EL FAHS
3,2,155110,18-Dec,5,19,12854.456,8.0,1606.807,EL FAHS
2,1,155110,19-Jan,5,19,232232.35,185.0,1255.31,EL FAHS
2,2,155110,19-Jan,5,19,78659.406,49.0,1605.294,EL FAHS
3,3,155110,18-Jul,5,19,37354.876,26.0,1436.7259999999999,EL FAHS
2,2,155110,18-Nov,5,19,98015.227,61.0,1606.807,EL FAHS
3,3,155110,18-Aug,5,19,38791.602,27.0,1436.7259999999999,EL FAHS
2,2,155110,18-Sep,5,19,89981.192,56.0,1606.807,EL FAHS
1,2,155110,18-Oct,5,19,54631.438,34.0,1606.807,EL FAHS
1,3,155110,18-Oct,5,19,19367.699,13.0,1489.823,EL FAHS
2,2,155110,19-May,5,19,110275.44,66.0,1670.8400000000001,EL FAHS
2,2,155110,19-Sep,5,19,110136.774,66.0,1668.739,EL FAHS
2,1,155110,19-Nov,5,19,441883.036,332.0,1330.973,EL FAHS
3,3,155110,18-Jan,5,19,29174.332,22.0,1326.106,EL FAHS
3,3,155110,18-Feb,5,19,17239.378,13.0,1326.106,EL FAHS
1,3,155110,18-Feb,5,19,22543.802,17.0,1326.106,EL FAHS
3,1,155110,18-Mar,5,19,14038.843,13.0,1079.911,EL FAHS
2,2,155110,18-Dec,5,19,102793.284,64.0,1606.1450625,EL FAHS
3,2,155110,18-Aug,5,19,20233.018,13.0,1556.386,EL FAHS
1,1,155110,18-Jun,5,19,100050.151,89.0,1124.1589999999999,EL FAHS
2,2,155110,19-Feb,5,19,93107.052,58.0,1605.2939999999999,EL FAHS
1,6,155110,19-May,5,19,4671.771,3.0,1557.2569999999998,EL FAHS
