NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,3,155280,18-Dec,20,33,26807.256,18.0,1489.2920000000001,EL FAOUR
1,3,155280,18-Jun,20,33,15206.638,11.0,1382.4216363636365,EL FAOUR
1,1,155280,19-May,20,33,46661.51,35.0,1333.1860000000001,EL FAOUR
1,1,155280,19-Aug,20,33,53238.92,40.0,1330.973,EL FAOUR
1,3,155280,18-Apr,20,33,19184.956,14.0,1370.3539999999998,EL FAOUR
1,2,155280,18-Jul,20,33,24902.176,16.0,1556.386,EL FAOUR
1,3,155280,19-Jan,20,33,19346.99,13.0,1488.23,EL FAOUR
1,2,155280,18-Oct,20,33,25708.912,16.0,1606.807,EL FAOUR
1,6,155280,19-May,20,33,20244.341,13.0,1557.257,EL FAOUR
1,2,155280,18-May,20,33,26880.498,18.0,1493.3609999999999,EL FAOUR
1,2,155280,18-Aug,20,33,54473.51,35.0,1556.386,EL FAOUR
2,1,155280,19-Jan,20,33,8787.17,7.0,1255.31,EL FAOUR
1,2,155280,19-Jun,20,33,38429.32,23.0,1670.84,EL FAOUR
1,6,155280,19-Jun,20,33,18687.084,12.0,1557.2569999999998,EL FAOUR
1,1,155280,18-Sep,20,33,77529.754,62.0,1250.4799032258065,EL FAOUR
2,1,155280,18-Oct,20,33,10055.224,8.0,1256.903,EL FAOUR
1,1,155280,19-Sep,20,33,58562.812,44.0,1330.973,EL FAOUR
1,6,155280,19-Oct,20,33,23325.66,15.0,1555.044,EL FAOUR
1,2,155280,19-Oct,20,33,40049.736,24.0,1668.7389999999998,EL FAOUR
1,3,155280,18-May,20,33,20555.31,15.0,1370.354,EL FAOUR
3,3,155280,19-Jan,20,33,4464.69,3.0,1488.2299999999998,EL FAOUR
1,2,155280,19-Jan,20,33,40132.35,25.0,1605.2939999999999,EL FAOUR
1,3,155280,18-Aug,20,33,20114.164,14.0,1436.726,EL FAOUR
2,1,155280,18-Aug,20,33,7143.186,6.0,1190.531,EL FAOUR
1,1,155280,18-Jun,20,33,71220.249,63.0,1130.4801428571427,EL FAOUR
2,2,155280,19-Jan,20,33,6421.176,4.0,1605.294,EL FAOUR
1,6,155280,19-Apr,20,33,20244.341,13.0,1557.257,EL FAOUR
1,1,155280,19-Nov,20,33,97161.029,73.0,1330.973,EL FAOUR
1,1,155280,18-Feb,20,33,95032.168,88.0,1079.911,EL FAOUR
2,2,155280,18-Aug,20,33,10894.702,7.0,1556.386,EL FAOUR
4,1,155280,18-Dec,20,33,23881.157,19.0,1256.903,EL FAOUR
4,2,155280,18-Dec,20,33,3213.614,2.0,1606.807,EL FAOUR
1,3,155280,18-Mar,20,33,22543.802,17.0,1326.106,EL FAOUR
1,1,155280,18-Apr,20,33,112415.9,100.0,1124.1589999999999,EL FAOUR
1,1,155280,18-May,20,33,125905.808,112.0,1124.159,EL FAOUR
1,3,155280,18-Jul,20,33,22987.616,16.0,1436.726,EL FAOUR
1,2,155280,18-Dec,20,33,44975.466,28.0,1606.2666428571429,EL FAOUR
1,2,155280,18-Jun,20,33,22589.49,15.0,1505.9660000000001,EL FAOUR
1,1,155280,18-Mar,20,33,117710.299,109.0,1079.911,EL FAOUR
1,2,155280,18-Nov,20,33,28922.526,18.0,1606.807,EL FAOUR
2,6,155280,19-Sep,20,33,4665.132,3.0,1555.0439999999999,EL FAOUR
1,3,155280,18-Feb,20,33,18565.484,14.0,1326.106,EL FAOUR
1,2,155280,18-Sep,20,33,25557.649,16.0,1597.3530625,EL FAOUR
1,2,155280,19-Aug,20,33,41718.475,25.0,1668.739,EL FAOUR
1,2,155280,19-Jul,20,33,31727.051,19.0,1669.8447894736842,EL FAOUR
1,6,155280,19-Dec,20,33,31100.88,20.0,1555.044,EL FAOUR
1,3,155280,18-Jan,20,33,19891.59,15.0,1326.106,EL FAOUR
1,6,155280,19-Mar,20,33,38693.98,26.0,1488.23,EL FAOUR
1,6,155280,19-Jul,20,33,20235.489,13.0,1556.576076923077,EL FAOUR
1,1,155280,19-Jul,20,33,43968.582,33.0,1332.3812727272727,EL FAOUR
1,1,155280,19-Oct,20,33,83851.299,63.0,1330.973,EL FAOUR
1,6,155280,19-Nov,20,33,34210.968,22.0,1555.044,EL FAOUR
1,1,155280,19-Dec,20,33,75865.461,57.0,1330.973,EL FAOUR
1,1,155280,18-Jan,20,33,120950.032,112.0,1079.911,EL FAOUR
1,2,155280,18-Feb,20,33,30478.224,21.0,1451.3439999999998,EL FAOUR
1,1,155280,18-Aug,20,33,57145.488,48.0,1190.531,EL FAOUR
1,3,155280,19-Feb,20,33,23811.68,16.0,1488.23,EL FAOUR
1,1,155280,19-Jun,20,33,30663.278,23.0,1333.186,EL FAOUR
2,1,155280,19-Jun,20,33,18664.604,14.0,1333.186,EL FAOUR
2,2,155280,19-Sep,20,33,6674.956,4.0,1668.739,EL FAOUR
1,1,155280,18-Dec,20,33,62821.255,50.0,1256.4251,EL FAOUR
1,2,155280,19-Feb,20,33,35316.468,22.0,1605.294,EL FAOUR
1,2,155280,19-Sep,20,33,36712.258,22.0,1668.739,EL FAOUR
1,6,155280,19-Aug,20,33,21770.616,14.0,1555.044,EL FAOUR
1,2,155280,18-Mar,20,33,29026.88,20.0,1451.344,EL FAOUR
1,3,155280,18-Oct,20,33,22347.345,15.0,1489.823,EL FAOUR
2,2,155280,18-Oct,20,33,4820.421,3.0,1606.807,EL FAOUR
1,1,155280,18-Nov,20,33,80441.792,64.0,1256.903,EL FAOUR
1,1,155280,19-Feb,20,33,55233.64,44.0,1255.31,EL FAOUR
1,6,155280,19-Sep,20,33,20215.572,13.0,1555.044,EL FAOUR
1,2,155280,19-May,20,33,40100.16,24.0,1670.8400000000001,EL FAOUR
1,1,155280,19-Mar,20,33,91637.63,73.0,1255.3100000000002,EL FAOUR
1,2,155280,19-Mar,20,33,48158.82,30.0,1605.294,EL FAOUR
2,1,155280,19-Sep,20,33,7985.838,6.0,1330.973,EL FAOUR
1,2,155280,19-Dec,20,33,41718.475,25.0,1668.739,EL FAOUR
1,2,155280,18-Jan,20,33,30478.224,21.0,1451.3439999999998,EL FAOUR
1,1,155280,19-Jan,20,33,110467.28,88.0,1255.31,EL FAOUR
1,1,155280,18-Jul,20,33,76193.984,64.0,1190.531,EL FAOUR
