NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,150500,19-Jan,18,49,52974.702,33.0,1605.2939999999999,EL GUETAR
1,2,150500,18-Aug,18,49,140074.74,90.0,1556.386,EL GUETAR
1,6,150500,19-Sep,18,49,35766.012,23.0,1555.044,EL GUETAR
1,1,150500,18-Jan,18,49,76673.681,71.0,1079.911,EL GUETAR
1,3,150500,18-Jan,18,49,31826.544,24.0,1326.106,EL GUETAR
1,2,150500,18-Apr,18,49,46294.191,31.0,1493.3609999999999,EL GUETAR
1,1,150500,18-May,18,49,93305.197,83.0,1124.159,EL GUETAR
1,2,150500,18-May,18,49,41814.108,28.0,1493.361,EL GUETAR
1,1,150500,18-Nov,18,49,134488.621,107.0,1256.903,EL GUETAR
2,1,150500,19-Jan,18,49,8787.17,7.0,1255.31,EL GUETAR
1,3,150500,18-Oct,18,49,35755.752,24.0,1489.823,EL GUETAR
3,3,150500,18-Nov,18,49,5959.292,4.0,1489.823,EL GUETAR
1,1,150500,19-Feb,18,49,109211.97,87.0,1255.31,EL GUETAR
1,2,150500,19-Aug,18,49,130161.642,78.0,1668.739,EL GUETAR
1,6,150500,19-Oct,18,49,35766.012,23.0,1555.044,EL GUETAR
2,2,150500,18-Aug,18,49,21789.404,14.0,1556.386,EL GUETAR
1,3,150500,18-Sep,18,49,42939.382,29.0,1480.6683448275862,EL GUETAR
1,1,150500,19-Aug,18,49,129104.381,97.0,1330.973,EL GUETAR
2,1,150500,19-Jul,18,49,14665.046,11.0,1333.186,EL GUETAR
1,1,150500,18-Feb,18,49,98271.901,91.0,1079.911,EL GUETAR
4,3,150500,18-Mar,18,49,3978.318,3.0,1326.106,EL GUETAR
1,3,150500,18-Apr,18,49,41110.62,30.0,1370.354,EL GUETAR
1,1,150500,18-Oct,18,49,81698.695,65.0,1256.903,EL GUETAR
1,1,150500,19-Sep,18,49,106477.84,80.0,1330.973,EL GUETAR
4,2,150500,19-Sep,18,49,3337.478,2.0,1668.739,EL GUETAR
1,1,150500,19-Nov,18,49,133097.3,100.0,1330.973,EL GUETAR
1,3,150500,19-Jan,18,49,31252.83,21.0,1488.23,EL GUETAR
1,2,150500,18-Oct,18,49,49811.017,31.0,1606.807,EL GUETAR
1,1,150500,19-Apr,18,49,95989.392,72.0,1333.1860000000001,EL GUETAR
1,6,150500,19-Apr,18,49,34259.654,22.0,1557.257,EL GUETAR
1,2,150500,18-Jan,18,49,37734.944,26.0,1451.344,EL GUETAR
1,3,150500,18-Feb,18,49,30500.438,23.0,1326.106,EL GUETAR
2,2,150500,19-Jan,18,49,8026.47,5.0,1605.294,EL GUETAR
1,2,150500,19-May,18,49,83542.0,50.0,1670.84,EL GUETAR
1,1,150500,19-Dec,18,49,188998.166,142.0,1330.973,EL GUETAR
1,2,150500,19-Mar,18,49,78659.406,49.0,1605.294,EL GUETAR
1,6,150500,19-Aug,18,49,65311.848,42.0,1555.0439999999999,EL GUETAR
3,3,150500,18-Jan,18,49,5304.424,4.0,1326.106,EL GUETAR
