NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,154620,18-Mar,21,22,59505.104,41.0,1451.344,EL HAMMA
4,3,154620,18-Mar,21,22,7956.636,6.0,1326.106,EL HAMMA
1,1,154620,18-Apr,21,22,170872.168,152.0,1124.159,EL HAMMA
1,3,154620,18-Dec,21,22,69996.193,47.0,1489.2807021276597,EL HAMMA
1,1,154620,19-Jan,21,22,202104.91,161.0,1255.31,EL HAMMA
1,2,154620,19-Aug,21,22,153523.988,92.0,1668.739,EL HAMMA
2,1,154620,18-Dec,21,22,16339.739,13.0,1256.903,EL HAMMA
2,2,154620,18-Aug,21,22,9338.316,6.0,1556.3860000000002,EL HAMMA
1,1,154620,18-Nov,21,22,163397.39,130.0,1256.903,EL HAMMA
1,1,154620,19-Aug,21,22,182343.301,137.0,1330.973,EL HAMMA
1,1,154620,19-Jul,21,22,129181.836,97.0,1331.771505154639,EL HAMMA
1,2,154620,19-Oct,21,22,88443.167,53.0,1668.739,EL HAMMA
1,2,154620,18-Jul,21,22,66924.598,43.0,1556.386,EL HAMMA
1,1,154620,19-Mar,21,22,151892.51,121.0,1255.3100000000002,EL HAMMA
1,2,154620,19-Mar,21,22,80264.7,50.0,1605.2939999999999,EL HAMMA
4,3,154620,18-Apr,21,22,5481.416,4.0,1370.354,EL HAMMA
1,1,154620,18-May,21,22,164127.214,146.0,1124.159,EL HAMMA
1,1,154620,18-Jun,21,22,158054.31,138.0,1145.3210869565216,EL HAMMA
1,2,154620,18-Jun,21,22,51404.524,34.0,1511.8977647058823,EL HAMMA
1,2,154620,18-Sep,21,22,78380.596,49.0,1599.604,EL HAMMA
1,1,154620,19-Feb,21,22,198338.98,158.0,1255.3100000000002,EL HAMMA
1,2,154620,19-Apr,21,22,86883.68,52.0,1670.84,EL HAMMA
1,2,154620,19-Jun,21,22,80200.32,48.0,1670.8400000000001,EL HAMMA
3,3,154620,18-Feb,21,22,9282.742,7.0,1326.106,EL HAMMA
2,1,154620,18-Oct,21,22,17596.642,14.0,1256.903,EL HAMMA
1,2,154620,18-Nov,21,22,43383.789,27.0,1606.8069999999998,EL HAMMA
1,6,154620,19-May,21,22,52946.738,34.0,1557.2569999999998,EL HAMMA
2,1,154620,19-Jun,21,22,51994.254,39.0,1333.186,EL HAMMA
1,3,154620,18-Jan,21,22,75588.042,57.0,1326.106,EL HAMMA
2,2,154620,18-Jul,21,22,3112.772,2.0,1556.386,EL HAMMA
1,1,154620,18-Aug,21,22,165483.809,139.0,1190.531,EL HAMMA
