NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,154040,19-Jan,17,5,6421.176,4.0,1605.294,EL HANCHA
1,1,154040,19-Feb,17,5,57744.26,46.0,1255.31,EL HANCHA
1,1,154040,19-May,17,5,71992.044,54.0,1333.186,EL HANCHA
2,1,154040,19-Jun,17,5,17331.418,13.0,1333.1860000000001,EL HANCHA
1,6,154040,19-Jul,17,5,3114.514,2.0,1557.257,EL HANCHA
1,1,154040,18-Aug,17,5,46430.709,39.0,1190.5310000000002,EL HANCHA
4,1,154040,18-Jul,17,5,8333.717,7.0,1190.5310000000002,EL HANCHA
1,1,154040,18-Sep,17,5,55303.732,44.0,1256.903,EL HANCHA
1,2,154040,19-Feb,17,5,8026.47,5.0,1605.294,EL HANCHA
1,6,154040,19-Apr,17,5,3114.514,2.0,1557.257,EL HANCHA
1,2,154040,18-Jan,17,5,5805.376,4.0,1451.344,EL HANCHA
1,1,154040,18-Apr,17,5,52835.473,47.0,1124.1589999999999,EL HANCHA
1,3,154040,18-Oct,17,5,8938.938,6.0,1489.823,EL HANCHA
2,1,154040,18-Nov,17,5,7541.418,6.0,1256.903,EL HANCHA
1,2,154040,19-Nov,17,5,11681.173,7.0,1668.739,EL HANCHA
1,1,154040,18-Jan,17,5,44276.351,41.0,1079.911,EL HANCHA
1,2,154040,18-Mar,17,5,10159.408,7.0,1451.3439999999998,EL HANCHA
1,2,154040,18-Aug,17,5,14007.474,9.0,1556.386,EL HANCHA
3,2,154040,18-Aug,17,5,10894.702,7.0,1556.386,EL HANCHA
1,2,154040,18-Sep,17,5,6427.228,4.0,1606.807,EL HANCHA
1,1,154040,18-Oct,17,5,52789.926,42.0,1256.903,EL HANCHA
1,3,154040,18-Sep,17,5,2979.646,2.0,1489.823,EL HANCHA
1,6,154040,19-May,17,5,6229.028,4.0,1557.257,EL HANCHA
1,1,154040,19-Jun,17,5,29330.092,22.0,1333.186,EL HANCHA
1,3,154040,18-Jul,17,5,5746.904,4.0,1436.726,EL HANCHA
1,6,154040,19-Mar,17,5,5952.92,4.0,1488.23,EL HANCHA
1,1,154040,18-Feb,17,5,41036.618,38.0,1079.911,EL HANCHA
1,3,154040,18-May,17,5,2740.708,2.0,1370.354,EL HANCHA
1,1,154040,19-Jan,17,5,69042.05,55.0,1255.31,EL HANCHA
1,6,154040,19-Jun,17,5,7786.285,5.0,1557.257,EL HANCHA
1,2,154040,19-Jul,17,5,5012.52,3.0,1670.8400000000001,EL HANCHA
1,1,154040,19-Oct,17,5,54569.893,41.0,1330.973,EL HANCHA
1,2,154040,18-Feb,17,5,2902.688,2.0,1451.344,EL HANCHA
1,2,154040,18-May,17,5,7466.805,5.0,1493.361,EL HANCHA
1,2,154040,18-Dec,17,5,9637.816,6.0,1606.3026666666667,EL HANCHA
1,1,154040,19-Apr,17,5,93323.02,70.0,1333.1860000000001,EL HANCHA
1,6,154040,19-Oct,17,5,4665.132,3.0,1555.0439999999999,EL HANCHA
1,1,154040,19-Mar,17,5,85361.08,68.0,1255.31,EL HANCHA
1,1,154040,19-Nov,17,5,66548.65,50.0,1330.973,EL HANCHA
1,2,154040,18-Apr,17,5,13440.249,9.0,1493.3609999999999,EL HANCHA
1,3,154040,18-Apr,17,5,2740.708,2.0,1370.354,EL HANCHA
