NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,153560,18-Apr,16,35,158296.266,106.0,1493.361,EL JEM
1,3,153560,18-Sep,16,35,154729.204,104.0,1487.7808076923077,EL JEM
1,1,153560,18-Sep,16,35,1007434.693,803.0,1254.5886587795765,EL JEM
1,2,153560,18-Sep,16,35,195627.086,122.0,1603.5007049180329,EL JEM
1,3,153560,18-Jul,16,35,165223.49,115.0,1436.7259999999999,EL JEM
1,2,153560,18-Nov,16,35,130151.367,81.0,1606.807,EL JEM
2,2,153560,18-Aug,16,35,35796.878,23.0,1556.386,EL JEM
1,1,153560,18-Jun,16,35,817915.086,714.0,1145.5393361344538,EL JEM
3,4,153560,18-Sep,16,35,10497.984,6.0,1749.664,EL JEM
2,6,153560,19-Sep,16,35,6220.176,4.0,1555.044,EL JEM
1,1,153560,19-Nov,16,35,964955.425,725.0,1330.973,EL JEM
2,2,153560,19-Dec,16,35,8343.695,5.0,1668.739,EL JEM
1,3,153560,18-Feb,16,35,104762.374,79.0,1326.106,EL JEM
1,3,153560,18-Nov,16,35,141533.185,95.0,1489.8229999999999,EL JEM
2,1,153560,19-Jan,16,35,128041.62,102.0,1255.31,EL JEM
2,2,153560,19-Oct,16,35,28368.563,17.0,1668.7389999999998,EL JEM
1,6,153560,19-Mar,16,35,148823.0,100.0,1488.23,EL JEM
1,1,153560,19-Jun,16,35,178646.924,134.0,1333.186,EL JEM
1,4,153560,19-Jul,16,35,5470.839,3.0,1823.613,EL JEM
1,2,153560,19-Oct,16,35,190236.246,114.0,1668.739,EL JEM
1,1,153560,18-Jan,16,35,946002.036,876.0,1079.911,EL JEM
3,3,153560,18-Jan,16,35,9282.742,7.0,1326.106,EL JEM
1,1,153560,18-May,16,35,917313.744,816.0,1124.1589999999999,EL JEM
3,3,153560,18-Aug,16,35,31607.972,22.0,1436.726,EL JEM
1,2,153560,18-Jun,16,35,163110.713,108.0,1510.2843796296295,EL JEM
3,4,153560,18-Dec,16,35,8748.32,5.0,1749.664,EL JEM
2,1,153560,19-Feb,16,35,32638.06,26.0,1255.31,EL JEM
2,1,153560,19-Jun,16,35,585268.654,439.0,1333.186,EL JEM
1,4,153560,19-Dec,16,35,7286.048,4.0,1821.512,EL JEM
2,1,153560,19-Jul,16,35,375823.459,282.0,1332.7073014184396,EL JEM
2,2,153560,19-Sep,16,35,11681.173,7.0,1668.739,EL JEM
1,4,153560,19-Oct,16,35,7286.048,4.0,1821.512,EL JEM
