NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,155650,18-Jul,16,35,141673.189,119.0,1190.5310000000002,EL JEM PK192
1,2,155650,19-Jan,16,35,113975.874,71.0,1605.2939999999999,EL JEM PK192
2,1,155650,18-Oct,16,35,22624.254,18.0,1256.903,EL JEM PK192
1,4,155650,19-Apr,16,35,10941.678,6.0,1823.613,EL JEM PK192
1,1,155650,19-Jun,16,35,57326.998,43.0,1333.186,EL JEM PK192
1,2,155650,19-Aug,16,35,303710.498,182.0,1668.739,EL JEM PK192
1,5,155650,19-Dec,16,35,5121.24,3.0,1707.08,EL JEM PK192
1,1,155650,18-Feb,16,35,153347.362,142.0,1079.911,EL JEM PK192
1,2,155650,18-Mar,16,35,140780.368,97.0,1451.3439999999998,EL JEM PK192
3,4,155650,18-Aug,16,35,16992.44,10.0,1699.244,EL JEM PK192
2,1,155650,19-Jan,16,35,42680.54,34.0,1255.31,EL JEM PK192
1,3,155650,18-Sep,16,35,81940.265,55.0,1489.823,EL JEM PK192
1,1,155650,18-Nov,16,35,129461.009,103.0,1256.903,EL JEM PK192
2,1,155650,19-Jun,16,35,117320.368,88.0,1333.186,EL JEM PK192
2,6,155650,19-Oct,16,35,6220.176,4.0,1555.044,EL JEM PK192
1,2,155650,19-Dec,16,35,188567.507,113.0,1668.739,EL JEM PK192
1,4,155650,19-Dec,16,35,7286.048,4.0,1821.512,EL JEM PK192
1,2,155650,19-Jun,16,35,198829.96,119.0,1670.84,EL JEM PK192
1,2,155650,19-Mar,16,35,189424.692,118.0,1605.294,EL JEM PK192
2,1,155650,19-Jul,16,35,15998.232,12.0,1333.186,EL JEM PK192
1,4,155650,19-Jul,16,35,10941.678,6.0,1823.613,EL JEM PK192
1,6,155650,19-Oct,16,35,90192.552,58.0,1555.0439999999999,EL JEM PK192
1,3,155650,18-Feb,16,35,47739.816,36.0,1326.106,EL JEM PK192
1,3,155650,18-Apr,16,35,72628.762,53.0,1370.354,EL JEM PK192
1,1,155650,18-Aug,16,35,133339.472,112.0,1190.5310000000002,EL JEM PK192
2,4,155650,18-Aug,16,35,11894.708,7.0,1699.2440000000001,EL JEM PK192
3,5,155650,18-Nov,16,35,9788.496,6.0,1631.416,EL JEM PK192
1,3,155650,18-Jun,16,35,41110.62,30.0,1370.354,EL JEM PK192
1,2,155650,19-Apr,16,35,185463.24,111.0,1670.84,EL JEM PK192
1,6,155650,19-Mar,16,35,89293.8,60.0,1488.23,EL JEM PK192
2,2,155650,19-Jan,16,35,28895.292,18.0,1605.294,EL JEM PK192
3,5,155650,18-Jul,16,35,14204.871,9.0,1578.319,EL JEM PK192
3,3,155650,18-Aug,16,35,18677.438,13.0,1436.7259999999999,EL JEM PK192
3,2,155650,18-Aug,16,35,43578.808,28.0,1556.386,EL JEM PK192
3,1,155650,18-Aug,16,35,11905.31,10.0,1190.531,EL JEM PK192
1,3,155650,18-Oct,16,35,62572.566,42.0,1489.8229999999999,EL JEM PK192
1,1,155650,19-Sep,16,35,218279.572,164.0,1330.973,EL JEM PK192
1,1,155650,19-Dec,16,35,202307.896,152.0,1330.973,EL JEM PK192
