NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,3,153940,18-Feb,22,22,2652.212,2.0,1326.106,EL KANTRA
1,2,153940,18-Dec,22,22,57816.305,36.0,1606.0084722222223,EL KANTRA
1,3,153940,18-Aug,22,22,68962.848,48.0,1436.7259999999999,EL KANTRA
4,3,153940,18-Aug,22,25,126431.888,88.0,1436.726,EL KANTRA
2,2,153940,18-Aug,22,25,24902.176,16.0,1556.386,EL KANTRA
1,6,153940,19-Sep,22,22,31100.88,20.0,1555.044,EL KANTRA
1,1,153940,19-Apr,22,22,130652.228,98.0,1333.186,EL KANTRA
1,2,153940,19-Sep,22,22,43387.214,26.0,1668.739,EL KANTRA
4,6,153940,19-Sep,22,25,65311.848,42.0,1555.0439999999999,EL KANTRA
4,2,153940,19-Dec,22,25,3337.478,2.0,1668.739,EL KANTRA
4,6,153940,19-Dec,22,25,4665.132,3.0,1555.0439999999999,EL KANTRA
4,2,153940,18-Apr,22,25,50774.274,34.0,1493.3609999999999,EL KANTRA
4,2,153940,18-Aug,22,25,4669.158,3.0,1556.3860000000002,EL KANTRA
4,3,153940,19-Feb,22,25,58040.97,39.0,1488.23,EL KANTRA
1,2,153940,18-Jul,22,22,96495.932,62.0,1556.386,EL KANTRA
2,1,153940,18-Aug,22,25,13095.841,11.0,1190.531,EL KANTRA
1,1,153940,18-Oct,22,22,50276.12,40.0,1256.903,EL KANTRA
4,2,153940,19-May,22,25,15037.56,9.0,1670.84,EL KANTRA
1,2,153940,19-Jun,22,22,36758.48,22.0,1670.8400000000001,EL KANTRA
4,2,153940,19-Mar,22,25,54579.996,34.0,1605.2939999999999,EL KANTRA
1,2,153940,19-Nov,22,22,68418.299,41.0,1668.739,EL KANTRA
4,2,153940,18-Feb,22,25,17416.128,12.0,1451.344,EL KANTRA
4,2,153940,18-Feb,22,25,29026.88,20.0,1451.344,EL KANTRA
4,2,153940,18-May,22,25,25387.137,17.0,1493.3609999999999,EL KANTRA
4,1,153940,18-Jun,22,25,32936.636,28.0,1176.3084285714285,EL KANTRA
4,1,153940,18-Sep,22,25,122579.146,98.0,1250.8076122448979,EL KANTRA
1,3,153940,18-Jun,22,22,30147.788,22.0,1370.354,EL KANTRA
1,1,153940,19-Jul,22,22,114536.707,86.0,1331.8221744186046,EL KANTRA
1,6,153940,19-Jul,22,22,29545.836,19.0,1555.0439999999999,EL KANTRA
1,3,153940,18-Dec,22,22,55101.149,37.0,1489.2202432432432,EL KANTRA
1,1,153940,19-Jan,22,22,30127.44,24.0,1255.31,EL KANTRA
2,2,153940,19-Jan,22,25,17658.234,11.0,1605.294,EL KANTRA
1,2,153940,18-Oct,22,22,14461.263,9.0,1606.807,EL KANTRA
1,3,153940,18-Nov,22,22,25326.991,17.0,1489.823,EL KANTRA
2,2,153940,18-Nov,22,25,4820.421,3.0,1606.807,EL KANTRA
3,3,153940,19-Jan,22,25,2976.46,2.0,1488.23,EL KANTRA
1,2,153940,19-May,22,22,31745.96,19.0,1670.84,EL KANTRA
4,2,153940,19-Nov,22,25,25031.085,15.0,1668.739,EL KANTRA
4,2,153940,18-Dec,22,25,19281.684,12.0,1606.807,EL KANTRA
4,1,153940,18-Jul,22,25,111909.914,94.0,1190.531,EL KANTRA
1,1,153940,18-Nov,22,22,71643.471,57.0,1256.903,EL KANTRA
4,3,153940,18-Nov,22,25,28306.637,19.0,1489.8229999999999,EL KANTRA
4,2,153940,19-Jan,22,25,4815.882,3.0,1605.2939999999999,EL KANTRA
1,2,153940,19-Apr,22,22,63491.92,38.0,1670.84,EL KANTRA
1,1,153940,19-Mar,22,22,46446.47,37.0,1255.31,EL KANTRA
1,2,153940,19-Jul,22,22,45055.953,27.0,1668.739,EL KANTRA
4,6,153940,19-Nov,22,25,37321.056,24.0,1555.0439999999999,EL KANTRA
1,2,153940,18-Aug,22,22,297269.726,191.0,1556.3860000000002,EL KANTRA
4,1,153940,19-Jan,22,25,52723.02,42.0,1255.31,EL KANTRA
4,3,153940,19-Jan,22,25,28276.37,19.0,1488.23,EL KANTRA
2,1,153940,19-Jan,22,25,18829.65,15.0,1255.3100000000002,EL KANTRA
1,2,153940,18-Nov,22,22,27315.719,17.0,1606.807,EL KANTRA
4,3,153940,19-May,22,25,12458.056,8.0,1557.257,EL KANTRA
4,2,153940,19-Sep,22,25,88443.167,53.0,1668.739,EL KANTRA
1,6,153940,19-Dec,22,22,69976.98,45.0,1555.0439999999999,EL KANTRA
1,1,153940,19-Dec,22,22,102484.921,77.0,1330.973,EL KANTRA
4,3,153940,18-Jan,22,25,30500.438,23.0,1326.106,EL KANTRA
4,1,153940,18-Apr,22,25,106795.105,95.0,1124.1589999999999,EL KANTRA
4,1,153940,19-Feb,22,25,100424.8,80.0,1255.31,EL KANTRA
4,3,153940,18-Jul,22,25,96260.642,67.0,1436.726,EL KANTRA
4,2,153940,18-Sep,22,25,83049.754,52.0,1597.1106538461538,EL KANTRA
1,3,153940,18-Oct,22,22,11918.584,8.0,1489.823,EL KANTRA
1,1,153940,19-Jun,22,22,26663.72,20.0,1333.1860000000001,EL KANTRA
4,2,153940,19-Jul,22,25,103526.949,62.0,1669.7894999999999,EL KANTRA
4,2,153940,19-Oct,22,25,86774.428,52.0,1668.739,EL KANTRA
4,3,153940,18-Apr,22,25,52073.452,38.0,1370.354,EL KANTRA
1,2,153940,19-Jan,22,22,44948.232,28.0,1605.294,EL KANTRA
4,3,153940,18-Jun,22,25,15803.986,11.0,1436.726,EL KANTRA
4,3,153940,18-Sep,22,25,73853.986,50.0,1477.0797200000002,EL KANTRA
4,6,153940,19-Aug,22,25,15550.44,10.0,1555.044,EL KANTRA
3,3,153940,18-Jan,22,25,13261.06,10.0,1326.106,EL KANTRA
4,3,153940,18-Feb,22,25,33152.65,25.0,1326.106,EL KANTRA
1,1,153940,18-Aug,22,22,58336.019,49.0,1190.531,EL KANTRA
2,1,153940,18-Nov,22,25,12569.03,10.0,1256.903,EL KANTRA
4,2,153940,19-Feb,22,25,67422.348,42.0,1605.2939999999999,EL KANTRA
1,2,153940,19-Mar,22,22,30500.586,19.0,1605.2939999999999,EL KANTRA
4,1,153940,19-Nov,22,25,102484.921,77.0,1330.973,EL KANTRA
4,2,153940,18-Jan,22,25,43540.32,30.0,1451.344,EL KANTRA
1,2,153940,18-May,22,22,16426.971,11.0,1493.361,EL KANTRA
1,3,153940,19-Jan,22,22,20835.22,14.0,1488.23,EL KANTRA
4,2,153940,18-Mar,22,25,62407.792,43.0,1451.344,EL KANTRA
4,1,153940,18-Aug,22,25,96433.011,81.0,1190.531,EL KANTRA
3,2,153940,18-Jun,22,25,6225.544,4.0,1556.386,EL KANTRA
4,2,153940,19-Jun,22,25,60150.24,36.0,1670.84,EL KANTRA
2,1,153940,19-Jun,22,25,51994.254,39.0,1333.186,EL KANTRA
1,1,153940,19-Sep,22,22,130435.354,98.0,1330.973,EL KANTRA
2,1,153940,19-Jul,22,25,14665.046,11.0,1333.186,EL KANTRA
1,1,153940,19-Oct,22,22,23957.514,18.0,1330.973,EL KANTRA
1,2,153940,19-Dec,22,22,93449.384,56.0,1668.739,EL KANTRA
4,1,153940,18-Jan,22,25,109071.011,101.0,1079.911,EL KANTRA
4,1,153940,18-Mar,22,25,120950.032,112.0,1079.911,EL KANTRA
1,1,153940,18-May,22,22,5620.795,5.0,1124.159,EL KANTRA
4,1,153940,18-Dec,22,25,57807.98,46.0,1256.6952173913044,EL KANTRA
4,6,153940,19-Jun,22,25,45160.453,29.0,1557.257,EL KANTRA
4,3,153940,19-Apr,22,25,21801.598,14.0,1557.257,EL KANTRA
1,6,153940,19-May,22,22,26473.369,17.0,1557.2569999999998,EL KANTRA
4,1,153940,19-Oct,22,25,83851.299,63.0,1330.973,EL KANTRA
4,6,153940,19-Oct,22,25,49761.408,32.0,1555.044,EL KANTRA
4,1,153940,19-Mar,22,25,60254.88,48.0,1255.31,EL KANTRA
1,1,153940,19-Aug,22,22,186336.22,140.0,1330.973,EL KANTRA
1,6,153940,19-Oct,22,22,7775.22,5.0,1555.044,EL KANTRA
4,3,153940,18-Oct,22,25,43204.867,29.0,1489.8229999999999,EL KANTRA
1,2,153940,19-Aug,22,22,258654.545,155.0,1668.739,EL KANTRA
4,6,153940,19-Jul,22,25,87144.428,56.0,1556.1505,EL KANTRA
1,2,153940,19-Oct,22,22,13349.912,8.0,1668.739,EL KANTRA
1,6,153940,19-Nov,22,22,31100.88,20.0,1555.044,EL KANTRA
3,3,153940,18-Feb,22,25,5304.424,4.0,1326.106,EL KANTRA
4,3,153940,18-May,22,25,41110.62,30.0,1370.354,EL KANTRA
3,2,153940,18-Aug,22,25,18676.632,12.0,1556.3860000000002,EL KANTRA
1,2,153940,18-Jun,22,22,39268.561,26.0,1510.3292692307693,EL KANTRA
4,6,153940,19-Mar,22,25,35717.52,24.0,1488.2299999999998,EL KANTRA
1,6,153940,19-Mar,22,22,28276.37,19.0,1488.23,EL KANTRA
4,3,153940,18-Mar,22,25,50392.028,38.0,1326.106,EL KANTRA
1,3,153940,18-May,22,22,2740.708,2.0,1370.354,EL KANTRA
4,2,153940,18-Nov,22,25,19281.684,12.0,1606.807,EL KANTRA
1,1,153940,18-Dec,22,22,40192.222,32.0,1256.0069375,EL KANTRA
1,6,153940,19-Jun,22,22,24916.112,16.0,1557.257,EL KANTRA
1,6,153940,19-Aug,22,22,223926.336,144.0,1555.044,EL KANTRA
4,1,153940,19-Dec,22,25,19964.595,15.0,1330.9730000000002,EL KANTRA
4,1,153940,18-Feb,22,25,29157.597,27.0,1079.911,EL KANTRA
4,1,153940,18-Feb,22,25,58315.194,54.0,1079.911,EL KANTRA
4,1,153940,18-May,22,25,91056.879,81.0,1124.159,EL KANTRA
4,1,153940,18-Oct,22,25,57817.538,46.0,1256.903,EL KANTRA
4,2,153940,18-Oct,22,25,40170.175,25.0,1606.807,EL KANTRA
1,1,153940,18-Jun,22,22,40469.724,36.0,1124.159,EL KANTRA
1,1,153940,19-May,22,22,97322.578,73.0,1333.186,EL KANTRA
1,6,153940,19-Apr,22,22,42045.939,27.0,1557.2569999999998,EL KANTRA
4,2,153940,19-Apr,22,25,25062.6,15.0,1670.84,EL KANTRA
4,2,153940,19-Aug,22,25,16687.39,10.0,1668.739,EL KANTRA
