NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,155370,18-Apr,9,62,10453.527,7.0,1493.361,EL KSOUR
3,2,155370,18-Apr,9,62,2986.722,2.0,1493.361,EL KSOUR
1,1,155370,18-Apr,9,62,20234.862,18.0,1124.159,EL KSOUR
2,2,155370,18-Jun,9,62,8960.166,6.0,1493.3609999999999,EL KSOUR
3,2,155370,18-Jun,9,62,10453.527,7.0,1493.361,EL KSOUR
1,1,155370,18-Dec,9,62,21367.351,17.0,1256.903,EL KSOUR
1,3,155370,18-Dec,9,62,7449.115,5.0,1489.8229999999999,EL KSOUR
2,6,155370,19-Oct,9,62,12440.352,8.0,1555.044,EL KSOUR
3,1,155370,18-Sep,9,62,55303.732,44.0,1256.903,EL KSOUR
2,2,155370,19-Aug,9,62,33374.78,20.0,1668.739,EL KSOUR
2,6,155370,19-Jun,9,62,12458.056,8.0,1557.257,EL KSOUR
2,2,155370,18-May,9,62,13440.249,9.0,1493.3609999999999,EL KSOUR
3,3,155370,18-Sep,9,62,11918.584,8.0,1489.823,EL KSOUR
2,2,155370,18-Sep,9,62,20888.491,13.0,1606.8070000000002,EL KSOUR
3,3,155370,18-Jun,9,62,8222.124,6.0,1370.354,EL KSOUR
2,2,155370,19-Apr,9,62,23391.76,14.0,1670.84,EL KSOUR
3,2,155370,19-Feb,9,62,6421.176,4.0,1605.294,EL KSOUR
3,1,155370,19-Jul,9,62,17302.649,13.0,1330.9730000000002,EL KSOUR
2,1,155370,19-Nov,9,62,142414.111,107.0,1330.973,EL KSOUR
3,2,155370,18-Sep,9,62,11247.649,7.0,1606.807,EL KSOUR
3,3,155370,18-Nov,9,62,8938.938,6.0,1489.823,EL KSOUR
2,2,155370,19-Oct,9,62,23362.346,14.0,1668.739,EL KSOUR
1,2,155370,19-May,9,62,5012.52,3.0,1670.8400000000001,EL KSOUR
2,2,155370,19-Mar,9,62,27289.998,17.0,1605.2939999999999,EL KSOUR
2,3,155370,19-May,9,62,6229.028,4.0,1557.257,EL KSOUR
2,1,155370,18-Feb,9,62,17278.576,16.0,1079.911,EL KSOUR
3,1,155370,18-Aug,9,62,13095.841,11.0,1190.531,EL KSOUR
2,2,155370,18-Mar,9,62,15964.784,11.0,1451.344,EL KSOUR
3,3,155370,18-Jul,9,62,18677.438,13.0,1436.7259999999999,EL KSOUR
2,1,155370,18-Jun,9,62,103161.305,91.0,1133.6407142857142,EL KSOUR
2,2,155370,19-Jan,9,62,6421.176,4.0,1605.294,EL KSOUR
2,2,155370,19-Jun,9,62,26733.44,16.0,1670.84,EL KSOUR
2,3,155370,19-Apr,9,62,7786.285,5.0,1557.257,EL KSOUR
