NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,155720,18-Feb,3,97,320747.024,221.0,1451.3439999999998,EL MOUROUJ
3,3,155720,18-Apr,3,97,104146.904,76.0,1370.354,EL MOUROUJ
2,2,155720,18-Apr,3,97,350939.835,235.0,1493.361,EL MOUROUJ
3,3,155720,18-Dec,3,97,116171.148,78.0,1489.3736923076924,EL MOUROUJ
3,3,155720,18-Jun,3,97,28734.52,20.0,1436.726,EL MOUROUJ
3,2,155720,18-Nov,3,97,27315.719,17.0,1606.807,EL MOUROUJ
3,3,155720,19-Feb,3,97,122034.86,82.0,1488.23,EL MOUROUJ
2,1,155720,19-Jun,3,97,227974.806,171.0,1333.1860000000001,EL MOUROUJ
1,1,155720,19-Feb,3,97,7531.86,6.0,1255.31,EL MOUROUJ
3,2,155720,19-Aug,3,97,43387.214,26.0,1668.739,EL MOUROUJ
3,2,155720,19-Sep,3,97,55068.387,33.0,1668.739,EL MOUROUJ
2,2,155720,18-Mar,3,97,343968.528,237.0,1451.344,EL MOUROUJ
2,2,155720,18-Jun,3,97,237444.399,159.0,1493.361,EL MOUROUJ
2,3,155720,19-May,3,97,126137.817,81.0,1557.2569999999998,EL MOUROUJ
2,1,155720,19-Apr,3,97,285301.804,214.0,1333.186,EL MOUROUJ
3,1,155720,19-May,3,97,50661.068,38.0,1333.186,EL MOUROUJ
1,2,155720,19-Mar,3,97,94712.346,59.0,1605.294,EL MOUROUJ
2,1,155720,18-Feb,3,97,211662.556,196.0,1079.911,EL MOUROUJ
1,1,155720,18-Feb,3,97,5399.555,5.0,1079.911,EL MOUROUJ
1,2,155720,18-Aug,3,97,94939.546,61.0,1556.386,EL MOUROUJ
2,2,155720,18-Sep,3,97,368708.453,230.0,1603.0802304347826,EL MOUROUJ
2,1,155720,18-Nov,3,97,266463.436,212.0,1256.903,EL MOUROUJ
2,1,155720,19-Mar,3,97,214658.01,171.0,1255.31,EL MOUROUJ
2,2,155720,19-Mar,3,97,282531.744,176.0,1605.294,EL MOUROUJ
2,6,155720,19-Jul,3,97,140053.545,90.0,1556.1505000000002,EL MOUROUJ
2,6,155720,19-Dec,3,97,146174.136,94.0,1555.044,EL MOUROUJ
2,2,155720,18-Jan,3,97,296074.176,204.0,1451.3439999999998,EL MOUROUJ
2,2,155720,18-Aug,3,97,239683.444,154.0,1556.386,EL MOUROUJ
2,1,155720,18-Jun,3,97,78575.046,66.0,1190.531,EL MOUROUJ
2,2,155720,19-Aug,3,97,407172.316,244.0,1668.739,EL MOUROUJ
2,1,155720,18-Mar,3,97,213822.378,198.0,1079.911,EL MOUROUJ
1,1,155720,18-Apr,3,97,30352.293,27.0,1124.159,EL MOUROUJ
3,3,155720,19-Jan,3,97,123523.09,83.0,1488.23,EL MOUROUJ
2,1,155720,18-Jun,3,97,119160.854,106.0,1124.159,EL MOUROUJ
2,3,155720,19-Apr,3,97,133924.102,86.0,1557.257,EL MOUROUJ
1,2,155720,19-Sep,3,97,26699.824,16.0,1668.739,EL MOUROUJ
2,1,155720,19-Sep,3,97,280835.303,211.0,1330.973,EL MOUROUJ
2,1,155720,19-Nov,3,97,311447.682,234.0,1330.973,EL MOUROUJ
2,1,155720,18-Jan,3,97,210582.645,195.0,1079.911,EL MOUROUJ
1,3,155720,18-May,3,97,8222.124,6.0,1370.354,EL MOUROUJ
1,3,155720,18-Dec,3,97,19367.699,13.0,1489.823,EL MOUROUJ
1,2,155720,19-Feb,3,97,52974.702,33.0,1605.2939999999999,EL MOUROUJ
2,2,155720,19-Oct,3,97,468915.659,281.0,1668.739,EL MOUROUJ
3,6,155720,19-Mar,3,97,114593.71,77.0,1488.23,EL MOUROUJ
2,2,155720,19-Sep,3,97,362116.363,217.0,1668.739,EL MOUROUJ
2,6,155720,19-Sep,3,97,150839.268,97.0,1555.044,EL MOUROUJ
2,6,155720,19-Nov,3,97,97967.772,63.0,1555.0439999999999,EL MOUROUJ
2,2,155720,18-May,3,97,362886.723,243.0,1493.361,EL MOUROUJ
3,3,155720,18-Jun,3,97,89073.01,65.0,1370.3539999999998,EL MOUROUJ
2,2,155720,19-Jun,3,97,387634.88,232.0,1670.84,EL MOUROUJ
2,6,155720,19-May,3,97,7786.285,5.0,1557.257,EL MOUROUJ
2,6,155720,19-Apr,3,97,6229.028,4.0,1557.257,EL MOUROUJ
2,1,155720,19-Nov,3,53,11978.757,9.0,1330.973,EL MOUROUJ
2,2,155720,19-Nov,3,53,16687.39,10.0,1668.739,EL MOUROUJ
3,3,155720,18-Mar,3,97,119349.54,90.0,1326.106,EL MOUROUJ
2,1,155720,18-May,3,97,189982.871,169.0,1124.159,EL MOUROUJ
1,1,155720,18-Dec,3,97,13825.933,11.0,1256.903,EL MOUROUJ
2,1,155720,18-Jul,3,97,225010.359,189.0,1190.531,EL MOUROUJ
1,3,155720,18-Aug,3,97,31607.972,22.0,1436.726,EL MOUROUJ
3,2,155720,18-Aug,3,97,24902.176,16.0,1556.386,EL MOUROUJ
2,1,155720,18-Sep,3,97,271818.743,217.0,1252.620935483871,EL MOUROUJ
2,1,155720,18-Oct,3,97,268977.242,214.0,1256.903,EL MOUROUJ
2,2,155720,18-Oct,3,97,393667.715,245.0,1606.807,EL MOUROUJ
2,2,155720,19-Jan,3,97,322664.094,201.0,1605.2939999999999,EL MOUROUJ
3,3,155720,18-Aug,3,97,91950.464,64.0,1436.726,EL MOUROUJ
2,2,155720,19-Apr,3,97,457810.16,274.0,1670.84,EL MOUROUJ
2,6,155720,19-Mar,3,97,11905.84,8.0,1488.23,EL MOUROUJ
2,1,155720,19-Aug,3,97,276842.384,208.0,1330.9730000000002,EL MOUROUJ
3,6,155720,19-Aug,3,97,7775.22,5.0,1555.044,EL MOUROUJ
2,6,155720,19-Jul,3,53,6220.176,4.0,1555.044,EL MOUROUJ
3,1,155720,19-Jul,3,97,45253.082,34.0,1330.973,EL MOUROUJ
2,6,155720,19-Nov,3,53,9330.264,6.0,1555.0439999999999,EL MOUROUJ
2,2,155720,18-Jul,3,97,362637.938,233.0,1556.3860000000002,EL MOUROUJ
3,3,155720,18-Jul,3,97,130742.066,91.0,1436.726,EL MOUROUJ
2,2,155720,18-Nov,3,97,366351.996,228.0,1606.807,EL MOUROUJ
